class,strict_ending,strict_full,loose_ending,loose_full
Ia,102,19,100,21
Ia*,2,22,2,22
Ib,1,18,5,18
Ic,15,0,15,0
Ic*,0,11,0,11
Id,351,4,343,12
IIa,33,3,349,6
IIb,0,0,0,0
IIc,0,0,0,0
IIIa1,3,67,3,67
IIIa2,23,5,58,12
IIIa3,2,0,6,0
IIIb,71,0,71,0
IIId*,0,20,0,20
IIIc1,12,21,16,21
IIIc1*,26,7,30,7
IIIc2,30,4,32,7
IVa,0,81,18,84
IVb,9,17,9,28
Va,0,0,0,37
Vb,0,0,0,0
Vc,0,0,0,0
VIa1,13,0,15,0
VIa2,0,25,0,26
VIIa1,0,0,1,0
VIIa2,0,0,0,26
VIIIa,0,0,0,18
IXa,4,13,4,13
X,0,0,0,0
X*,0,14,0,14
