class,strictness,match_count,present_rate,imperfective_rate,perfective_rate,imperative_rate,infinitive_rate
Ia,loose,100,0.03,0.1,0.1,0.62,0.46
Ia,strict,102,0.02,0.118,0.118,0.627,0.471
Ia*,loose,2,0.0,0.0,0.0,1.0,0.0
Ia*,strict,2,0.0,0.0,0.0,1.0,0.0
Ib,loose,5,0.0,0.0,0.0,0.0,0.0
Ib,strict,1,0.0,0.0,0.0,0.0,0.0
Ic,loose,15,0.733,1.0,0.0,0.867,1.0
Ic,strict,15,0.733,1.0,0.0,0.8,1.0
Ic*,loose,0,0.0,0.0,0.0,0.0,0.0
Ic*,strict,0,0.0,0.0,0.0,0.0,0.0
Id,loose,343,0.029,0.035,0.006,1.0,0.026
Id,strict,351,0.009,0.057,0.0,1.0,0.0
IIa,loose,349,0.009,0.011,0.006,0.178,0.006
IIa,strict,33,0.03,0.03,0.03,0.485,0.0
IIb,loose,0,0.0,0.0,0.0,0.0,0.0
IIb,strict,0,0.0,0.0,0.0,0.0,0.0
IIc,loose,0,0.0,0.0,0.0,0.0,0.0
IIc,strict,0,0.0,0.0,0.0,0.0,0.0
IIIa1,loose,3,0.0,0.0,1.0,0.333,1.0
IIIa1,strict,3,0.0,0.0,1.0,0.333,1.0
IIIa2,loose,58,0.172,0.172,0.466,0.362,0.259
IIIa2,strict,23,0.261,0.261,0.348,0.261,0.13
IIIa3,loose,6,0.167,0.167,0.167,0.167,0.0
IIIa3,strict,2,0.5,0.5,0.0,0.5,0.0
IIIb,loose,71,0.0,0.0,0.352,0.0,1.0
IIIb,strict,71,0.0,0.0,0.352,0.0,1.0
IIId*,loose,0,0.0,0.0,0.0,0.0,0.0
IIId*,strict,0,0.0,0.0,0.0,0.0,0.0
IIIc1,loose,16,0.0,0.0,0.0,0.062,0.062
IIIc1,strict,12,0.0,0.0,0.0,0.083,0.083
IIIc1*,loose,30,0.0,0.0,0.0,0.0,0.0
IIIc1*,strict,26,0.0,0.0,0.0,0.0,0.0
IIIc2,loose,32,0.0,0.0,0.0,0.0,0.938
IIIc2,strict,30,0.0,0.0,0.0,0.0,0.967
IVa,loose,18,0.167,0.167,0.167,0.0,0.167
IVa,strict,0,0.0,0.0,0.0,0.0,0.0
IVb,loose,9,1.0,1.0,1.0,1.0,0.0
IVb,strict,9,1.0,1.0,1.0,1.0,0.0
Va,loose,0,0.0,0.0,0.0,0.0,0.0
Va,strict,0,0.0,0.0,0.0,0.0,0.0
Vb,loose,0,0.0,0.0,0.0,0.0,0.0
Vb,strict,0,0.0,0.0,0.0,0.0,0.0
Vc,loose,0,0.0,0.0,0.0,0.0,0.0
Vc,strict,0,0.0,0.0,0.0,0.0,0.0
VIa1,loose,15,0.0,0.0,0.0,0.0,0.0
VIa1,strict,13,0.0,0.0,0.0,0.0,0.0
VIa2,loose,0,0.0,0.0,0.0,0.0,0.0
VIa2,strict,0,0.0,0.0,0.0,0.0,0.0
VIIa1,loose,1,0.0,0.0,0.0,0.0,0.0
VIIa1,strict,0,0.0,0.0,0.0,0.0,0.0
VIIa2,loose,0,0.0,0.0,0.0,0.0,0.0
VIIa2,strict,0,0.0,0.0,0.0,0.0,0.0
VIIIa,loose,0,0.0,0.0,0.0,0.0,0.0
VIIIa,strict,0,0.0,0.0,0.0,0.0,0.0
IXa,loose,4,0.0,0.0,0.0,0.0,0.0
IXa,strict,4,0.0,0.0,0.0,0.0,0.0
X,loose,0,0.0,0.0,0.0,0.0,0.0
X,strict,0,0.0,0.0,0.0,0.0,0.0
X*,loose,0,0.0,0.0,0.0,0.0,0.0
X*,strict,0,0.0,0.0,0.0,0.0,0.0
