verb,present,imperfective,perfective,imperative,infinitive
1. he's going around a curve  2. he's turning off the road  3. he's circling it,ateyoh,ateyoh,uteyol,hateyaka,uteyst
"1. he's imitating him, it 2. he's mocking him",ahyeli,ahyelisk,uhyelis,hiyela,uhyelist
1. he's lonesome  2. he's homesick,uhisohtaneh,uhisohtaneh,uhisohtanel,tsahisohtasi,
1. he's making an incision 2. he's operating on him,ahyehloh,ahyehloh,uhyehlal,hiyelaka,uhyelst
1. he's pleading 2. he's urging,kanilati,kanilatisk,unilat,hinilata,unilatist
"1. he's pricking him, it  2. he's giving him an injection",katsayohih,katsayohih,uwatsayohl,hiyatsayoa,uwatsayost
1. he's racing 2. he's running for office,athohkiya,athohkiyask,uthohkiy,hathohkiya,uthohkiyast
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",nikawe,nikawesk,nuwes,hniwi,iyuwest
1. he's speaking  2. he's answering,khanek,khanek,uhnets,hihneki,uhnest
"1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)",atsewi,atsewisk,utsew,hatsewa,utsewast
1. he's throwing it 2. he's pitching (ball),utek,utek,utinvs,tsatuka,utinvt
1. he's tickling him; 2. he's spurring a horse,tahyvki,tahyvkisk,tuhyvk,thiyvka,tsuhyvkist
"1. he, it's using it up 2. he's drinking, eating it up",asvhvsk,asvhvsk,usvhn,hisvhna,usvhvst
1. it's becoming done (by cooking) 2. it's ripening,kvnsk,kvnsk,uwans,hvhni,uwahnist
1. it's breaking  2. he's becoming spoiled,ayok,ayok,uyots,hiyoki,uyost
1. it's getting shorter 2. he's getting short on,askwalok,askwalok,uskwalots,hiskwaloki,uskwaloyst
1. it's lacking 2. it's missing,kalulok,kalulok,ululots,hiluloki,ululost
"1. it's pouring into a container (liquid), 2. it's filling",atlik,atlik,utlits,,utliyst
"He is getting in a car, box, etc",atsavsk,atsavsk,utsan,hatsavka,
He's choking on it,uhyvhtsinvthk,uhyvhtsinvthk,uhyvhtsinvths,tshayvhtsinvthki,uhyvhtsinvthst
He's getting drunk,uhyvste,uhyvstesk,uhyvsta,tshayvstaka,uhyvstest
he has a nosebleed,kika tekhayvskwoih,kika tekhayvskwoih,kika tuhyvskwol,kika thihyvskwotsa,kika tsuhyvskwoist
"he sees him, it",akowhthih,akowhthisk,ukoh,hikowahtha,ukowhthvht
he smells it,uwawsvk,uwawsvk,uwawsvts,tsawsvki,uwawsvst
he thinks so,eli,elisk,uwelis,hela,uwelist
"he's accepting him, it",tatanilvk,tatanilvk,tutanilvts,thiyatanilvki,tsutanilvst
he's acting like him,atselvsk,atselvsk,utselvhn,hatselvna,utsehlt
he's acting silly,atvnelih,atvnelisk,utvnelvhn,hatvnela,utvnehlt
he's afraid,askah,askah,uskal,hiskaya,uskast
he's asking for it,athayohih,athayohih,uthayohl,hithayoha,uthayost
"he's becoming, it's happening",nị²kạ²lsti²h,nị²kạ²lsti²skọ³ɂi,nu¹lstha²nv²³ɂi,hnạ²lsta³,ị²yu²lstoh²t
he's bewitching him,kanekuti,kanekutisk,unekut,hinekuta,unekutist
"he's biting him, it",askahlk,askahlk,uskahlts,hiskala,uskalst
"he's blowing, he's blowing on it",atsothask,atsothask,utsothah,hatsotha,utsothast
he's braiding it,asteyoh,asteyoh,usteyol,histeyaka,usteyot
he's building a fence,asohyoh,asohyoh,usohyal,hasoyhka,usoyst
he's burying him,kanisih,kanisisk,unisahn,hinisa,unisoht
he's capturing him,ahyvkhiti,ahyvkhitisk,uhyvkhit,hiyvkhita,uhyvkhitist
"he's catching up with him, it",atlvthask,atlvthask,utlvthah,hiyatlvtha,utlvthast
he's changing his socks,taliyosih,taliyosih,tuliyosvh,thaliyosa,tsuliyosvht
he's cheating,kalonuheh,kalonuhesk,ulonuhehl,hilonuhvla,ulonuheht
he's chopping it,kaluysk,kaluysk,uluhy,hiluhya,uluyst
he's chopping it up,akvhaluysk,akvhaluysk,ukvhaluhy,hikvhaluhya,ukvhaluyst
he's cold,khanawok,khanawok,uhnawots,hihnawoki,uhnawost
"he's committing a crime, sin",askanvk,askanvk,uskanvts,hiskanvki,uskanvyst
he's committing adultery,atahyoneh,atahyoneh,utahyonel,hatahyonvla,utahyoneht
he's conjuring,tatahnese,tatahnesesk,tutahnesa,thatahnesaka,tsutahnesest
he's conversing,tahlinoheh,tahlinohesk,tuhlinohehl,thahlinohvla,tsuhlinoheht
he's coughing,usihwask,usihwask,usihwah,thsihwahi,usihwahist
he's crawling,atansin,atansinek,utansinvs,hatansinuka,utansinvst
he's distributing it,ayathohih,ayathohih,uyathohl,hiyathohi,uyathohist
he's doing it,atvneh,atvneh,utvnel,hatvka,utvnht
he's dressing up,atsanvsk,atsanvsk,utsanvhn,hatsanvna,utsanvht
he's drinking it,atithask,atithask,utithah,hatitha,utithast
he's driving it (vehicle in motion or animal),ahil,ahilis,uhilvs,,uhilvst
he's eating a flexible object,kahye,kahyesk,uwahya,hiyayaka,uwahyest
he's eating a long object,astiki,astikisk,ustik,histika,ustikist
he's eating it (a single solid food),aki,akisk,uk,hika,ukist
he's entering it,ayvhih,ayvhih,uyvhl,hiyvha,uyvst
he's erasing it,askolvti,askolvtisk,uskolvt,hiskolvta,uskolvtist
he's exchanging/trading it,aliiti,aliitisk,uliit,haliita,uliitist
he's exiting,kanukok,kanukok,unukots,hinukoi,unukost
he's explaining it (a Biblical text),tekosisih,tekosisisk,tuwosisahn,thosisa,tsuwosisoht
"he's feeding him, it",kehloh,kehloh,uwehlal,hiyeloka,uwelst
he's finishing it,askwati,askwatisk,uskwat,hiskwata,uskwatist
he's frolicking,ahnetsosk,ahnetsosk,uhnetson,hahnetsovka,uhnetsot
he's gathering it,kahlisih,kahlisisk,uwahlisahn,hihlisa,uwahlisoht
he's getting married,anelati,anelatisk,unelat,hanelata,unelatist
he's getting off,atloysk,atloysk,utloys,hatlohi,utlohist
he's gnawing it,askoki,askokisk,uskok,hiskoka,uskokist
he's going,ek,ek,uwenvs,hena,uwenvst
he's going to bed,usvhih,usvhih,usvhl,thsvha,usvst
he's hanging up a long object,khthosati,khthosatisk,uwhthosat,hathosata,uwhthosatist
he's heading in the direction of,wakhth,wakhth,wakhth,hwikhthesti,
he's hiding a long object,kvskalati,kvskalatisk,uwaskalat,hvskalata,uwaskalatist
"he's in agony, pain",akihliyok,akihliyok,ukihliyots,hikihliyoki,ukihliyost
he's joining,athelati,athelatisk,uthelat,hathelata,uthelatist
"he's joking, he's teasing",kawehlih,kawehlisk,uwehlvhn,hiwehlvna,uwehlvht
he's jumping,tahlthatek,tahlthatek,tuhlthatinvs,thahlthatuka,tsuhlthatinvt
he's late,ukohniyok,ukohniyok,ukohniyots,tsakohniyoki,ukohniyost
he's laying a long object down,ati,atisk,ut,hita,utist
he's leading him,athihn,athihnek,uthihnvs,hiyathihnuka,uthihnvst
"he's learning, he's learning it",atehlohkwa,atehlohkwask,utehlohkwa,hatehlohkwa,utehlohkwast
he's leaving a living thing behind,kakhahiya,kakhahiyask,uwakhahiy,hiyakhahiya,uwakhahiyast
he's leaving a long object behind,atisiya,atisiyask,utisiy,hitisiya,utisiyast
he's leaving it (flexible),kaniya,kaniyask,uniy,hiniya,uniyast
he's leaving it behind,ahiya,ahiyask,uhiy,hihiya,uhiyast
he's leaving some liquid,kanehiya,kanehiyask,unehiy,hinehiya,unehiyast
he's licking it,akanati,akanatisk,ukanat,hikanata,ukanatist
he's limping,atatek,atatek,utates,hatatuka,utatinvt
