user_approved,from_h_grade,from_g_grade,from_class,from_stem_type,from_corpus_ids,to_h_grade,to_g_grade,to_class,to_stem_type,to_corpus_ids,to_form_type,to_stem
,nh,'n,be-at,con,815,,,hvsk-nh,con,206;1761,perfective,nh
,nh,'n,go,con,813,,,hvsk-nh,con,206;1761,perfective,nh
,nh,nv,stative-k,con,899,,,hvsk-nh,con,206;1761,perfective,nh
,t,t,apl[imp3],con,59,,,i-a-i,con,72;1754,perfective,t
x,:khan,:khan,apl,long,827,:kha,:kha,hvsk-n,long,1774,perfective,:khan
x,ahsehst,ahsehst,cause,vowel_a,397,ahse,ahse,hih-lh,vowel_a,607,infinitive,ahsehst
x,akohvhst,akohvhst,cause,vowel_a,135,ak,ak,terminative,vowel_a,136,infinitive,akohvhst
x,aleht,alet,cause,vowel_a,305;585,ale,ale,hvsk-nh,vowel_a,306;587,infinitive,aleht
x,alewhihstoht,alewihstoht,cause,vowel_a,308,alewhihst,alewihst,cause,vowel_a,307,infinitive,alewhihstoht
x,alhilohst,atlilohst,cause,vowel_a,553,alh,atl,o,vowel_a,173,infinitive,alhilohst
x,alhawitht,atlawitht,cause[perf3],vowel_a,169,alhawit,atlawit,ih-vh,vowel_a,167,infinitive,alhawitht
,anelht,anelht,cause,vowel_a,361;599,anelo,anelo,hvsk-nh[inf2],vowel_a,600,infinitive,anelht
x,anhikihst,anikihst,cause,vowel_a,197,anhi,ani,rev-gi,vowel_a,196,infinitive,anhikihst
x,athvhihst,a'tvhihst,cause,vowel_a,497,athv,a'tv,sk-s-hi-hihst,vowel_a,498,infinitive,athvhihst
,hsvhst,hsvhst,cause,con,612,hsv,hsv,become,con,455,infinitive,hsvhst
,hsvhst,hsvhst,cause,vowel_a,345,hsv,hsv,become,con,455,infinitive,hsvhst
x,lht,lot,cause,con,798,l,l,hvsk-han,con,811,infinitive,lht
x,lohihst,lo'ihst,cause,con,848,lo,lo,sk-s-hi-hihst,con,856;857,infinitive,lohihst
x,nvn,nvn,apl,con,950,n,n,vsk-long[imp2],con,1776,perfective,nvn
x,netliyvhst,netliyvhst,cause,vowel_a,34,netl,netl,v-vhs,con,880,infinitive,netliyvhst
,nvts,nvts,be-at,con,949,nv,nv,become[inf2],con,940,perfective,nvts
x,nvtihst,nvtihst,cause,vowel_a,543,nv,nv,i-a-i,con,938,infinitive,nvtihst
x,vkuhst,vkuhst,cause,vowel_v,1063,vku,,sk-s-hst,vowel_v,1064,infinitive,vkuhst
x,vnhihst,vnihst,cause,vowel_v,1071,vn,vn,sk-s-hi-hihst,vowel_v,1082,infinitive,vnhihst
x,whahthvh,wahthvh,be-at,con,208,whahth,wahth,ih-vh[inf2],con,207,perfective,whahthvh
x,whahthvh,wahthvh,be-at,vowel_a,18,whahth,wahth,ih-vh[inf2],con,207,perfective,whahthvh
,yht,yvt,cause,con,511,y,y,ih-vh,con,513,infinitive,yht
x,ye'ihst,ye'ihst,cause,con,509,ye,ye,become[inf2],con,507,infinitive,ye'ihst
x,yohst,yohst,cause,con,524,yo,yo,hih-lh[imp2],con,516,infinitive,yohst
x,yohsthan,yohsthan,terminative,con,526,yohst,yohst,cause,con,524,perfective,yohsthan
