user_approved,morpheme_name,morpheme_subcase,from_h_grade,from_g_grade,from_class,from_corpus_ids,to_h_grade,to_g_grade
,hitting,il,ahsihthvn,ahsihthvn,ih-il,431;609,ahsihth,
x,change-out,flexible,ahsula'iy,ahsula'iy,v-vhs,446,ahsul,ahsul
,change-out,,ahsula'iy,ahsula'iy,v-vhs,446,ahsula',
,hitting,hil,ahsvn,ahsvn,hih-hil,458,ahs,
,change-out,flexible,alahsula'iy,alahsula'iy,v-vhs,583,alahsul,alahsul
,change-out,,alahsula'iy,alahsula'iy,v-vhs,583,alahsula',
,change-out,,anetliy,anetliy,v-vhs,33,anetl,
x,change-out,flexible,anhawa'iy,aniwa'iy,v-vhs,186;557,anhaw,aniw
,change-out,,anhawa'iy,aniwa'iy,v-vhs,186;557,anhawa',
,change-out,,awohiliy,awo'iliy,v-vhs,980,awohil,
,leaving,,hiy,'iy,a,165,h,'
,leaving,,hohkiy,hohkiy,a,483,hohk,
,hitting,il,hskwalvn,hskwalvn,ih-il,425,hskwal,hskwal
,hitting,il,hskwohalvn,hskwohalvn,ih-il,429,hskwohal,
,hitting,il,hulvn,'ulvn,ih-il,204,hul,
,leaving,,khahiy,khahiy,a,826,khah,
,hitting,hil,lvn,lvn,hih-hil,864,l,l
,leaving,,nehiy,ne'iy,a,888,neh,
,change-out,,netliy,netliy,v-vhs,880,netl,
,leaving,,nhohiy,nohiy,a,1247,nhoh,
,hitting,il,ohstvn,ohstvn,ih-il,1038,ohst,
,leaving,,tihsiy,tihsiy,a,80,tihs,
,hitting,hil,vn,vn,hih-hil[imp2],1070,,
