corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
4,8,it’s bouncing,FullEventful,atatek,katatek,atatek,utatinvhs,hatatuka,utatinvt
5,9,he/she is limping,FullEventful,atatek,katatek,atatek,utatehs,hatatuka,utatinvt
6,10,he/she is bouncing it,FullEventful,atatinvtih,katatinvtih,atatinvtihsk,utatinvthan,hatatinvta,utatinvtoht
7,11,he/she is putting on a belt,FullEventful,atatlohih,katatlohih,atatlohih,utatlolh,hatatloka,utatlohst
10,14,he/she is praying,FullEventful,atatolihstih,katatolihstih,atatolihstihsk,utatolihsthan,hatatolihsta,utatolihstoht
16,20,he/she is fanning himself/herself,FullEventful,atanhoyeh,katanoyeh,atanhoyehsk,utanhoyeh,hatanhoyvla,utanhoyeht
18,22,he/she is visiting,FullEventful,atawhahthvhitoh,katawahthvhitoh,atawhahthvhitoh,utawhahthvhitol,hatawhahthvhita,utawhahthvhitahst
19,23,he/she is stretching,FullEventful,atayhahstih,katayahstih,atayhahstihsk,utayhahsthan,hatayhahsta,utayhahstoht
21,25,he/she is denying him/her,FullEventful,atayhih,tsiyata'yih,atayhih,utayhil,hiyatayika,utayhst
22,26,he/she is committing adultery,FullEventful,atayhoneh,katayoneh,atayhoneh,utayhonel,hatayhonvla,utayhoneht
25,29,it’s ripping,FullEventful,atatsakalih,katatsakali',atatsakalihsk,utatsakalvh,hatatsakala,utatsakalht
27,31,he/she is looking at himself/herself in a mirror,FullEventful,atakheh,katakheh,atakhehsk,utakheh,hatakhvla,utakheht
29,33,it’s beginning,FullEventful,atalenih,,atalenihsk,utalenvh,,utalenht
30,34,he/she is shopping,FullEventful,atananehsvhvhsk,katananehsvhvhsk,atananehsvhvhsk,utananehsvnh,hatananehsvhvka,utananehsvhvhst
32,36,he/she is taking off running,FullEventful,atanawhstih,katanawhstih,atanawhstihsk,utanawhsthan,hatanawhsta,utanawhstoht
33,37,he/she is changing,FullEventful,atanetliyv',katanetliyv',atanetliyvhsk,utanetliyvhs,hatanetliyvna,utanetliyvhst
34,38,he/she is taking turns with him/her,FullEventful,atanetliyvhstih,katanetliyvhstih,atanetliyvhstihsk,utanetliyvhsthan,hatanetliyvhsta,utanetliyvhstoht
39,43,he/she is thinking,FullEventful,atanhtheh,katanvtheh,atanhthehsk,utanhthelh,hatanhthvla,utanhtheht
41,45,he/she is pondering,FullEventful,atanhthehilo',katanvthehilo',atanhthehilohsk,utanhthehilo',hatanhthehilotsa,utanhthehilohst
42,46,he/she is making noise,FullEventful,atanoyhvlhihstih,katanoyvlihstih,atanoyhvlhihstihsk,utanoyhvlhihsthan,hatanoyhvlhihsta,utanoyhvlhihstoht
43,47,he/she is crawling,FullEventful,atanhsin,katanahsin,atanhsinek,utanhsinvhs,hatanhsinuka,utanhsinvhst
44,48,it’s twisting,FullEventful,atanutheyoh,katanutheyoh,atanutheyoh,utanutheyol,hatanutheyaka,utanutheyot
45,49,he/she is moving from one place to another,FullEventful,atanv',kata'nv',ata'nvhsk,uta'nvhs,hata'nvna,uta'nvhst
46,50,he/she is ordering it,FullEventful,atanvhsk,katanvhsk,atanvhsk,utanvhs,hatanvla,utanvhst
48,52,he/she is cooking a meal,FullEventful,atahstayvhvhsk,katahstayvhvhsk,atahstayvhvhsk,utahstayvnh,hatahstayvhvka,utahstayht
51,55,it’s burning (refers to flames),FullEventful,atawelaki',katawelaki',atawelakihsk,utawelak,hatawelaka,utawelakihst
54,58,he/she is resting,FullEventful,atawehsolvhstih,katawehsolvhstih,atawehsolvhstihsk,utawehsolvhsthan,hatawehsolvhsta,utawehsolvhstoht
56,60,he/she is bathing,FullEventful,atawo',katawo',atawohsk,utawo',hatawotsa,utawohst
59,63,he/she is giving him/her it (refers to a long object),FullEventful,ateh,tsiteh,ateh,utel,hitihsi,uteht
60,64,he/she is learning,FullEventful,atelhohkwa',katelohkwa',atelhohkwahsk,utelhohkwa',hatelhohkwa,utelhohkwahst
61,65,he/she is embarrassing him/her,FullEventful,atehohihstih,tsiyate'ohihstih,atehohihstihsk,utehohihsthan,hiyate'ohihsta,utehohihstoht
62,66,he/she is embarrassed,FullEventful,atehohsk,kate'ohsk,atehohsk,utehohs,hatehohi,utehohihst
63,67,he/she is being born,FullEventful,atehvhsk,kate'vhsk,atehvhsk,utenh,hatehvka,uteht
67,71,he/she is finding it out,FullEventful,atelohohsk,katelo'ohsk,atelohohsk,utelohohs,hatelohohi,utelohohihst
69,73,he/she is diving,FullEventful,atethvhsk,katetvhsk,atethvhsk,utethin,hatethvka,utetht
70,74,he/she is going around a curve,FullEventful,ateyoh,kateyoh,ateyoh,uteyol,hateyaka,uteyhst
72,76,he/she is laying it down (refers to a long object),FullEventful,ati',tsiti',atihsk,ut,hita,utihst
73,77,he/she is rising (from a prone position),FullEventful,atitih,katiti',atitihsk,utitvh,hatita,utitht
74,78,he/she is scattering it,FullEventful,atikaleya',katikaleya',atikaleyahsk,utikaley,hatikaleya,utikaleyahst
75,79,it’s scattering,FullEventful,atikaleyok,,atikaleyok,utikaleyots,,utikaleyoyhst
76,80,he/she is spinning,FullEventful,atikwalvteyoh,katikwalvteyoh,atikwalvteyoh,utikwalvteyol,hatikwalvteyaka,utikwalvteyhst
77,81,he/she is saying it,FullEventful,atih,kati',atihsk,utvnh,hata,utht
78,82,he/she is running over him/her,FullEventful,atinvtih,tsiyatinvtih,atinvtihsk,utinvthan,hiyatinvta,utinvtoht
79,83,he/she is hiding,FullEventful,atihskalhvhsk,katihskalhvhsk,atihskalhvhsk,utihskalhan,hatihskalhvka,utihskalht
80,84,he/she is leaving it behind (refers to a long object),FullEventful,atihsiya',tsitihsiya',atihsiyahsk,utihsiy,hitihsiya,utihsiyahst
82,86,he/she is drinking it,FullEventful,atithahsk,katithahsk,atithahsk,utithah,hatitha,utithahst
85,89,he/she is scratching,FullEventful,atlakohsk,katlakohsk,atlakohsk,utlakohs,hatlakola,utlakohst
87,91,he/she is turning off the road,FullEventful,atle',katle',atlehsk,utlehs,hatlaki,utlehst
88,92,he/she is taking revenge against him/her,FullEventful,atletsheh,tsiyatletsheh,atletsheh,utletshel,hiyatletshihsi,utletsheht
92,96,he/she is pouring liquid into a container,FullEventful,atli',tsitli',atlihsk,utl,hitlika,utlihst
94,98,it’s pouring into a container (refers to liquid),FullEventful,atlik,,atlik,utlits,,utliyhst
95,99,he/she is drawing a liquid out of a container,FullEventful,atlih,tsitli',atlihsk,utlvh,hitla,utlvht
96,100,he/she is pouring a liquid into a container,FullEventful,atlihstih,tsitlihstih,atlihstihsk,utlihsthan,hitlihsta,utlihstoht
98,102,he/she is crying,FullEventful,atloyhih,katloyih,atloyhih,utloyhil,hatloyhka,utloyhst
99,103,he/she is getting off,FullEventful,atloyhsk,katloyhsk,atloyhsk,utloyhs,hatlohi,utlohihst
100,104,he/she is bragging,FullEventful,atlvkwhsk,katlvkwahsk,atlvkwhsk,utlvkwhs,hatlvkwha,utlvkwhihst
101,105,he/she is catching up with him/her,FullEventful,atlvthahsk,tsiyatlvthahsk,atlvthahsk,utlvthah,hiyatlvtha,utlvthahst
106,110,he/she is doing it,FullEventful,atvneh,katvneh,atvneh,utvnel,hatvka,utvnht
107,111,he/she is acting silly,FullEventful,atvnelih,katvnelih,atvnelihsk,utvnelvnh,hatvnela,utvnelht
