corpus_id,entry_no,definition,prediction,class,post_root_morpheme,present,present_1sg,imperfective,perfective,imperative,infinitive
4,8,it’s bouncing,FullEventful,go-in,,atat,katat,atat,utat,hatat,utat
5,9,he/she is limping,FullEventful,go-in[perf2],,atat,katat,atat,utat,hatat,utat
6,10,he/she is bouncing it,FullEventful,cause,,atatinvt,katatinvt,atatinvt,utatinvt,hatatinvt,utatinvt
6,10,he/she is bouncing it,FullEventful,cause[perf3],,atatinvt,katatinvt,atatinvt,utatinvth,hatatinvt,utatinvt
6,10,he/she is bouncing it,FullEventful,cause[pres2],,atatinvtih,katatinvtih,atatinvt,utatinvt,hatatinvt,utatinvt
6,10,he/she is bouncing it,FullEventful,cause[pres2-perf3],,atatinvtih,katatinvtih,atatinvt,utatinvth,hatatinvt,utatinvt
7,11,he/she is putting on a belt,FullEventful,hih-lh,,atatlo,katatlo,atatlo,utatlo,hatatlo,utatlo
10,14,he/she is praying,FullEventful,cause,,atatolihst,katatolihst,atatolihst,utatolihst,hatatolihst,utatolihst
10,14,he/she is praying,FullEventful,cause[perf3],,atatolihst,katatolihst,atatolihst,utatolihsth,hatatolihst,utatolihst
10,14,he/she is praying,FullEventful,cause[pres2],,atatolihstih,katatolihstih,atatolihst,utatolihst,hatatolihst,utatolihst
10,14,he/she is praying,FullEventful,cause[pres2-perf3],,atatolihstih,katatolihstih,atatolihst,utatolihsth,hatatolihst,utatolihst
16,20,he/she is fanning himself/herself,FullEventful,apl-active,,atanhoy,katanoy,atanhoy,utanhoy,hatanhoy,utanhoy
16,20,he/she is fanning himself/herself,FullEventful,apl-active-a,,atanhoy,katanoy,atanhoy,utanhoy,hatanhoyvl,utanhoye
18,22,he/she is visiting,FullEventful,be-at,,atawhahthvhit,katawahthvhit,atawhahthvhit,utawhahthvhit,hatawhahthvhit,utawhahthvhit
19,23,he/she is stretching,FullEventful,cause,,atayhahst,katayahst,atayhahst,utayhahst,hatayhahst,utayhahst
19,23,he/she is stretching,FullEventful,cause[perf3],,atayhahst,katayahst,atayhahst,utayhahsth,hatayhahst,utayhahst
19,23,he/she is stretching,FullEventful,cause[pres2],,atayhahstih,katayahstih,atayhahst,utayhahst,hatayhahst,utayhahst
19,23,he/she is stretching,FullEventful,cause[pres2-perf3],,atayhahstih,katayahstih,atayhahst,utayhahsth,hatayhahst,utayhahst
21,25,he/she is denying him/her,FullEventful,hih-hil[imp2],,atay,tsiyatay,atay,utay,hiyatay,utay
22,26,he/she is committing adultery,FullEventful,apl[imp4],,atayhon,katayon,atayhon,utayhon,hatayhon,utayhon
25,29,it’s ripping,FullEventful,ih-vh,,atatsakal,katatsakal,atatsakal,utatsakal,hatatsakal,utatsakal
27,31,he/she is looking at himself/herself in a mirror,FullEventful,apl-active,,atakh,katakh,atakh,utakh,hatakh,utakh
27,31,he/she is looking at himself/herself in a mirror,FullEventful,apl-active-a,,atakh,katakh,atakh,utakh,hatakhvl,utakhe
29,33,it’s beginning,FullEventful,ih-vh,,atalen,,atalen,utalen,,utalen
29,33,it’s beginning,FullStative,stative,,atalenih,,atalenihsk,utalenvh,,
29,33,it’s beginning,InfEventful,hvsk-han,,,,,,,utalen
29,33,it’s beginning,InfEventful,hvsk-nh[inf2],,,,,,,utalen
29,33,it’s beginning,InfEventful,episodic,,,,,,,utalen
29,33,it’s beginning,InfEventful,apl-active-a,,,,,,,utalen
29,33,it’s beginning,InfEventful,ih-vh,,,,,,,utalen
29,33,it’s beginning,InfEventful,vnh-ih-a,,,,,,,utalen
30,34,he/she is shopping,FullEventful,sk-h,,atananehsvhv,katananehsvhv,atananehsvhv,utananehsvn,hatananehsvhvk,utananehsvhv
30,34,he/she is shopping,FullEventful,sk-h[imp2],,atananehsvhv,katananehsvhv,atananehsvhv,utananehsvn,hatananehsvhvka,utananehsvhv
30,34,he/she is shopping,FullEventful,hvsk-nh[inf3],,atananehsv,katananehsv,atananehsv,utananehsv,hatananehsv,utananehsv
30,34,he/she is shopping,FullEventful,episodic[inf2],,atananehs,katananehs,atananehs,utananehs,hatananehs,utananehs
32,36,he/she is taking off running,FullEventful,cause,,atanawhst,katanawhst,atanawhst,utanawhst,hatanawhst,utanawhst
32,36,he/she is taking off running,FullEventful,cause[perf3],,atanawhst,katanawhst,atanawhst,utanawhsth,hatanawhst,utanawhst
32,36,he/she is taking off running,FullEventful,cause[pres2],,atanawhstih,katanawhstih,atanawhst,utanawhst,hatanawhst,utanawhst
32,36,he/she is taking off running,FullEventful,cause[pres2-perf3],,atanawhstih,katanawhstih,atanawhst,utanawhsth,hatanawhst,utanawhst
33,37,he/she is changing,FullEventful,v-vhs,,atanetliy,katanetliy,atanetliy,utanetliy,hatanetliy,utanetliy
34,38,he/she is taking turns with him/her,FullEventful,cause,,atanetliyvhst,katanetliyvhst,atanetliyvhst,utanetliyvhst,hatanetliyvhst,utanetliyvhst
