corpus_id,entry_no,definition,prediction,class,post_root_morpheme,h_grade,g_grade,translocutive,translocutive_imp_only,partitive,distributive,set_a_b,stem_type,allow_h_metathesis,middle_voice,middle_voice_h_metathesis,plural,ka_variant,aki_1st,uwa_v,3rd_person_object,metathesis_involved
4,8,it’s bouncing,FullEventful,eg-invs,,,,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
4,8,it’s bouncing,FullEventful,eg-invs,,:t,:t,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
4,8,it’s bouncing,FullEventful,eg-invs,,at,at,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
4,8,it’s bouncing,FullEventful,eg-invs,,atat,atat,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
4,8,it’s bouncing,FullEventful,eg-invs,,t,t,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
5,9,he/she is limping,FullEventful,eg-invs[perf2],,,,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
5,9,he/she is limping,FullEventful,eg-invs[perf2],,:t,:t,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
5,9,he/she is limping,FullEventful,eg-invs[perf2],,at,at,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
5,9,he/she is limping,FullEventful,eg-invs[perf2],,atat,atat,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
5,9,he/she is limping,FullEventful,eg-invs[perf2],,t,t,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd,,:tinvt,:tinvt,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd,,atatinvt,atatinvt,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd,,atinvt,atinvt,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd,,invt,invt,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd,,tinvt,tinvt,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[perf3],,:tinvt,:tinvt,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[perf3],,atatinvt,atatinvt,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[perf3],,atinvt,atinvt,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[perf3],,invt,invt,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[perf3],,tinvt,tinvt,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2-perf3],,:tinvtih,:tinvtih,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2-perf3],,atatinvtih,atatinvtih,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2-perf3],,atinvtih,atinvtih,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2-perf3],,invtih,invtih,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2-perf3],,tinvtih,tinvtih,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2],,:tinvtih,:tinvtih,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2],,atatinvtih,atatinvtih,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2],,atinvtih,atinvtih,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2],,invtih,invtih,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
6,10,he/she is bouncing it,FullEventful,ih-ohd[pres2],,tinvtih,tinvtih,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
7,11,he/she is putting on a belt,FullEventful,hih-lh,,:tlo,:tlo,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
7,11,he/she is putting on a belt,FullEventful,hih-lh,,atatlo,atatlo,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
7,11,he/she is putting on a belt,FullEventful,hih-lh,,atlo,atlo,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
7,11,he/she is putting on a belt,FullEventful,hih-lh,,tlo,tlo,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd,,:tolihst,:tolihst,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd,,atatolihst,atatolihst,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd,,atolihst,atolihst,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd,,olihst,olihst,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd,,tolihst,tolihst,False,False,False,False,a,vowel_a,False,ata,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,:tolihst,:tolihst,False,False,False,False,a,vowel_a,False,ata_:,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,atatolihst,atatolihst,False,False,False,False,a,vowel_a,False,none,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,atolihst,atolihst,False,False,False,False,a,vowel_a,False,at,False,False,False,False,False,False,False
10,14,he/she is praying,FullEventful,ih-ohd[perf3],,olihst,olihst,False,False,False,False,a,vowel_a,False,atat,False,False,False,False,False,False,False
