corpus_id,present,present_1sg,imperfective,perfective,imperative,infinitive
4,8.1,8.2,8.4,8.3,8.5,8.6
5,9.1,9.2,9.4,9.3,9.5,9.6
6,10.1,10.2,10.4,10.3,10.5,10.6
7,11.1,11.2,11.4,11.3,11.5,11.6
10,14.1,14.2,14.4,14.3,14.5,14.6
16,20.1,20.2,20.4,20.3,20.5,20.6
18,22.1,22.2,22.4,22.3,22.5,22.6
19,23.1,23.2,23.4,23.3,23.5,23.6
21,25.1,25.2,25.5,25.4,25.6,25.8
22,26.1,26.2,26.4,26.3,26.5,26.6
25,29.1,29.2,29.4,29.3,29.5,29.6
27,31.1,31.2,31.4,31.3,31.5,31.6
29,33.1,,33.3,33.2,,33.4
29,33.1,,33.3,33.2,,33.4
29,33.1,,33.3,33.2,,33.4
30,34.1,34.2,34.4,34.3,34.5,34.6
32,36.1,36.2,36.4,36.3,36.5,36.6
33,37.1,37.2,37.4,37.3,37.5,37.6
34,38.1,38.2,38.4,38.3,38.5,38.6
39,43.1,43.2,43.4,43.3,43.5,43.6
41,45.1,45.2,45.4,45.3,45.5,45.6
42,46.1,46.2,46.4,46.3,46.5,46.6
43,47.1,47.2,47.4,47.3,47.5,47.6
44,48.1,48.2,48.4,48.3,48.5,48.6
45,49.1,49.2,49.4,49.3,49.5,49.6
46,50.1,50.2,50.4,50.3,50.5,50.6
48,52.1,52.2,52.4,52.3,52.5,52.6
51,55.1,55.2,55.4,55.3,55.5,55.6
54,58.1,58.2,58.4,58.3,58.5,58.6
56,60.1,60.2,60.4,60.3,60.5,60.6
59,63.1,63.2,63.4,63.3,63.5,63.6
60,64.1,64.2,64.4,64.3,64.5,64.6
61,65.1,65.2,65.4,65.3,65.5,65.6
62,66.1,66.2,66.4,66.3,66.5,66.6
63,67.1,67.2,67.4,67.3,67.5,67.6
67,71.1,71.2,71.4,71.3,71.5,71.6
69,73.1,73.2,73.4,73.3,73.5,73.6
70,74.1,74.2,74.4,74.3,74.5,74.6
72,76.1,76.2,76.4,76.3,76.5,76.6
73,77.1,77.2,77.4,77.3,77.5,77.6
74,78.1,78.2,78.4,78.3,78.5,78.6
75,79.1,,79.3,79.2,,79.4
75,79.1,,79.3,79.2,,79.4
75,79.1,,79.3,79.2,,79.4
76,80.1,80.2,80.4,80.3,80.5,80.6
77,81.1,81.2,81.4,81.3,81.5,81.6
78,82.1,82.2,82.5,82.4,82.6,82.8
79,83.1,83.2,83.4,83.3,83.5,83.6
80,84.1,84.2,84.4,84.3,84.5,84.6
82,86.1,86.2,86.4,86.3,86.5,86.6
85,89.1,89.2,89.4,89.3,89.5,89.6
87,91.1,91.2,91.4,91.3,91.5,91.6
88,92.1,92.2,92.4,92.3,92.5,92.6
92,96.1,96.2,96.4,96.3,96.5,96.6
94,98.1,,98.3,98.2,,98.4
