corpus_id,original_word,stem,structure,aspect,person,number,pronominal_set
0,atshutsa,atshutsa,nominal,,,,
0,atshutsa,tshutsa,nominal,,3rd,singular,a
0,atshutsa,:tshutsa,nominal,,3rd,singular,a
0,atshutsa,atshutsa,nominal,,3rd,singular,a
1,atshvya,atshvya,nominal,,,,
1,atshvya,tshvya,nominal,,3rd,singular,a
1,atshvya,:tshvya,nominal,,3rd,singular,a
1,atshvya,atshvya,nominal,,3rd,singular,a
2,ata,ata,nominal,,,,
2,ata,ta,nominal,,3rd,singular,a
2,ata,:ta,nominal,,3rd,singular,a
2,ata,ata,nominal,,3rd,singular,a
3,a'ta,a'ta,nominal,,,,
3,a'ta,'ta,nominal,,3rd,singular,a
3,a'ta,:'ta,nominal,,3rd,singular,a
3,a'ta,a'ta,nominal,,3rd,singular,a
4,atatlohsti,atatlohst,nominal,imperfective,,,
4,atatlohsti,tatlohst,nominal,imperfective,3rd,singular,a
4,atatlohsti,:tatlohst,nominal,imperfective,3rd,singular,a
4,atatlohsti,atatlohst,nominal,imperfective,3rd,singular,a
4,atatlohsti,atatlohsti,nominal,,,,
4,atatlohsti,tatlohsti,nominal,,3rd,singular,a
4,atatlohsti,:tatlohsti,nominal,,3rd,singular,a
4,atatlohsti,atatlohsti,nominal,,3rd,singular,a
5,atatolihsti,atatolihst,nominal,imperfective,,,
5,atatolihsti,tatolihst,nominal,imperfective,3rd,singular,a
5,atatolihsti,:tatolihst,nominal,imperfective,3rd,singular,a
5,atatolihsti,atatolihst,nominal,imperfective,3rd,singular,a
5,atatolihsti,atatolihsti,nominal,,,,
5,atatolihsti,tatolihsti,nominal,,3rd,singular,a
5,atatolihsti,:tatolihsti,nominal,,3rd,singular,a
5,atatolihsti,atatolihsti,nominal,,3rd,singular,a
6,atakeyhti,atakeyht,nominal,imperfective,,,
6,atakeyhti,takeyht,nominal,imperfective,3rd,singular,a
6,atakeyhti,:takeyht,nominal,imperfective,3rd,singular,a
6,atakeyhti,atakeyht,nominal,imperfective,3rd,singular,a
6,atakeyhti,atakeyhti,nominal,,,,
6,atakeyhti,takeyhti,nominal,,3rd,singular,a
6,atakeyhti,:takeyhti,nominal,,3rd,singular,a
6,atakeyhti,atakeyhti,nominal,,3rd,singular,a
7,atahihi,atahih,nominal,imperfective,,,
7,atahihi,tahih,nominal,imperfective,3rd,singular,a
7,atahihi,:tahih,nominal,imperfective,3rd,singular,a
7,atahihi,atahih,nominal,imperfective,3rd,singular,a
7,atahihi,atahihi,nominal,,,,
7,atahihi,tahihi,nominal,,3rd,singular,a
7,atahihi,:tahihi,nominal,,3rd,singular,a
7,atahihi,atahihi,nominal,,3rd,singular,a
8,atalhinehsalhti,atalhinehsalht,nominal,imperfective,,,
8,atalhinehsalhti,talhinehsalht,nominal,imperfective,3rd,singular,a
8,atalhinehsalhti,:talhinehsalht,nominal,imperfective,3rd,singular,a
8,atalhinehsalhti,atalhinehsalht,nominal,imperfective,3rd,singular,a
8,atalhinehsalhti,atalhinehsalhti,nominal,,,,
