corpus_id,entry_no,definition,singular,plural,animate
0,4,boy,atshutsa,anitshutsa,
1,5,male animal,atshvya,anitshvya,
2,6,wood,ata,,
3,7,young animal (refers to an animal born in a litter or hatched),a'ta,anita,
4,12,belt,atatlohsti,titatlohsti,
5,13,prayer,atatolihsti,,
6,16,love,atakeyhti,,
7,17,thing that kills,atahihi,anatahihi,
8,18,purse,atalhinehsalhti,titalhinehsalhti,
9,19,gift,atanhehti,titanhehti,
10,21,fan,atanhoyo,titanhoyo,
11,24,cancer,atayhehski,,
12,27,adultery,atayhonehti,,
13,28,adulterer,atayhonehi,tinatayhonehi,
14,30,something that stings,atatsvyhski,anatatsvyhski,
15,32,mirror,atakhehti,titakhehti,
16,35,store,atana'nv'i,tatana'nv'i,
17,39,alternate,atanetliyvhstihski,anatanetliyvhstihski,
18,40,provisions,atanelhv'i,tatanelhv'i,
19,41,building,atanelv'i,tatanelv'i,
20,42,heart,atanhto,titanhto,
21,44,thought,atanhthehti,,
22,51,kitchen,atahstayhti'i,titahstayhti'i,
23,53,magician,atawehi,anitawehi,
24,56,flame,atawelakihski,titawelakihski,
25,57,gunpowder,atawelakihski,,
26,59,Adam,Atawi,,
27,61,swimming pool,atawohsti'i,titawohsti'i,
28,62,television,atayvlathvhski,titayvlathvhski,
29,68,money,atela,,
30,69,bank,ateltiyhti'i,atel tsuniyhti'i,
31,70,California,Ateltsulhv'i,,
32,72,dollars,atelv'i,,
33,75,curve,ateyohv'i,tateyohv'i,
34,85,something to drink,atithahsti,titithahsti,
35,87,spoon,atithohti,titithohti,
36,88,rubber,atla,,
37,90,pocket,atlawa'tv'i,tatlawa'tv'i,
38,93,revenge,atle'ihsti,,
39,94,apron,atlehsato,titlehsato,
40,95,turn-off,atlehskv'i,tatlehskv'i,
41,97,earring,atli'ato,titli'ato,
42,101,container (for liquid),atlihstohti,titlihstohti,
43,106,walking cane,atolanvhsti,titolanvhsti,
44,107,sorcerer,atonihski,tinatonihski,
45,108,freedom,atutalehsti,,
46,109,Dutch,Atvtsi,Anitvtsi,
47,112,actor,atvnelihski,anatvnelihski,
48,118,twister,akaluka,,
49,120,doctor,aka'nakhthi,anika'nakhthi,
50,125,seine,akayaluti,tikayaluti,
51,127,old woman,akayvlike'i,anikayvlike'i,
52,129,woman,akeyha,anikeyha,
53,130,girl,akeyhutsa,anikeyhutsa,
54,134,agony,akilhiyi,,
55,136,young animal (refers to an animal not born in litter or hatched),akina,anikina,
56,137,something to eat (refers to a single solid food),akihsti,,
