corpus_id,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
59,he/she is giving him/her it (refers to a long object),t-e33h,t-e33h,t-e33h,t-e33l,t-i21hsi2,t-e3ht
72,he/she is laying it down (refers to a long object),-t-i3',-t-i3',-t-i32hsk,-t-,-t-a2,-t-i21hst
80,he/she is leaving it behind (refers to a long object),ti32hs-i22y-a3',ti32hs-i22y-a3',ti32hs-i22y-a32hsk,ti32hs-i22y-,ti21hs-i23y-a2,ti21hs-i23y-a32hst
95,he/she is drawing a liquid out of a container,tl-i23h,tl-i3',tl-i23hsk,tl-v22h,tl-a2,tl-v2ht
96,he/she is pouring a liquid into a container,tli32hst-i2h,tli32hst-i2h,tli32hst-i22hsk,tli32hst-ha2n,tli21hst-a2,tli21hst-o2ht
112,it is shining (refers to sun or moon),ka33l-i2h,,ka33l-i22hsk,ka33l-i22hs,,ka22l-i23hi3hst
115,he/she is licking it,ka2n-a23t-i3',ka2n-a23t-i3',ka2n-a23t-i32hsk,ka2n-a33t-,ka2n-a23t-a2,ka2n-a23t-i32hst
117,he/she is warming it,ka22na2wht-i3h,ka22na2wo21t-i3h,ka22na2wht-i23hsk,ka22na2wht-ha2n,ka22na2wht-a2,ka22na2wht-o3ht
118,it’s getting warm,ka22na2wo22-hsk,,ka22na2wo22-hsk,ka22na2wo22-hs,,ka22na2wo22-hi2hst
127,he/she is eating it (refers to a single solid food),k-i3',k-i3',k-i32hsk,k-,k-a2,k-i21hst
128,he/she is picking it up,-ki33',-ki33',-ki33hsk,-ki33hs,-ki2,-ki21hst
130,he/she is in agony,ki22lhi23yo32-k,ki21li23yo32-k,ki22lhi23yo32-k,ki22lhi23yo32-ts,ki22lhi22yo21-ki2,ki22lhi23yo33-hst
133,he/she is chewing it,ki32hst-o2',ki32hst-o2',ki32hst-o21hsk,ki32hst-o2',ki21hst-o23tsa2,ki21hst-o21hst
138,he/she is reading,ko22li23y-e3',ko22li23y-e3',ko22li23y-e32hsk,ko22li23y-e3',ko22li23y-a2,ko22li23y-e32t
145,he/she is showing it to him/her,ko2whthv2ht-i3h,ko21whthv2ht-i3h,ko2whthv2ht-i23hsk,ko2whthv2ht-ha2n,ko21whthv2ht-a2,ko2whthv2ht-o3ht
149,he/she is chopping it up,kv22ha3lu32y-hsk,kv2'a2lu32y-hsk,kv22ha2lu32y-hsk,kv22ha2lu32y-h,kv22ha2lu21y-ha2,kv22ha2lu21y-hst
152,he/she is scolding him/her,kv22hsko23l-v32hsk,kv21hsko23l-v32hsk,kv22hsko23l-v32hsk,kv22hsko23l-v32n,kv21hsko22l-v2'v21ka2,kv22hsko23l-v32t
155,he/she is diverting him/her,ha2lu23-ki3','a2lu23-ki3',ha2lu23-ki32hsk,ha2lu23-ki32hs,'a2lu23-ki2,ha2lu23-ki32hst
158,he/she is smothering him/her,ha2wo33hst-i2h,'a2wo33hst-i2h,ha2wo33hst-i22hsk,ha2wo33hst-ha2n,'a2wo21hst-a2,ha2wo21hst-o2ht
160,he/she is handling it,h-i23t-o32h,'-i23t-o32h,h-i23t-o32h,h-i23t-o32l,h-i23t-a2,h-i23t-a32hst
165,he/she is leaving it behind,h-i22y-a3','-i22y-a3',h-i22y-a32hsk,h-i33y-,h-i23y-a2,h-i23y-a32hst
166,he/she is placing it on something,lha2-hv3hsk,lha2-hv3hsk,lha2-hv3hsk,lha2-nh,lha2-hv21ka2,lh-o2ht
182,he/she is beating him/her at a game,lho22-hsk,lho22-hsk,lho22-hsk,lho22-hs,lho23-hi2,lho22-hi2hst
200,he/she is putting it in liquid (refers to a long object),hu22-t-i3','u22-t-i3',hu22-t-i32hsk,hu33-t-,hu23-t-a2,hu23-t-i32hst
204,he/she is hitting him/her on the mouth,hu22l-v33n-i2h,'u22l-v33n-i2h,hu22l-v33n-i2h,hu22l-v23n-i32l,'u22l-v22n-i21ka2,hu22l-v23n-i32hst
205,he/she is moving it from one place to another,h-v33','-v33',h-v33hsk,h-v33hs,h-v23na2,h-v21hst
206,he/she is setting it down,-hv3hsk,-'v3hsk,-hv2hsk,-nh,-hv21ka2,-ht
207,he/she is finding him/her,wha2hth-i3h,wa2hth-i3h,wha2hth-i23hsk,wha2hth-v22h,wa2hth-a2,wha2hth-v2ht
208,he/she is visiting him/her,wha2hthv22h-i23t-o32h,wa2hthv22h-i23t-o32h,wha2hthv22h-i23t-o32h,wha2hthv22h-i23t-o32l,wa2hthv22h-i23t-a2,wha2hthv22h-i23t-a32hst
210,he/she is planting it,whi2-hsk,wi2-hsk,whi2-hsk,whi2-hs,whi2-,whi2-hst
215,he/she is calling him/her,yha2n-i3h,ya2n-i3h,yha2n-i23hsk,yha2n-v22h,ya2n-a2,yha2n-ht
216,he/she is taking it somewhere by hand,yh-e33k,y-e33k,yh-e33k,yh-v33hs,yh-u21ka2,yh-v21hst
218,he/she is quilting it,yhe2hka2l-hv3hsk,ye2hka2l-hv3hsk,yhe2hka2l-hv3hsk,yhe2hka2l-ha3n,yhe2hka2l-hv21ka2,yhe2hka2l-ht
219,he/she is making an incision,yhe23l-ho3h,ye23l-ho3h,yhe23l-ho3h,yhe23l-ha3l,ye22l-a2ka2,yhe23l-hst
220,he/she is imitating him/her,yhe22l-i33',ye22l-i33',yhe22l-i33hsk,yhe22l-i33hs,ye23l-a2,yhe22l-i21hst
222,he/she is looking for him/her,y-ho3h,y-o3h,y-ho2h,y-ha2l,y-hka2,y-hst
224,it’s thundering,yhv22ta2kwa2l-o3',,yhv22ta2kwa3l-o32hsk,yhv22ta2kwa2l-o3',,yhv22ta2kwa2l-o21hst
228,he/she is bending it,yhv2hkwi3t-v32hsk,yv2hkwi3t-v32hsk,yhv2hkwi3t-v32hsk,yhv2hkwi3t-v32n,yhv2hkwi2t-v2'v21ka2,yhv2hkwi2t-v21t
232,he/she is capturing him/her,yhv23khi33-t-i2',yv23khi33-t-i2',yhv23khi33-t-i21hsk,yhv23khi33-t-,yv22khi23-t-a2,yhv23khi33-t-i21hst
233,he/she is hitting him/her on the nose,yhv23hste33lu22-hv2hsk,yv23hste33lu22-hv2hsk,yhv23hste33lu22-hv2hsk,yhv23hste33lu22-nh,yv22hste22lu22-hv21ka2,yhv23hste33lu2-ht
234,he/she is choking him/her,yhv2hski23y-i33h,yv2hski23y-i33h,yhv2hski23y-i33hsk,yhv2hski23y-v33h,yv2hski23y-a2,yhv2hski23y-ht
253,he/she is lighting a fire,tsi33hsl-hv22hsk,tsi33hsl-hv2hsk,tsi33hsl-hv2hsk,tsi33hsl-ha2n,tsi21hsl-hv21ka2,tsi21hsl-hv3hst
255,he/she is turning on a light,tsv22hst-hv3hsk,tsv21hst-hv2hsk,tsv22hst-hv3hsk,tsv22hst-ha3n,tsv22hst-hv21ka2,tsv22hst-hv3hst
259,he/she is chasing him/her,khe23h-e32k,khe23h-e32k,khe23h-e32k,khe23h-v32hs,khe22h-u21ka2,khe23h-v32hst
263,he/she is swallowing it,khi2-hsk,'ki2-hsk,khi2-hsk,khi2-hs,khi2-hi2,khi2-hi2hst
266,he/she is shovelling it,kho23t-e3',kho23t-e3',kho23t-e32hsk,kho23t-e32hs,kho22t-a2ki2,kho23t-e32hst
270,he/she is going down-hill,khso3-hsk,ka21hso3-hsk,khso3-hsk,khso3-hs,khso21-hi2,khso21-hi2hst
273,he/she knows how,khtha2-h,ka21tha2-h,khtha2-h,,,
278,he/she is hitting him/her on the eye,khthe22lu22-hv3hsk,ka21the22lu22-hv3hsk,khthe22lu22-hv2hsk,khthe22lu22-nh,ka21the22lu22-hv21ka2,khthe22lu2-ht
280,he/she is looking around,khthe33n-o2h,ka21the33n-o2h,khthe33n-o2h,khthe23n-o32l,khthe22n-a2ka2,khthe23n-a32hst
290,he/she is going through it,khthv33le22-hsk,ka21thv33le22-hsk,khthv33le22-hsk,khthv33le22-hs,khthv22le23-hi2,khthv22le23-hi3hst
291,he/she is dipping liquid,khu23-ki3','ku23-ki3',khu23-ki32hsk,khu23-ki32hs,khu23-ki2,khu23-ki32hst
366,they are asleep (refers to more than two),lhi3n-,lhi3n-,lhi3n-,,,
373,he/she is setting a trap,hsa2t-v32hsk,hsa2t-v32hsk,hsa2t-v32hsk,hsa2t-v32n,hsa22t-v22'v21ka2,hsa2t-v21t
374,he/she is lifting him/her,hsa2la2t-i3',hsa2la2t-i3',hsa2la2t-i32hsk,hsa2la2t-a32n,hsa2la2t-v21ka2,hsa2la2t-o21t
377,he/she is making it crisp,hsta2ka2yht-i3h,hsta2ka2yht-i3h,hsta2ka2yht-i23hsk,hsta2ka2yht-ha3n,hsta2ka2yht-a2,hsta2ka2yht-o3ht
378,it’s becoming crisp,hsta2ka2yv22-hi3h,,hsta2ka2yv22-hi2h,hsta2ka2yv22-lh,,
