corpus_id,original_word,stem,structure,aspect,person,number,pronominal_set,noun_template,verb_root,paradigm,is_animate_plural,is_distributive_plural,is_valid
0,atshutsa,atshutsa,nominal,,,,,root,atshutsa,root,False,False,True
0,atshutsa,tshutsa,nominal,,3rd,singular,a,root,tshutsa,root,False,False,True
0,atshutsa,:tshutsa,nominal,,3rd,singular,a,root,:tshutsa,root,False,False,True
0,atshutsa,atshutsa,nominal,,3rd,singular,a,root,atshutsa,root,False,False,True
1,atshvya,atshvya,nominal,,,,,root,atshvya,root,False,False,True
1,atshvya,tshvya,nominal,,3rd,singular,a,root,tshvya,root,False,False,True
1,atshvya,:tshvya,nominal,,3rd,singular,a,root,:tshvya,root,False,False,True
1,atshvya,atshvya,nominal,,3rd,singular,a,root,atshvya,root,False,False,True
2,ata,ata,nominal,,,,,root,ata,root,False,False,True
2,ata,ta,nominal,,3rd,singular,a,root,ta,root,False,False,True
2,ata,:ta,nominal,,3rd,singular,a,root,:ta,root,False,False,True
2,ata,ata,nominal,,3rd,singular,a,root,ata,root,False,False,True
3,a'ta,a'ta,nominal,,,,,root,a'ta,root,False,False,True
3,a'ta,'ta,nominal,,3rd,singular,a,root,'ta,root,False,False,True
3,a'ta,:'ta,nominal,,3rd,singular,a,root,:'ta,root,False,False,True
3,a'ta,a'ta,nominal,,3rd,singular,a,root,a'ta,root,False,False,True
4,atatlohsti,atatlohst,nominal,imperfective,,,,agentive,atatlohst,stative,False,False,False
4,atatlohsti,tatlohst,nominal,imperfective,3rd,singular,a,agentive,tatlohst,stative,False,False,False
4,atatlohsti,:tatlohst,nominal,imperfective,3rd,singular,a,agentive,:tatlohst,stative,False,False,False
4,atatlohsti,atatlohst,nominal,imperfective,3rd,singular,a,agentive,atatlohst,stative,False,False,False
4,atatlohsti,atatlohsti,nominal,,,,,root,atatlohsti,root,False,False,True
4,atatlohsti,tatlohsti,nominal,,3rd,singular,a,root,tatlohsti,root,False,False,True
4,atatlohsti,:tatlohsti,nominal,,3rd,singular,a,root,:tatlohsti,root,False,False,True
4,atatlohsti,atatlohsti,nominal,,3rd,singular,a,root,atatlohsti,root,False,False,True
5,atatolihsti,atatolihst,nominal,imperfective,,,,agentive,atatolihst,stative,False,False,True
5,atatolihsti,tatolihst,nominal,imperfective,3rd,singular,a,agentive,tatolihst,stative,False,False,True
5,atatolihsti,:tatolihst,nominal,imperfective,3rd,singular,a,agentive,:tatolihst,stative,False,False,True
5,atatolihsti,atatolihst,nominal,imperfective,3rd,singular,a,agentive,atatolihst,stative,False,False,True
5,atatolihsti,atatolihsti,nominal,,,,,root,atatolihsti,root,False,False,True
5,atatolihsti,tatolihsti,nominal,,3rd,singular,a,root,tatolihsti,root,False,False,True
5,atatolihsti,:tatolihsti,nominal,,3rd,singular,a,root,:tatolihsti,root,False,False,True
5,atatolihsti,atatolihsti,nominal,,3rd,singular,a,root,atatolihsti,root,False,False,True
6,atakeyhti,atakeyht,nominal,imperfective,,,,agentive,atakeyht,stative,False,False,True
6,atakeyhti,takeyht,nominal,imperfective,3rd,singular,a,agentive,takeyht,stative,False,False,True
6,atakeyhti,:takeyht,nominal,imperfective,3rd,singular,a,agentive,:takeyht,stative,False,False,True
6,atakeyhti,atakeyht,nominal,imperfective,3rd,singular,a,agentive,atakeyht,stative,False,False,True
6,atakeyhti,atakeyhti,nominal,,,,,root,atakeyhti,root,False,False,True
6,atakeyhti,takeyhti,nominal,,3rd,singular,a,root,takeyhti,root,False,False,True
6,atakeyhti,:takeyhti,nominal,,3rd,singular,a,root,:takeyhti,root,False,False,True
6,atakeyhti,atakeyhti,nominal,,3rd,singular,a,root,atakeyhti,root,False,False,True
7,atahihi,atahih,nominal,imperfective,,,,agentive,atahi,stative-h,False,False,False
7,atahihi,tahih,nominal,imperfective,3rd,singular,a,agentive,tahi,stative-h,False,False,False
7,atahihi,:tahih,nominal,imperfective,3rd,singular,a,agentive,:tahi,stative-h,False,False,False
7,atahihi,atahih,nominal,imperfective,3rd,singular,a,agentive,atahi,stative-h,False,False,False
7,atahihi,atahihi,nominal,,,,,root,atahihi,root,False,False,True
7,atahihi,tahihi,nominal,,3rd,singular,a,root,tahihi,root,False,False,True
7,atahihi,:tahihi,nominal,,3rd,singular,a,root,:tahihi,root,False,False,True
7,atahihi,atahihi,nominal,,3rd,singular,a,root,atahihi,root,False,False,True
8,atalhinehsalhti,atalhinehsalht,nominal,imperfective,,,,agentive,atalhinehsalht,stative,False,False,False
8,atalhinehsalhti,talhinehsalht,nominal,imperfective,3rd,singular,a,agentive,talhinehsalht,stative,False,False,False
8,atalhinehsalhti,:talhinehsalht,nominal,imperfective,3rd,singular,a,agentive,:talhinehsalht,stative,False,False,False
