definition,present,imperfective,perfective,imperative,infinitive
he's putting on his socks,taliyohi,taliyohih,tuliyohl,thaliyoka,tsuliyost
he's taking a drink (alcoholic beverage),athuki,athukisk,uthukis,hathuki,uthukist
he thinks so,eli,elisk,uwelis,hela,uwelist
"he's catching a falling person, object",askwahle,askwahlesk,uskwahles,hiskwahlaki,uskwahlest
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",nikawe,nikawesk,nuwes,hniwi,iyuwest
it's hatching,atsai,atsaisk,utsais,hatsai,utsaist
he's opening it,astui,astuisk,ustuis,histui,ustuist
it's freezing,kanestalati,kanestalatisk,unestalat,hinestalata,unestalatist
he's getting married,anelati,anelatisk,unelat,hanelata,unelatist
1. he's pleading 2. he's urging,kanilati,kanilatisk,unilat,hinilata,unilatist
he's capturing him,ahyvkhiti,ahyvkhitisk,uhyvkhit,hiyvkhita,uhyvkhitist
he's bewitching him,kanekuti,kanekutisk,unekut,hinekuta,unekutist
it's burning (flames),atawelaki,atawelakisk,utawelak,hatawelaka,utawelakist
he's taking off his socks,taliyoki,taliyokisk,tuliyokis,thaliyoki,tsuliyokist
he's chewing it,akisto,akistosk,ukisto,hikistotsa,ukistost
1. he's pondering it  2. he's considering,atanhthehilo,atanhthehilosk,utanhthehilo,hatanhthehilotsa,utanhthehilost
he's taking a step,alaskv,alaskvsk,ulaskvs,halaskvna,ulaskvst
he's replying,kawohiliyv,kawohiliyvsk,uwohiliyvs,hawohiliyvna,uwohiliyvst
"he, it's changing",atanetliyv,atanetliyvsk,utanetliyvs,hatanetliyvna,utanetliyvst
he's changing it,kanetliyv,kanetliyvsk,unetliyvs,hinetliyvna,unetliyvst
he's erasing it,askolvti,askolvtisk,uskolvt,hiskolvta,uskolvtist
"he, it's moving from one place to another",atanv,atanvsk,utanvs,hatanvna,utanvst
"he's learning, he's learning it",atehlohkwa,atehlohkwask,utehlohkwa,hatehlohkwa,utehlohkwast
he's leaving it behind,ahiya,ahiyask,uhiy,hihiya,uhiyast
he's leaving a living thing behind,kakhahiya,kakhahiyask,uwakhahiy,hiyakhahiya,uwakhahiyast
he's leaving it (flexible),kaniya,kaniyask,uniy,hiniya,uniyast
he's leaving a long object behind,atisiya,atisiyask,utisiy,hitisiya,utisiyast
he's scattering it,atikaleya,atikaleyask,utikaley,hatikaleya,utikaleyast
1. he's racing 2. he's running for office,athohkiya,athohkiyask,uthohkiy,hathohkiya,uthohkiyast
he's shoveling it,akhote,akhotesk,ukhotes,hikhotaki,ukhotest
"he's taking off, removing a cap",alstule,alstulesk,ulstules,halstulaki,ulstulest
he's oiling it,kalone,kalonesk,ulone,hilona,ulonet
he's washing (dishes),tekvtiye,tekvtiyesk,tuwatiye,thvtiya,tsuwatiyet
"1. he's reading, 2. he's examining him, it",akoliye,akoliyesk,ukoliye,hikoliya,ukoliyet
"he's rubbing him, it",askoliye,askoliyesk,uskoliye,hiyaskoliya,uskoliyet
he's laying a long object down,ati,atisk,ut,hita,utist
"he's remembering him, it",anhtati,anhtatisk,unhtat,hiyanvtata,unhtatist
"he's lifting him, raising him, it",asalati,asalatisk,usalatan,hisalatvka,usalatot
"he, it's ascending, raising",alsalati,alsalatisk,ulsalatan,halsalatvka,ulsalatot
he's mooring a boat,athalati,athalatisk,uthalat,hithalata,uthalatist
he's joining,athelati,athelatisk,uthelat,hathelata,uthelatist
"he's roping him, it",aslati,aslatisk,uslat,hislata,uslatist
he's hanging up a long object,khthosati,khthosatisk,uwhthosat,hathosata,uwhthosatist
"he's placing his hand on him, it",asihthati,asihthatisk,usihthat,hiyasihthata,usihthatist
he's sending a long object,wati,watisk,wut,hwita,wutist
he's finishing it,askwati,askwatisk,uskwat,hiskwata,uskwatist
it's ending,alskwati,alskwatisk,ulskwat,,ulskwatist
he's exchanging/trading it,aliiti,aliitisk,uliit,haliita,uliitist
he's putting a long object in liquid,ahuti,ahutisk,uhut,hihuta,uhutist
he's receiving punishment,ustvti,ustvtisk,ustvt,thstvta,ustvtist
he's putting a long object in a container,kalati,kalatisk,ulat,hilata,ulatist
he's hiding a long object,kvskalati,kvskalatisk,uwaskalat,hvskalata,uwaskalatist
it's misting,khanuyolati,khanuyolatisk,uhnuyolat,,uhnuyolatist
he's setting up a bed,kanihlati,kanihlatisk,unihlat,hinihlata,unihlatist
he's licking it,akanati,akanatisk,ukanat,hikanata,ukanatist
he's sticking his head out,alskwaluti,alskwalutisk,ulskwalutan,halskwalutvka,ulskwalutot
"he's missing him, it",kanvti,kanvtisk,unvt,hinvta,unvtist
he's eating it (a single solid food),aki,akisk,uk,hika,ukist
1. he's leaving  2. it's starting,ahniki,ahnikisk,uhnikis,hahniki,uhnikist
he's gnawing it,askoki,askokisk,uskok,hiskoka,uskokist
he's eating a long object,astiki,astikisk,ustik,histika,ustikist
it's flooding,kanohuki,kanohukisk,unohukan,,unohukot
he's dipping liquid,akhuki,akhukisk,ukhukis,hikhuki,ukhukist
he's plowing it,kataluki,katalukisk,uwatalukan,hitalukvka,uwatalukot
1. he's tickling him; 2. he's spurring a horse,tahyvki,tahyvkisk,tuhyvk,thiyvka,tsuhyvkist
he's putting his gloves on,taliyesuli,taliyesulisk,tuliyesulan,thaliyesulvka,tsuliyesulot
he's putting his pants on,asuli,asulisk,usulan,hasulvka,usulot
he's putting on a cap,alstuli,alstulisk,ulstulan,halstulvka,ulstulot
he's pouring liquid from a container,atli,atlisk,utl,hitlika,utlist
he's sprinkling it (with a liquid),tastutli,tastutlisk,tustutl,thistutla,tsustutlist
he's shivering,uwanawi,uwanawisk,uwanaw,tsanawa,uwanawist
"1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)",atsewi,atsewisk,utsew,hatsewa,utsewast
"1. he's curing, doctoring him, 2. he's soldering, welding it",khanvwi,khanvwisk,uhnvwan,hinvwvka,uhnvwot
it's thundering,ahyvtakwalo,ahyvtakwalosk,uhyvtakwalo,,uhyvtakwalost
he's leaving some liquid,kanehiya,kanehiyask,unehiy,hinehiya,unehiyast
he's removing it (solid or flexible object) from a hanging position,kate,katesk,utes,hataki,utest
he's breathing,khawolate,khawolatesk,uhwolates,hahwolataki,uhwolatest
he's taking off his glasses,takhthinvte,takhthinvtesk,tukhthinvtes,thakhthinvtaki,tsukhthinvtest
he's taking it off,nikvnhte,nikvnhtesk,nuwanhtes,hnvnhtaki,iyuwanhtest
He's getting drunk,uhyvste,uhyvstesk,uhyvsta,tshayvstaka,uhyvstest
he's taking a bite,athste,athstesk,uthstes,hathstaki,uthstest
"1. he's unhitching him, it 2. he's unhooking it 3. he's unplugging it",kutale,kutalesk,uwutales,hiyutalaki,uwutalest
he's taking it (solid or flexible object) out of a container,kale,kalesk,ules,hilaki,ulest
he's taking off his shoes,talasule,talasulesk,tulasules,thalasulaki,tsulasulest
he's taking off his gloves,taliyesule,taliyesulesk,tuliyesules,thaliyesulaki,tsuliyesulest
he's taking his pants off,asule,asulesk,usules,hasulaki,usulest
he's turning off the road,atle,atlesk,utles,hatlaki,utlest
1. he's getting a flexible object  2. he's picking up a flexible object,kane,kanesk,unes,hinaki,unest
he's pulling a trigger,kotsane,kotsanesk,uwotsanes,hotsanaki,uwotsanest
"he's pulling him, it",kansane,kansanesk,unsanes,hinasanaki,unsanest
he's conjuring,tatahnese,tatahnesesk,tutahnesa,thatahnesaka,tsutahnesest
"he's kicking him, it",ahyvhthe,ahyvhthesk,uhyvhthes,hiyayhthaki,uhyvhthest
"he's picking him, it up",kuthe,kuthesk,uwuthes,hyuthaki,uwuthest
"he's taking his shirt, coat off",ahnawe,ahnawesk,uhnawes,hahnawaki,uhnawest
he's undressing,tahnawe,tahnawesk,tuhnawes,thahnawaki,tsuhnawest
"he's choosing him, it",asuye,asuyesk,usuyes,hiyasuyaki,usuyest
he's eating a flexible object,kahye,kahyesk,uwahya,hiyayaka,uwahyest
1. he's picking it up  2. he's getting it,aki,akisk,ukis,hiki,ukist
he's waving his hand,asolvtaki,asolvtakisk,usolvtakis,hasolvtaki,usolvtakist
he's having a nightmare,ahliki,ahlikisk,uhlikis,hahliki,uhlikist
he's snoring,takhwalaki,takhwalakisk,tukhwalakis,thikhwalaki,tsukhwalakist
he's thirsty,uthateki,uthatekisk,uthatekan,thsthatekvka,uthatekot
1. he's getting some liquid  2. he's picking up some liquid,kaneki,kanekisk,unekis,hineki,unekist
he's taking his hat off,alskwethuhki,alskwethuhkisk,ulskwethuhkis,halskwethuhki,ulskwethuhkist
he's hoeing it,kaloki,kalokisk,ulokan,hilokvka,ulokot
he's singing,tekhanoki,tekhanokisk,tuhnokis,thihnoki,tsuhnokist
"he hears him, it",athvki,athvkisk,uthvkan,hiyathvkvka,uthvkot
he's dancing,alski,alskisk,ulskis,halski,ulskist
it's exploding,athaski,athaskisk,uthaskis,hathaski,uthaskist
he's stealing it,kanoski,kanoskisk,unoskis,hinoski,unoskist
he's taking his ring off,aliyesusthki,aliyesusthkisk,uliyesusthkis,haliyesusthki,uliyesusthkist
"he's shelling, picking out (peas, nut meats, etc.)",tekvthohi,tekvthohisk,tuwvthohis,thvthohi,tsuwvthohist
"1. he's imitating him, it 2. he's mocking him",ahyeli,ahyelisk,uhyelis,hiyela,uhyelist
he's writing it,kohweli,kohwelisk,uwohwelan,hohwelvka,uwohwelot
"he's running away, he's escaping",alithi,alithisk,ulithis,halithi,ulithist
he's crushing it,asto,astosk,usto,histotsa,ustost
he's hammering it,kanvkwalo,kanvkwalosk,unvkwalo,hinvkwalotsa,unvkwalost
