corpus_id,entry_no,definition,present,present_1sg,imperfective,perfective,imperative,infinitive
4,8,it’s bouncing,atatek,katatek,atatek,utatinvhs,hatatuka,utatinvt
5,9,he/she is limping,atatek,katatek,atatek,utatehs,hatatuka,utatinvt
6,10,he/she is bouncing it,atatinvtih,katatinvtih,atatinvtihsk,utatinvthan,hatatinvta,utatinvtoht
7,11,he/she is putting on a belt,atatlohih,katatlohih,atatlohih,utatlolh,hatatloka,utatlohst
10,14,he/she is praying,atatolihstih,katatolihstih,atatolihstihsk,utatolihsthan,hatatolihsta,utatolihstoht
16,20,he/she is fanning himself/herself,atanhoyeh,katanoyeh,atanhoyehsk,utanhoyeh,hatanhoyvla,utanhoyeht
18,22,he/she is visiting,atawhahthvhitoh,katawahthvhitoh,atawhahthvhitoh,utawhahthvhitol,hatawhahthvhita,utawhahthvhitahst
19,23,he/she is stretching,atayhahstih,katayahstih,atayhahstihsk,utayhahsthan,hatayhahsta,utayhahstoht
21,25,he/she is denying him/her,atayhih,tsiyata'yih,atayhih,utayhil,hiyatayika,utayhst
22,26,he/she is committing adultery,atayhoneh,katayoneh,atayhoneh,utayhonel,hatayhonvla,utayhoneht
25,29,it’s ripping,atatsakalih,katatsakali',atatsakalihsk,utatsakalvh,hatatsakala,utatsakalht
27,31,he/she is looking at himself/herself in a mirror,atakheh,katakheh,atakhehsk,utakheh,hatakhvla,utakheht
29,33,it’s beginning,atalenih,,atalenihsk,utalenvh,,utalenht
30,34,he/she is shopping,atananehsvhvhsk,katananehsvhvhsk,atananehsvhvhsk,utananehsvnh,hatananehsvhvka,utananehsvhvhst
32,36,he/she is taking off running,atanawhstih,katanawhstih,atanawhstihsk,utanawhsthan,hatanawhsta,utanawhstoht
33,37,he/she is changing,atanetliyv',katanetliyv',atanetliyvhsk,utanetliyvhs,hatanetliyvna,utanetliyvhst
34,38,he/she is taking turns with him/her,atanetliyvhstih,katanetliyvhstih,atanetliyvhstihsk,utanetliyvhsthan,hatanetliyvhsta,utanetliyvhstoht
