corpus_id,definition,class,present,present_1sg,imperfective,perfective,imperative,infinitive
4,it’s bouncing,go-in,atat,katat,atat,utat,hatat,utat
5,he/she is limping,go-in[perf2],atat,katat,atat,utat,hatat,utat
6,he/she is bouncing it,cause,atatinvt,katatinvt,atatinvt,utatinvt,hatatinvt,utatinvt
6,he/she is bouncing it,cause[perf3],atatinvt,katatinvt,atatinvt,utatinvth,hatatinvt,utatinvt
6,he/she is bouncing it,cause[pres2],atatinvtih,katatinvtih,atatinvt,utatinvt,hatatinvt,utatinvt
6,he/she is bouncing it,cause[pres2-perf3],atatinvtih,katatinvtih,atatinvt,utatinvth,hatatinvt,utatinvt
7,he/she is putting on a belt,hih-lh,atatlo,katatlo,atatlo,utatlo,hatatlo,utatlo
7,he/she is putting on a belt,hih-lh[imp2],atatlo,katatlo,atatlo,utatlo,hatatlok,utatlo
10,he/she is praying,cause,atatolihst,katatolihst,atatolihst,utatolihst,hatatolihst,utatolihst
10,he/she is praying,cause[perf3],atatolihst,katatolihst,atatolihst,utatolihsth,hatatolihst,utatolihst
10,he/she is praying,cause[pres2],atatolihstih,katatolihstih,atatolihst,utatolihst,hatatolihst,utatolihst
10,he/she is praying,cause[pres2-perf3],atatolihstih,katatolihstih,atatolihst,utatolihsth,hatatolihst,utatolihst
16,he/she is fanning himself/herself,apl-active,atanhoy,katanoy,atanhoy,utanhoy,hatanhoy,utanhoy
16,he/she is fanning himself/herself,apl-active-a,atanhoy,katanoy,atanhoy,utanhoy,hatanhoyvl,utanhoye
18,he/she is visiting,be-at,atawhahthvh,katawahthvh,atawhahthvh,utawhahthvh,hatawhahthvh,utawhahthvh
18,he/she is visiting,be-at-weak,atawhahthvhit,katawahthvhit,atawhahthvhit,utawhahthvhit,hatawhahthvhit,utawhahthvhit
19,he/she is stretching,cause,atayhahst,katayahst,atayhahst,utayhahst,hatayhahst,utayhahst
19,he/she is stretching,cause[perf3],atayhahst,katayahst,atayhahst,utayhahsth,hatayhahst,utayhahst
19,he/she is stretching,cause[pres2],atayhahstih,katayahstih,atayhahst,utayhahst,hatayhahst,utayhahst
19,he/she is stretching,cause[pres2-perf3],atayhahstih,katayahstih,atayhahst,utayhahsth,hatayhahst,utayhahst
