definition,class,strictness,scope,stem_final_match_present,stem_final_match_imperfective,stem_final_match_perfective,stem_final_match_imperative,stem_final_match_infinitive
he's putting on his socks,VIa2,loose,full,True,True,True,True,True
he's putting on his socks,VIIa2,loose,full,True,True,True,True,True
he's taking a drink (alcoholic beverage),Ia,strict,reconstructs,True,True,True,True,True
he's taking a drink (alcoholic beverage),Ia,loose,full,True,True,True,True,True
he thinks so,Ia,strict,ending,True,True,True,False,True
he thinks so,Ia,loose,ending,True,True,True,False,True
he thinks so,Id,strict,ending,False,False,False,True,False
he thinks so,Id,loose,ending,False,False,False,True,False
he thinks so,IIa,loose,ending,False,False,False,True,False
he thinks so,Vb*,strict,ending,False,False,False,False,False
he thinks so,Vb*,loose,ending,False,False,False,False,False
"he's catching a falling person, object",Ia,strict,ending,False,False,False,True,False
"he's catching a falling person, object",Ia,loose,ending,False,False,False,True,False
"he's catching a falling person, object",Ia*,strict,full,True,True,True,True,True
"he's catching a falling person, object",Ia*,loose,full,True,True,True,True,True
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",Ia,strict,ending,False,False,False,True,False
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",Ia,loose,ending,False,False,False,True,False
it's hatching,Ia,strict,reconstructs,True,True,True,True,True
it's hatching,Ia,loose,full,True,True,True,True,True
he's opening it,Ia,strict,reconstructs,True,True,True,True,True
he's opening it,Ia,loose,full,True,True,True,True,True
it's freezing,Id,strict,ending,False,False,False,True,False
it's freezing,Id,loose,ending,False,False,False,True,False
it's freezing,IIa,loose,ending,False,False,False,False,False
it's freezing,Vb*,strict,reconstructs,True,True,True,True,True
it's freezing,Vb*,loose,full,True,True,True,True,True
he's getting married,Id,strict,ending,False,False,False,True,False
he's getting married,Id,loose,ending,False,False,False,True,False
he's getting married,IIa,loose,ending,False,False,False,False,False
he's getting married,Vb*,strict,reconstructs,True,True,True,True,True
he's getting married,Vb*,loose,full,True,True,True,True,True
1. he's pleading 2. he's urging,Id,strict,ending,False,False,False,True,False
1. he's pleading 2. he's urging,Id,loose,ending,False,False,False,True,False
1. he's pleading 2. he's urging,IIa,loose,ending,False,False,False,False,False
1. he's pleading 2. he's urging,Vb*,strict,reconstructs,True,True,True,True,True
1. he's pleading 2. he's urging,Vb*,loose,full,True,True,True,True,True
he's capturing him,Id,strict,ending,False,False,False,True,False
he's capturing him,Id,loose,ending,False,False,False,True,False
he's capturing him,IIa,loose,ending,False,False,False,False,False
he's capturing him,Vb*,strict,reconstructs,True,True,True,True,True
he's capturing him,Vb*,loose,full,True,True,True,True,True
he's bewitching him,Id,strict,ending,False,False,False,True,False
he's bewitching him,Id,loose,ending,False,False,False,True,False
he's bewitching him,IIa,loose,ending,False,False,False,False,False
he's bewitching him,Vb*,strict,reconstructs,True,True,True,True,True
he's bewitching him,Vb*,loose,full,True,True,True,True,True
it's burning (flames),Id,strict,ending,False,False,False,True,False
it's burning (flames),Id,loose,ending,False,False,False,True,False
it's burning (flames),IIa,loose,ending,False,False,False,False,False
it's burning (flames),Vb*,strict,reconstructs,True,True,True,True,True
it's burning (flames),Vb*,loose,full,True,True,True,True,True
he's taking off his socks,Ia,strict,reconstructs,True,True,True,True,True
he's taking off his socks,Ia,loose,full,True,True,True,True,True
he's chewing it,Ib,strict,reconstructs,True,True,True,True,True
he's chewing it,Ib,loose,full,True,True,True,True,True
he's chewing it,Id,strict,ending,False,False,False,True,False
he's chewing it,Id,loose,ending,False,False,False,True,False
he's chewing it,IIa,loose,ending,False,False,False,False,False
1. he's pondering it  2. he's considering,Ib,strict,reconstructs,True,True,True,True,True
1. he's pondering it  2. he's considering,Ib,loose,full,True,True,True,True,True
1. he's pondering it  2. he's considering,Id,strict,ending,False,False,False,True,False
1. he's pondering it  2. he's considering,Id,loose,ending,False,False,False,True,False
1. he's pondering it  2. he's considering,IIa,loose,ending,False,False,False,False,False
he's taking a step,Ia,strict,ending,False,False,False,False,False
he's taking a step,Ia,loose,ending,False,False,False,False,False
he's taking a step,Ic,strict,ending,True,True,False,True,True
he's taking a step,Ic,loose,ending,True,True,False,True,True
he's taking a step,Ic*,strict,reconstructs,True,True,True,True,True
he's taking a step,Ic*,loose,full,True,True,True,True,True
he's taking a step,Id,strict,ending,False,False,False,True,False
he's taking a step,Id,loose,ending,False,False,False,True,False
he's taking a step,IIa,loose,ending,False,False,False,False,False
he's replying,Ia,strict,ending,False,False,False,False,False
he's replying,Ia,loose,ending,False,False,False,False,False
he's replying,Ic,strict,ending,True,True,False,True,True
he's replying,Ic,loose,ending,True,True,False,True,True
he's replying,Ic*,strict,reconstructs,True,True,True,True,True
he's replying,Ic*,loose,full,True,True,True,True,True
he's replying,Id,strict,ending,False,False,False,True,False
he's replying,Id,loose,ending,False,False,False,True,False
he's replying,IIa,loose,ending,False,False,False,False,False
"he, it's changing",Ia,strict,ending,False,False,False,False,False
"he, it's changing",Ia,loose,ending,False,False,False,False,False
"he, it's changing",Ic,strict,ending,True,True,False,True,True
"he, it's changing",Ic,loose,ending,True,True,False,True,True
