corpus_id,definition,class,prediction
4,it’s bouncing,eg-invs,FullEventful
5,he/she is limping,eg-invs[perf2],FullEventful
6,he/she is bouncing it,ih-ohd,FullEventful
6,he/she is bouncing it,ih-ohd[perf3],FullEventful
6,he/she is bouncing it,ih-ohd[pres2],FullEventful
6,he/she is bouncing it,ih-ohd[pres2-perf3],FullEventful
7,he/she is putting on a belt,hih-lh,FullEventful
10,he/she is praying,ih-ohd,FullEventful
10,he/she is praying,ih-ohd[perf3],FullEventful
10,he/she is praying,ih-ohd[pres2],FullEventful
10,he/she is praying,ih-ohd[pres2-perf3],FullEventful
16,he/she is fanning himself/herself,eh-eh,FullEventful
16,he/she is fanning himself/herself,eh-a,FullEventful
18,he/she is visiting,oh-ol-a,FullEventful
19,he/she is stretching,ih-ohd,FullEventful
19,he/she is stretching,ih-ohd[perf3],FullEventful
19,he/she is stretching,ih-ohd[pres2],FullEventful
19,he/she is stretching,ih-ohd[pres2-perf3],FullEventful
21,he/she is denying him/her,hih-hil[imp2],FullEventful
22,he/she is committing adultery,eh-el[imp4],FullEventful
25,it’s ripping,ih-vh,FullEventful
27,he/she is looking at himself/herself in a mirror,eh-eh,FullEventful
27,he/she is looking at himself/herself in a mirror,eh-a,FullEventful
29,it’s beginning,ih-vh,FullEventful
29,it’s beginning,stative,FullStative
29,it’s beginning,hvsg-han,InfEventful
29,it’s beginning,hvsg-hn[inf2],InfEventful
29,it’s beginning,vhvsg,InfEventful
29,it’s beginning,eh-a,InfEventful
29,it’s beginning,ih-vh,InfEventful
29,it’s beginning,vnh-ih-a,InfEventful
30,he/she is shopping,sg-h,FullEventful
30,he/she is shopping,sg-h[imp2],FullEventful
30,he/she is shopping,hvsg-hn[inf3],FullEventful
30,he/she is shopping,vhvsg[inf2],FullEventful
32,he/she is taking off running,ih-ohd,FullEventful
32,he/she is taking off running,ih-ohd[perf3],FullEventful
32,he/she is taking off running,ih-ohd[pres2],FullEventful
32,he/she is taking off running,ih-ohd[pres2-perf3],FullEventful
33,he/she is changing,v-vhs,FullEventful
34,he/she is taking turns with him/her,ih-ohd,FullEventful
34,he/she is taking turns with him/her,ih-ohd[perf3],FullEventful
34,he/she is taking turns with him/her,ih-ohd[pres2],FullEventful
34,he/she is taking turns with him/her,ih-ohd[pres2-perf3],FullEventful
