corpus_id,definition,class,scope,prediction
4,it’s bouncing,eg-invs,reconstructs,FullEventful
4,it’s bouncing,eg-invs,reconstructs,FullEventful
4,it’s bouncing,eg-invs,reconstructs,FullEventful
4,it’s bouncing,eg-invs,reconstructs,FullEventful
4,it’s bouncing,eg-invs,reconstructs,FullEventful
5,he/she is limping,eg-invs[perf2],reconstructs,FullEventful
5,he/she is limping,eg-invs[perf2],reconstructs,FullEventful
5,he/she is limping,eg-invs[perf2],reconstructs,FullEventful
5,he/she is limping,eg-invs[perf2],reconstructs,FullEventful
5,he/she is limping,eg-invs[perf2],reconstructs,FullEventful
6,he/she is bouncing it,ih-ohd,reconstructs,FullEventful
6,he/she is bouncing it,ih-ohd,reconstructs,FullEventful
6,he/she is bouncing it,ih-ohd,reconstructs,FullEventful
6,he/she is bouncing it,ih-ohd,reconstructs,FullEventful
6,he/she is bouncing it,ih-ohd,reconstructs,FullEventful
7,he/she is putting on a belt,hih-lh,reconstructs,FullEventful
7,he/she is putting on a belt,hih-lh,reconstructs,FullEventful
7,he/she is putting on a belt,hih-lh,reconstructs,FullEventful
7,he/she is putting on a belt,hih-lh,reconstructs,FullEventful
10,he/she is praying,ih-ohd,reconstructs,FullEventful
10,he/she is praying,ih-ohd,reconstructs,FullEventful
10,he/she is praying,ih-ohd,reconstructs,FullEventful
10,he/she is praying,ih-ohd,reconstructs,FullEventful
10,he/she is praying,ih-ohd,reconstructs,FullEventful
16,he/she is fanning himself/herself,eh-eh,reconstructs,FullEventful
16,he/she is fanning himself/herself,eh-eh,reconstructs,FullEventful
16,he/she is fanning himself/herself,eh-eh,reconstructs,FullEventful
16,he/she is fanning himself/herself,eh-eh,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
18,he/she is visiting,oh-ol-a,reconstructs,FullEventful
19,he/she is stretching,ih-ohd,reconstructs,FullEventful
19,he/she is stretching,ih-ohd,reconstructs,FullEventful
19,he/she is stretching,ih-ohd,reconstructs,FullEventful
19,he/she is stretching,ih-ohd,reconstructs,FullEventful
21,he/she is denying him/her,hih-hil[imp2],reconstructs,FullEventful
21,he/she is denying him/her,hih-hil[imp2],reconstructs,FullEventful
21,he/she is denying him/her,hih-hil[imp2],reconstructs,FullEventful
21,he/she is denying him/her,hih-hil[imp2],reconstructs,FullEventful
22,he/she is committing adultery,eh-el[imp4],reconstructs,FullEventful
22,he/she is committing adultery,eh-el[imp4],reconstructs,FullEventful
22,he/she is committing adultery,eh-el[imp4],reconstructs,FullEventful
22,he/she is committing adultery,eh-el[imp4],reconstructs,FullEventful
25,it’s ripping,ih-vh,reconstructs,FullEventful
25,it’s ripping,ih-vh,reconstructs,FullEventful
