user_approved,from_h_grade,from_g_grade,from_class,from_corpus_ids,to_h_grade,to_g_grade,to_class,to_corpus_ids,prefix_type
x,alhsalat,alihsalat,i-vka,325,hsalat,hsalat,i-vka,374,ali
x,alhstel,alihstel,ih-vh,329,hstel,hstel,ih-vh,382,ali
x,alhsvhst,alihsvhst,cause,345,hsvhst,hsvhst,cause,612,ali
,at,at,go-in,1471,,,hvsk-nh,206;1761,at
,at,at,go-in,1471,,,rev-gi,128,at
,at,at,go-in,1471,,,stative-h,1530,at
,at,at,hvsk-han,976,,,hvsk-nh,206;1761,at
,at,at,hvsk-han,976,,,rev-gi,128,at
,at,at,hvsk-han,976,,,stative-h,1530,at
,at,at,rev-e,766,,,hvsk-nh,206;1761,at
,at,at,rev-e,766,,,rev-gi,128,at
,at,at,rev-e,766,,,stative-h,1530,at
,at,at,stative-h,970,,,hvsk-nh,206;1761,at
,at,at,stative-h,970,,,rev-gi,128,at
,at,at,stative-h,970,,,stative-h,1530,at
,at,at,vnh-ih-a,77,,,hvsk-nh,206;1761,at
,at,at,vnh-ih-a,77,,,rev-gi,128,at
,at,at,vnh-ih-a,77,,,stative-h,1530,at
,atanetliy,atanetliy,v-vhs,33,netliy,netliy,v-vhs,880,ata
x,atanhoy,atanoy,apl-active,16,nhoy,noy,apl-active,1249,ata
x,atanhsin,atanahsin,go[pres2],43,nhsin,nahsin,go,931,ata
x,atanuthey,atanuthey,oh-ol,44,nuthey,nuthey,oh-ol[inf3],937,ata
,atanv,atanv,sk-s-la,46,nv,nv,become[inf2],940,ata
,atat,atat,go-in,4,at,at,go-in,1471,at
,atat,atat,go-in,4,at,at,hvsk-han,976,at
,atat,atat,go-in,4,at,at,rev-e,766,at
,atat,atat,go-in,4,at,at,stative-h,970,at
,atat,atat,go-in,4,at,at,vnh-ih-a,77,at
,atat,atat,go-in[perf2],5,at,at,go-in,1471,at
,atat,atat,go-in[perf2],5,at,at,hvsk-han,976,at
,atat,atat,go-in[perf2],5,at,at,rev-e,766,at
,atat,atat,go-in[perf2],5,at,at,stative-h,970,at
,atat,atat,go-in[perf2],5,at,at,vnh-ih-a,77,at
x,atatinvt,atatinvt,cause,6,atinvt,atinvt,cause,78,at
x,atatlo,atatlo,hih-lh,7,tlo,tlo,hih-lh,770,ata
x,atatsakal,atatsakal,ih-vh,25,tsakal,tsakal,ih-vh,820,ata
x,ataw,ataw,o,56;544,aw,aw,o,979,at
x,atawhahthvh,atawahthvh,be-at,18,whahthvh,wahthvh,be-at,208,ata
,atay,atay,hih-hil[imp2],21,y,y,ih-vh,513,ata
,atay,atay,hih-hil[imp2],21,y,y,oh-al,222;1563,ata
x,atayo,atayo,sk-s-hi-hihst,545,yo,yo,become[inf3],515,ata
x,atayo,atayo,sk-s-hi-hihst,545,yo,yo,hih-lh[imp2],516,ata
x,atayo,atayo,sk-s-hi-hihst,545,yo,yo,sk-s-hi-hihst,618;740,ata
x,ate,ate,hvsk-nh,63,e,e,stative-h,746,at
,atl,atl,rev-e,87,l,l,husk,809,at
,atl,atl,rev-e,87,l,l,hvsk-han,811,at
,atl,atl,rev-e,87,l,l,rev-e,833,at
,atl,atl,rev-e,87,l,l,vsk[imp2],870,at
