user_approved,morpheme_name,morpheme_subcase,from_h_grade,from_g_grade,from_class,from_corpus_ids,to_h_grade,to_g_grade
,change-out,flexible,ahsula'iy,ahsula'iy,v-vhs,446,ahsul,ahsul
,change-out,,ahsula'iy,ahsula'iy,v-vhs,446,ahsula',
,hitting,hil,ahsvn,ahsvn,hih-hil,458,ahs,
,change-out,flexible,alahsula'iy,alahsula'iy,v-vhs,583,alahsul,alahsul
,change-out,,alahsula'iy,alahsula'iy,v-vhs,583,alahsula',
,change-out,flexible,anhawa'iy,aniwa'iy,v-vhs,186;557,anhaw,aniw
,change-out,,anhawa'iy,aniwa'iy,v-vhs,186;557,anhawa',
,change-out,,atanetliy,atanetliy,v-vhs,33,atanetl,
,leaving,,athohkiy,athohkiy,a,483,athohk,
,change-out,,awohiliy,awo'iliy,v-vhs,980,awohil,
,leaving,,hiy,'iy,a,165,h,'
,leaving,,khahiy,khahiy,a,826,khah,
,hitting,hil,lvn,lvn,hih-hil,864,l,l
,leaving,,nehiy,ne'iy,a,888,neh,
,change-out,,netliy,netliy,v-vhs,880,netl,
,leaving,,nhohiy,nohiy,a,1247,nhoh,
,leaving,,tihsiy,tihsiy,a,80,tihs,
