user_approved,from_h_grade,from_g_grade,from_class,from_corpus_ids,to_h_grade,to_g_grade,to_class,to_corpus_ids,to_form_type,to_stem
,atatinvt,atatinvt,cause,6,atat,atat,go-in,4,infinitive,atatinvt
,atatinvt,atatinvt,cause,6,atat,atat,go-in[perf2],5,infinitive,atatinvt
,atatolihst,atatolihst,cause,10,atatolihst,,stative[inf2],1450,perfective,atatolihst
,atanetliyvhst,atanetliyvhst,cause,34,atanetl,atanetl,change-out,33,infinitive,atanetliyvhst
,t,t,apl[imp3],59,,,long-no-a,72;1754,perfective,t
,atehohihst,ate'ohihst,cause,61,ateho,ate'o,sk-s-hi-hihst,62,infinitive,atehohihst
,atinvt,atinvt,cause,78,at,,go-in,1471,infinitive,atinvt
,atvnv'ihst,atvnv'ihst,cause,109,atvnv'ihst,,stative,1508,perfective,atvnv'ihst
,akohvhst,akohvhst,cause,135,ak,ak,terminative,136,infinitive,akohvhst
,h,',be-at,160,,,stative-h,1530,perfective,h
,h,',leaving,165,,,stative-h,1530,perfective,h
,alhawitht,atlawitht,cause[perf3],169,alhawit,atlawit,ih-vh,167,infinitive,alhawitht
,anhikihst,anikihst,cause,197,anhi,ani,rev-gi,196,infinitive,anhikihst
,h,',v-vhs,205,,,stative-h,1530,perfective,h
,whahthvh,wahthvh,be-at,208,whahth,wahth,ih-vh[inf2],207,perfective,whahthvh
,aleht,alet,cause,305;585,ale,ale,hvsk-nh,306;587,infinitive,aleht
,alewhihstoht,alewihstoht,cause,308,alewhihst,alewihst,cause,307,infinitive,alewhihstoht
,alhstul,alihstul,rev-e,330,alhstul,,stative,1618,perfective,alhstul
,alhstul,alihstul,apl-active-a,331,alhstul,,stative,1618,perfective,alhstul
,alhstul,alihstul,i-vka,332,alhstul,,stative,1618,perfective,alhstul
,alhskwalut,alihskwalut,i-vka,340,alhskwalut,,stative,1621,perfective,alhskwalut
,anelht,anelht,cause,361;599,anelo,anelo,hvsk-nh[inf2],600,infinitive,anelht
,ahsehst,ahsehst,cause,397,ahse,ahse,hih-lh,607,infinitive,ahsehst
,ahsul,ahsul,change-out-flexible,446,ahsul,,stative,1677,perfective,ahsul
,ahsul,ahsul,rev-e,447,ahsul,,stative,1677,perfective,ahsul
,ahsul,ahsul,i-vka,448,ahsul,,stative,1677,perfective,ahsul
,athvtahst,athvtahst,cause,494,athvtahst,athvtahst,stative[inf2],1693,perfective,athvtahst
,athvhihst,a'tvhihst,cause,497,athv,a'tv,sk-s-hi-hihst,498,infinitive,athvhihst
,ye'ihst,ye'ihst,cause,509,ye,ye,become[inf2],507,infinitive,ye'ihst
,yht,yvt,cause,511,y,y,ih-vh,513,infinitive,yht
,yohst,yohst,cause,524,yo,yo,hih-lh[imp2],516,infinitive,yohst
,yohsthan,yohsthan,terminative,526,yohst,yohst,cause,524,perfective,yohsthan
,alhilohst,atlilohst,cause,553,alhil,atlil,o,173,infinitive,alhilohst
,hsvhst,hsvhst,cause,612,hsv,hsv,become,455,infinitive,hsvhst
,lht,lot,cause,798,l,l,hvsk-han,811,infinitive,lht
,nh,'n,go,813,,,hvsk-nh,206;1761,perfective,nh
,nh,'n,be-at,815,,,hvsk-nh,206;1761,perfective,nh
,khan,khan,apl,827,kha,kha,hvsk-n,1774,perfective,khan
,lohihst,lo'ihst,cause,848,lo,lo,sk-s-hi-hihst,856;857,infinitive,lohihst
,neh,ne',leaving,888,ne,ne,stative-h,887,perfective,neh
,neh,ne',leaving,888,ne,,stative-h,1642,perfective,neh
,nh,nv,stative-k,899,,,hvsk-nh,206;1761,perfective,nh
,nvts,nvts,be-at,949,nv,nv,become[inf2],940,perfective,nvts
,nvn,nvn,apl,950,n,n,vsk-long[imp2],1776,perfective,nvn
,t,t,hih-hilh,973,,,long-no-a,72;1754,perfective,t
,olh,oli,become[inf4],1017;1018,ol,,stative-h,1730,perfective,olh
,olh,olh,vnh-vsk[inf3],1022,ol,,stative-h,1730,perfective,olh
,vkuhst,vkuhst,cause,1063,vku,,sk-s-hst,1064,infinitive,vkuhst
,vnh,vn,ih-l-VCh,1070,vn,vn,stative-h,1067,perfective,vnh
,vnhihst,vnihst,cause,1071,vn,,sk-s-hi-hihst,1082,infinitive,vnhihst
,vnht,vnht,rev-e,1308,vnht,,stative,1323,perfective,vnht
,vnht,vnht,cause,1309,vn,vn,stative-h,1067,infinitive,vnht
,vnht,vnht,cause,1309,vnht,,stative,1323,perfective,vnht
