corpus_id,definition,verb_root,base_root_h,base_root_g,proposed_root_id,user_approved
4,it’s bouncing,|,,,|,
5,he/she is limping,|,,,|,
6,he/she is bouncing it,invt|invt,invt,invt,invt|invt,
7,he/she is putting on a belt,lo|lo,lo,lo,lo|lo,
10,he/she is praying,olihst|olihst,olihst,olihst,olihst|olihst,
16,he/she is fanning himself/herself,nhoy|noy,nhoy,noy,nhoy|noy,
18,he/she is visiting,whahthvh|wahthvh,whahth,wahth,whahth|wahth,
19,he/she is stretching,yhahst|yahst,yhahst,yahst,yhahst|yahst,
21,he/she is denying him/her,y|y,y,y,y|y,
22,he/she is committing adultery,yhon|yon,yhon,yon,yhon|yon,
25,it’s ripping,sakal|sakal,sakal,sakal,sakal|sakal,
27,he/she is looking at himself/herself in a mirror,kh|kh,kh,kh,kh|kh,
29,it’s beginning,len|,len,,len|,
30,he/she is shopping,nanehs|nanehs,nanehs,nanehs,nanehs|nanehs,
32,he/she is taking off running,nawhst|nawhst,nawhst,nawhst,nawhst|nawhst,
33,he/she is changing,netl|netl,netl,netl,netl|netl,
34,he/she is taking turns with him/her,netliyvhst|netliyvhst,netliyvhst,netliyvhst,netliyvhst|netliyvhst,
39,he/she is thinking,nht|nvt,nht,nvt,nht|nvt,
41,he/she is pondering,nhthehil|nvthehil,nhthehil,nvthehil,nhthehil|nvthehil,
43,he/she is crawling,nhsin|nahsin,nhsin,nahsin,nhsin|nahsin,
44,it’s twisting,nuthey|nuthey,nuthey,nuthey,nuthey|nuthey,
46,he/she is ordering it,nv|nv,nv,nv,nv|nv,
48,he/she is cooking a meal,hstay|hstay,hstay,hstay,hstay|hstay,
51,it’s burning,welak|welak,welak,welak,welak|welak,
54,he/she is resting,wehsolvhst|wehsolvhst,wehsolvhst,wehsolvhst,wehsolvhst|wehsolvhst,
56,he/she is bathing,w|w,w,w,w|w,
59,he/she is giving him/her it,t|t,t,t,t|t,
61,he/she is embarrassing him/her,ehohihst|e'ohihst,ehohihst,e'ohihst,ehohihst|e'ohihst,
62,he/she is embarrassed,eho|e'o,eho,e'o,eho|e'o,
63,he/she is being born,e|e,e,e,e|e,
67,he/she is finding it out,eloho|elo'o,eloho,elo'o,eloho|elo'o,
70,he/she is going around a curve,ey|ey,ey,ey,ey|ey,
72,he/she is laying it down,t|t,t,t,t|t,
73,he/she is rising,it|it,it,it,it|it,
74,he/she is scattering it,ikaley|ikaley,ikaley,ikaley,ikaley|ikaley,
75,it’s scattering,ikaleyo|,ikaleyo,,ikaleyo|,
76,he/she is spinning,ikwalvtey|ikwalvtey,ikwalvtey,ikwalvtey,ikwalvtey|ikwalvtey,
77,he/she is saying it,|,,,|,
78,he/she is running over him/her,invt|invt,invt,invt,invt|invt,
79,he/she is hiding,ihskal|ihskal,ihskal,ihskal,ihskal|ihskal,
80,he/she is leaving it behind,tihs|tihs,tihs,tihs,tihs|tihs,
82,he/she is drinking it,itha|itha,itha,itha,itha|itha,
85,he/she is scratching,lako|lako,lako,lako,lako|lako,
87,he/she is turning off the road,l|l,l,l,l|l,
88,he/she is taking revenge against him/her,letsh|letsh,letsh,letsh,letsh|letsh,
94,it’s pouring into a container,li|,li,,li|,
95,he/she is drawing a liquid out of a container,tl|tl,tl,tl,tl|tl,
96,he/she is pouring a liquid into a container,tlihst|tlihst,tlihst,tlihst,tlihst|tlihst,
98,he/she is crying,loy|loy,loy,loy,loy|loy,
101,he/she is catching up with him/her,lvtha|lvtha,lvtha,lvtha,lvtha|lvtha,
107,he/she is acting silly,vnel|vnel,vnel,vnel,vnel|vnel,
109,he/she is preparing it,vnv'ihst|vnv'ihst,vnv'ihst,vnv'ihst,vnv'ihst|vnv'ihst,
112,it is shining,kal|,kal,,kal|,
115,he/she is licking it,kanat|kanat,kanat,kanat,kanat|kanat,
117,he/she is warming it,kanawht|kanawot,kanawht,kanawot,kanawht|kanawot,
118,it’s getting warm,kanawo|,kanawo,,kanawo|,
127,he/she is eating it,k|k,k,k,k|k,
128,he/she is picking it up,|,,,|,
130,he/she is in agony,kilhiyo|kiliyo,kilhiyo,kiliyo,kilhiyo|kiliyo,
133,he/she is chewing it,kihst|kihst,kihst,kihst,kihst|kihst,
135,he/she is burning him/her,akohvhst|akohvhst,ak,ak,ak|ak,
136,it’s burning,ak|ak,ak,ak,ak|ak,
138,he/she is reading,koliy|koliy,koliy,koliy,koliy|koliy,
140,he/she is target practicing,akon|akon,akon,akon,akon|akon,
145,he/she is showing it to him/her,kowhthvht|kowhthvht,kowhthvht,kowhthvht,kowhthvht|kowhthvht,
