parent,class,only_vowels,only_consonants,only_laryngeal,letters
a,a,False,True,False,h;k;s;y
apl,apl,False,True,False,';h;n;s;t
apl-active,apl-active,False,True,False,';h;k;y
apl-active,apl-active-',False,True,True,'
apl-active,apl-active-a,False,True,False,l;y
apl-active,apl-active-h,False,False,False,o;t;u
be-at,be-at,False,True,False,h;l;n;s;t
be-at,be-at-weak,False,True,False,t
become,become,False,False,False,a;e;h;i;o;v
cause,cause,False,True,False,';h;s;t
e-a,e-a,False,True,False,n;y
e-aka,e-aka,False,True,False,h;s;t
episodic,episodic,False,True,False,l;s;t;y
go,go,False,True,False,h;l;n;s;t
go,go-in,False,True,False,t
hih,hih-hil,False,True,False,l;n;s;y
hih,hih-hilh,False,True,False,t
hih,hih-lh,True,False,False,a;e;o;v
husk,husk,False,True,False,l
hvsk,hvsk-han,False,True,False,l;n;t
hvsk,hvsk-n,True,False,False,a
hvsk,hvsk-nh,True,False,False,a;e;o;u
i-a,i-a-i,False,True,False,k;l;t;w
i-a,i-a-ihsk,False,True,True,h
i-vka,i-vka,False,True,False,k;l;t;w
ih-ihi,ih-ihi,False,True,False,l;n
ih-il,ih-il,False,True,False,h;l;t
ih-vh,ih-vh,False,True,False,h;l;n;s;t;y
ko-kots,ko-kots,True,False,False,i;u
o,o,False,True,False,l;t;w
oh,oh-al,False,True,False,l;y
oh,oh-ol,False,True,False,n;y
rev,rev-'i,True,False,False,a;u
rev,rev-e,False,True,False,h;l;n;t;w;y
rev,rev-gi,False,False,False,a;e;h;i;o;s;u
rev,rev-i,False,True,True,h
sk-h,sk-h,False,False,False,a;w;y
sk-h,sk-h-yh,True,False,False,o;u
sk-s,sk-s-a,False,True,False,l;w;y
sk-s,sk-s-hi-hihst,False,False,False,a;e;i;n;o;u;v;w
sk-s,sk-s-hst,True,False,False,e;i;u
sk-s,sk-s-la,True,False,False,o;v
stative,stative,False,True,False,l;n;s;t;w;y
stative,stative-a',False,True,False,n;s;t;y
stative,stative-h,False,False,False,a;e;i;l;n;o;t
stative,stative-k,False,False,False,h;o
stative,stative-s,True,False,False,u;v
terminative,terminative,False,True,False,k;n
terminative,terminative-no-o,True,False,False,v
v-vhs,v-vhs,False,True,False,h;k;l;w
vnh,vnh-ih-a,False,True,False,l;t
vnh,vnh-vsk,False,True,False,h;l;n;t
vsk,vsk,False,True,False,h;l;t;y
vsk,vsk-long,False,True,False,l;n
vsk,vsk-post-v,True,False,False,o
