root_id,h_grade,g_grade,class,stem_type,corpus_ids
''n|,''n,,stative,glottal,367
'hil|,'hil,,oh-ol-a,vowel_a,172
'lu|'lu,'lu,'lu,hg-hts,glottal,858
'l|'l,'l,'l,eg-vs,glottal,834
'l|'l,'l,'l,oh-ol-a,glottal,839
'n|'n,'n,'n,ih-ohd[perf2],glottal,914
:hsakwale|:hsakwale,:hsakwale,:hsakwale,hih-lh,long,956
:hsanenat|:hsanenat,:hsanenat,:hsanenat,vsk,long,960
:hsato|:hsato,:hsato,:hsato,sg-h-hy,long,955
:hso|:hso,:hso,:hso,hg-hts,long,623
:hsvt|:hsvt,:hsvt,:hsvt,hvsg-han,long,969
:kawe|:kawe,:kawe,:kawe,sg-s-hst[imp2],long,791
:khah|:khah,:khah,:khah,a,long,826
:khan|:khan,:khan,:khan,eh-el,long,827
:kha|:kha,:kha,:kha,hvsg-n,long,1774
:khule|,:khule,,g-ts[inf2],long,1699
:kwayo|:kwayo,:kwayo,:kwayo,hih-lh[imp2],long,796
:kwhen|:kwhen,:kwhen,:kwhen,vnh-vsk[inf2],long,829
:lh|:lh,:lh,:lh,ih-ohd[perf2],long,804
:lh|:lh,:lh,:lh,ih-ohd[perf2],vowel_a,355
:l|:l,:l,:l,husg,long,809
:naw|,:naw,,i-a-i,long,1700
:n|:n,:n,:n,eg-vs,long,882
:n|:n,:n,:n,oh-ol-a,long,908
:n|:n,:n,:n,stative-eh,long,887
:taluk|:taluk,:taluk,:taluk,i-vka,long,764
:teyhst|:teyahst,:teyhst,:teyahst,ih-ohd,long,767
:tikwalvteyhst|:tikwalvteyhst,:tikwalvteyhst,:tikwalvteyhst,ih-ohd,long,769
:tlo|:tlo,:tlo,:tlo,hih-lh,long,770
:tlo|:tlo,:tlo,:tlo,hih-lh,vowel_a,7
:tolihst|:tolihst,:tolihst,:tolihst,ih-ohd,vowel_a,10;1450
:toli|:toli,:toli,:toli,g-ts,long,775
:tsakal|:tsakal,:tsakal,:tsakal,ih-vh,long,820
:tsakal|:tsakal,:tsakal,:tsakal,ih-vh,vowel_a,25
:tsaliko|:tsaliko,:tsaliko,:tsaliko,sg-s-la,long,821
:tsayo|:tsayo,:tsayo,:tsayo,hih-lh[imp2],long,823
:tshinohs|:tshinohs,:tshinohs,:tshinohs,ih-ohd[perf2],long,757
:tsvwahst|:tsvwahst,:tsvwahst,:tsvwahst,ih-ohd,long,824
:tsvy|:tsvy,:tsvy,:tsvy,sg-h,long,825
:tu|:tu,:tu,:tu,hvsg-hn[inf2],long,784
:t|:t,:t,:t,hih-hilh,long,973
:whsv|,:whsv,,g-ts,long,1708
:yew|:yewi,:yew,:yewi,sg-s-a[inf2],long,986
:yh|:y,:yh,:y,e-aka,long,818
ahsehst|ahsehst,ahsehst,ahsehst,ih-ohd,vowel_a,397
ahse|ahse,ahse,ahse,hih-lh,vowel_a,607
ahse|ahse,ahse,ahse,ih-vh[inf2],vowel_a,398
ahsihth|ahsihth,ahsihth,ahsihth,i-a-i,vowel_a,430
ahsihth|ahsihth,ahsihth,ahsihth,ih-il,vowel_a,431;609
ahskalehst|,ahskalehst,,ih-ohd,vowel_a,738
ahskoliy|ahskoliy,ahskoliy,ahskoliy,e-a,vowel_a,413
ahsko|ahsko,ahsko,ahsko,sg-s-la,vowel_a,417
ahsolvta|ahsolvta,ahsolvta,ahsolvta,rev-gi,vowel_a,439
ahsonhst|ahsonhst,ahsonhst,ahsonhst,ih-ohd,vowel_a,440
ahsoy|ahsoy,ahsoy,ahsoy,oh-al,vowel_a,437
ahsthaye|ahsthaye,ahsthaye,ahsthaye,sg-s-hi-hihst,vowel_a,610
ahsul|ahsul,ahsul,ahsul,i-vka,vowel_a,448
ahsul|ahsul,ahsul,ahsul,rev-e,vowel_a,447
ahsul|ahsul,ahsul,ahsul,stative,vowel_a,1677
ahsul|ahsul,ahsul,ahsul,v-vhs,vowel_a,446
ahsuwh|ahsuwh,ahsuwh,ahsuwh,i-a-ihsk,vowel_a,611
ahsuy|ahsuy,ahsuy,ahsuy,eh-eh,vowel_a,453
ahsuy|ahsuy,ahsuy,ahsuy,rev-e,vowel_a,452
ahsuy|ahsuy,ahsuy,ahsuy,vsk[imp2],vowel_a,454
ahsu|ahsu,ahsu,ahsu,hvsg-hn,vowel_a,444
ahs|ahs,ahs,ahs,hih-hil,vowel_a,458
ahs|ahs-back,ahs,ahs,eg-vs,vowel_a,432
akal|,akal,,ih-ihi,vowel_a,112
akhilvt|akhilvt,akhilvt,akhilvt,ih-ohd,vowel_a,261
akhsat|,akhsat,,hvsg-han,vowel_a,1592
akhsehst|,akhsehst,,ih-ohd,vowel_a,1593
akhthahst|akathahst,akhthahst,akathahst,ih-ohd,vowel_a,277;573
akhthah|akathah,akhthah,akathah,v-vhs,vowel_a,276
akhthinvt|akathinvt,akhthinvt,akathinvt,hvsg-han,vowel_a,576;729
akhthinvt|akathinvt,akhthinvt,akathinvt,rev-e,vowel_a,575
akhthohst|akathohst,akhthohst,akathohst,ih-ohd[pres2],vowel_a,288
akhth|akath,akhth,akath,ih-ohd[perf2],vowel_a,281
