definition,present,present_1sg,imperfective,perfective,imperative,infinitive,consensus_stem,set_a_b,translocutive,partitive,distributive,stem_type,metathesis_strategy,metathesis_involved,ka_variant,uwa_3rd,aki_1st,3rd_person_object,multiple_explanations
he's taking a drink (alcoholic beverage),athuki,atuki,athukisk,athukis,athuki,athukist,athuki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
"he's catching a falling person, object",skwalhe,skwalhe,skwalhesk,skwalhes,skwalhaki,skwalhest,skwalhe,a,False,False,False,con,none,False,False,False,False,False,True
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",we,we,wesk,wes,wi,west,we,a,False,True,False,con,none,False,True,False,False,True,True
it's hatching,atsai,atsai,atsaisk,atsais,atsai,atsaist,atsai,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's opening it,stui,stui,stuisk,stuis,stui,stuist,stui,a,False,False,False,con,none,False,False,False,False,False,True
it's freezing,nestalati,nestalati,nestalatisk,nestalat,nestalata,nestalatist,nestalati,a,False,False,False,con,none,False,True,False,False,False,True
he's getting married,anelati,anelati,anelatisk,anelat,anelata,anelatist,anelati,a,False,False,False,vowel_a,none,False,False,False,False,False,True
1. he's pleading 2. he's urging,nilati,nilati,nilatisk,nilat,nilata,nilatist,nilati,a,False,False,False,con,none,False,True,False,False,False,True
he's capturing him,yhvkhiti,yvkhiti,yhvkhitisk,yhvkhit,yvkhita,yhvkhitist,yhvkhiti,a,False,False,False,con,none,False,False,False,False,True,True
he's bewitching him,nekuti,nekuti,nekutisk,nekut,nekuta,nekutist,nekuti,a,False,False,False,con,none,False,True,False,False,False,True
it's burning (flames),atawelaki,atawelaki,atawelakisk,atawelak,atawelaka,atawelakist,atawelaki,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's taking off his socks,aliyoki,aliyoki,aliyokisk,aliyokis,aliyoki,aliyokist,aliyoki,a,False,False,True,vowel_a,none,False,False,False,False,False,True
he's chewing it,kisto,kisto,kistosk,kisto,kistotsa,kistost,kisto,a,False,False,False,con,none,False,False,False,False,False,True
1. he's pondering it  2. he's considering,atanhthehilo,atanvthehilo,atanhthehilosk,atanhthehilo,atanhthehilotsa,atanhthehilost,atanhthehilo,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's taking a step,alaskv,alaskv,alaskvsk,alaskvs,alaskvna,alaskvst,alaskv,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's replying,awohiliyv,awoiliyv,awohiliyvsk,awohiliyvs,awohiliyvna,awohiliyvst,awohiliyv,a,False,False,False,vowel_a,none,False,True,False,False,False,True
"he, it's changing",atanetliyv,atanetliyv,atanetliyvsk,atanetliyvs,atanetliyvna,atanetliyvst,atanetliyv,a,False,False,False,vowel_a,none,False,False,False,False,False,True
he's changing it,netliyv,netliyv,netliyvsk,netliyvs,netliyvna,netliyvst,netliyv,a,False,False,False,con,none,False,True,False,False,False,True
