class,present,imperfective,perfective,immediate,infinitive,count
a,a2,o33'i2,v23'i2,a2,i2,7
e-a,a2,o33'i2,v23'i2,a2,i2,4
e-aka,a2,o33'i2,v23'i2,a2ka2,i2,3
eg-invs,a2,o33'i2,v23'i2,u21ka2,i2,4
eg-invs,a2,o33'i2,v23'i2,u32ka2,i2,1
eg-invs[perf2],a2,o33'i2,v23'i2,u21ka2,i2,1
eg-vs,,,,,i2,1
eg-vs,a2,o33'i2,v23'i2,,i2,1
eg-vs,a2,o33'i2,v23'i2,u21ka2,i2,13
eg-vs,a2,o33'i2,v23'i2,u32ka2,i2,1
eg-vs[pres2],i2,o33'i2,v23'i2,u21ka2,i2,2
eh-a,a2,o3'i2,v33'i2,a2,i2,1
eh-a,a2,o33'i2,v23'i2,a2,i2,1
eh-eh,a2,o3'i2,v33'i2,v22la2,i2,1
eh-eh,a2,o3'i2,v33'i2,v23la2,i2,1
eh-eh,a2,o33'i2,v23'i2,v23la2,i2,6
eh-ehl,a2,o33'i2,v23'i2,v23la2,i2,1
eh-el,a2,o33'i2,v23'i2,hsi2,i2,9
eh-el,a2,o33'i2,v23'i2,hsi2,i?,1
eh-el[imp2],a2,o3'i2,v33'i2,hsi2,i2,2
eh-el[imp2],a2,o33'i2,v23'i2,hsi2,i2,2
eh-el[imp3],a2,o33'i2,v23'i2,i21hsi2,i2,1
eh-el[imp3],a2,o33'i2,v23'i2,i2hsi2,i2,2
eh-el[imp4],a2,o33'i2,v23'i2,v23la2,i2,1
eh-hehl,a2,o3'i2,v33'i2,hv22la2,i2,1
eh-hehl,a2,o3'i2,v33'i2,hv23la2,i2,3
g-ts,a2,o33'i2,v23'i2,ki2,i2,14
g-ts[inf2],a2,o33'i2,v23'i2,ki2,i2,8
g-ts[inf3],a2,o33'i2,v23'i2,ki2,i2,7
go-gots,a2,o33'i2,v23'i2,ko2'i2,i2,2
hg-hts,a2,o3'i2,v33'i2,hki2,i2,1
hg-hts,a2,o33'i2,v23'i2,hki2,i2,2
hg-hts,a2,o33'i2,v23'i2,ki2,i2,1
hih-hil,a2,o3'i2,v23'i2,hka2,i2,1
hih-hil,a2,o3'i2,v33'i2,hka2,i2,2
hih-hil,a2,o33'i2,v23'i2,hka2,i2,2
hih-hil[imp2],a2,o3'i2,v2'i?,i21ka2,i?,1
hih-hil[imp2],a2,o33'i2,v23'i2,i21ka2,i2,1
hih-hilh,a2,o3'i2,v23'i2,hi2ka2,i2,1
hih-hilh,a2,o33'i2,v23'i2,hi2ka2,i2,1
