class,ending,reconstructs
glottal-sk,286,10
become,37,35
sk-s,201,50
sk-h,34,9
sk-yh,4,3
hvsk,48,45
husk,1,2
episodic,1,6
terminative,0,2
terminative-no-o,0,3
e-aka,0,3
rub,0,4
apl-active,39,15
apl,53,18
go,43,23
cause,266,84
ih-l,559,35
ih-vh,28,35
vnh,29,13
i-a,9,28
long,3,13
i-is,0,2
i-vka,0,13
o,2,17
go-around,3,10
go-around-weak,5,11
around,42,11
scared,3,4
change,1,10
change-out,0,7
change-out-flexible,0,4
vsk,17,12
v'vsk,4,3
'vsk,3,5
rev-gi,0,16
rev-i,60,22
rev-e,2,20
aspectless,37,45
aspectless-h,4,20
aspectless-s,8,1
