definition,assigned_class,is_consistent,mismatch_details,root_present,root_imperfective,root_perfective,root_imperative,root_infinitive
he's taking a drink (alcoholic beverage),Ia,True,,athuk,athuk,athuk,athuk,athuk
"he's catching a falling person, object",Ia*,True,,skwahl,skwahl,skwahl,skwahl,skwahl
it's hatching,Ia,True,,atsa,atsa,atsa,atsa,atsa
he's opening it,Ia,True,,stu,stu,stu,stu,stu
it's freezing,Vb*,True,,nestalat,nestalat,nestalat,nestalat,nestalat
he's getting married,Vb*,True,,anelat,anelat,anelat,anelat,anelat
1. he's pleading 2. he's urging,Vb*,True,,nilat,nilat,nilat,nilat,nilat
he's capturing him,Vb*,True,,hyvkhit,hyvkhit,hyvkhit,yvkhit,hyvkhit
he's bewitching him,Vb*,True,,nekut,nekut,nekut,nekut,nekut
it's burning (flames),Vb*,True,,atawelak,atawelak,atawelak,atawelak,atawelak
he's taking off his socks,Ia,True,,aliyok,aliyok,aliyok,aliyok,aliyok
he's chewing it,Ib,True,,kist,kist,kist,kist,kist
1. he's pondering it  2. he's considering,Ib,True,,atanhthehil,atanhthehil,atanhthehil,atanhthehil,atanhthehil
he's taking a step,Ic*,True,,alask,alask,alask,alask,alask
he's replying,Ic*,True,,awohiliy,awohiliy,awohiliy,awohiliy,awohiliy
"he, it's changing",Ic*,True,,atanetliy,atanetliy,atanetliy,atanetliy,atanetliy
he's changing it,Ic*,True,,netliy,netliy,netliy,netliy,netliy
he's erasing it,Vb*,True,,skolvt,skolvt,skolvt,skolvt,skolvt
"he, it's moving from one place to another",Ic*,True,,atan,atan,atan,atan,atan
he's shoveling it,Ia*,True,,khot,khot,khot,khot,khot
"he's taking off, removing a cap",Ia*,True,,alstul,alstul,alstul,alstul,alstul
he's oiling it,Id,True,,lon,lon,lon,lon,lon
he's washing (dishes),Id,True,,vtiy,vtiy,vtiy,vtiy,vtiy
"1. he's reading, 2. he's examining him, it",Id,True,,koliy,koliy,koliy,koliy,koliy
"he's rubbing him, it",Id,True,,askoliy,askoliy,askoliy,askoliy,askoliy
he's laying a long object down,Vb*,True,,t,t,t,t,t
"he's lifting him, raising him, it",Vc*,True,,salat,salat,salat,salat,salat
"he, it's ascending, raising",Vc*,True,,alsalat,alsalat,alsalat,alsalat,alsalat
he's mooring a boat,Vb*,True,,thalat,thalat,thalat,thalat,thalat
he's joining,Vb*,True,,athelat,athelat,athelat,athelat,athelat
"he's roping him, it",Vb*,True,,slat,slat,slat,slat,slat
"he's placing his hand on him, it",Vb*,True,,asihthat,asihthat,asihthat,asihthat,asihthat
he's sending a long object,Vb*,True,,t,t,t,t,t
he's finishing it,Vb*,True,,skwat,skwat,skwat,skwat,skwat
it's ending,Vb*,True,,lskwat,lskwat,lskwat,,lskwat
he's exchanging/trading it,Vb*,True,,aliit,aliit,aliit,aliit,aliit
he's putting a long object in liquid,Vb*,True,,hut,hut,hut,hut,hut
he's receiving punishment,Vb*,True,,stvt,stvt,stvt,stvt,stvt
he's putting a long object in a container,Vb*,True,,lat,lat,lat,lat,lat
he's hiding a long object,Vb*,True,,vskalat,vskalat,vskalat,vskalat,vskalat
it's misting,Vb*,True,,hnuyolat,hnuyolat,hnuyolat,,hnuyolat
he's setting up a bed,Vb*,True,,nihlat,nihlat,nihlat,nihlat,nihlat
he's licking it,Vb*,True,,kanat,kanat,kanat,kanat,kanat
he's sticking his head out,Vc*,True,,alskwalut,alskwalut,alskwalut,alskwalut,alskwalut
"he's missing him, it",Vb*,True,,nvt,nvt,nvt,nvt,nvt
he's eating it (a single solid food),Vb*,True,,k,k,k,k,k
1. he's leaving  2. it's starting,Ia,True,,ahnik,ahnik,ahnik,ahnik,ahnik
he's gnawing it,Vb*,True,,skok,skok,skok,skok,skok
he's eating a long object,Vb*,True,,stik,stik,stik,stik,stik
it's flooding,Vc,True,,nohuk,nohuk,nohuk,,nohuk
it's flooding,Vc*,True,,nohuk,nohuk,nohuk,,nohuk
he's dipping liquid,Ia,True,,khuk,khuk,khuk,khuk,khuk
he's plowing it,Vc*,True,,taluk,taluk,taluk,taluk,taluk
1. he's tickling him; 2. he's spurring a horse,Vb*,True,,hyvk,hyvk,hyvk,yvk,hyvk
he's putting his gloves on,Vc*,True,,aliyesul,aliyesul,aliyesul,aliyesul,aliyesul
he's putting his pants on,Vc*,True,,asul,asul,asul,asul,asul
he's putting on a cap,Vc*,True,,alstul,alstul,alstul,alstul,alstul
"1. he's curing, doctoring him, 2. he's soldering, welding it",Vc*,True,,hnvw,hnvw,hnvw,nvw,hnvw
it's thundering,Ib,True,,hyvtakwal,hyvtakwal,hyvtakwal,,hyvtakwal
he's removing it (solid or flexible object) from a hanging position,Ia*,True,,at,at,at,at,at
he's breathing,Ia*,True,,ahwolat,ahwolat,ahwolat,ahwolat,ahwolat
he's taking off his glasses,Ia*,True,,akhthinvt,akhthinvt,akhthinvt,akhthinvt,akhthinvt
he's taking it off,Ia*,True,,vnht,vnht,vnht,vnht,vnht
he's taking a bite,Ia*,True,,atst,atst,atst,atst,atst
"1. he's unhitching him, it 2. he's unhooking it 3. he's unplugging it",Ia*,True,,utal,utal,utal,utal,utal
he's taking it (solid or flexible object) out of a container,Ia*,True,,l,l,l,l,l
he's taking off his shoes,Ia*,True,,alasul,alasul,alasul,alasul,alasul
he's taking off his gloves,Ia*,True,,aliyesul,aliyesul,aliyesul,aliyesul,aliyesul
he's taking his pants off,Ia*,True,,asul,asul,asul,asul,asul
he's turning off the road,Ia*,True,,atl,atl,atl,atl,atl
1. he's getting a flexible object  2. he's picking up a flexible object,Ia*,True,,n,n,n,n,n
he's pulling a trigger,Ia*,True,,otsan,otsan,otsan,otsan,otsan
"he's taking his shirt, coat off",Ia*,True,,ahnaw,ahnaw,ahnaw,ahnaw,ahnaw
he's undressing,Ia*,True,,ahnaw,ahnaw,ahnaw,ahnaw,ahnaw
"he's choosing him, it",Ia*,True,,asuy,asuy,asuy,asuy,asuy
1. he's picking it up  2. he's getting it,Ia,True,,k,k,k,k,k
he's waving his hand,Ia,True,,asolvtak,asolvtak,asolvtak,asolvtak,asolvtak
