Class,Surface Form,Base Ending,Tones,Count
a,a2,a,2,7
a,i2,i,2,7
a,o33'i2,o'i,33-2,7
a,v23'i2,v'i,23-2,7
e-a,a2,a,2,4
e-a,i2,i,2,4
e-a,o33'i2,o'i,33-2,4
e-a,v23'i2,v'i,23-2,4
e-aka,a2,a,2,3
e-aka,a2ka2,aka,2-2,3
e-aka,i2,i,2,3
e-aka,o33'i2,o'i,33-2,3
e-aka,v23'i2,v'i,23-2,3
eg-invs,a2,a,2,5
eg-invs,i2,i,2,5
eg-invs,o33'i2,o'i,33-2,5
eg-invs,u21ka2,uka,21-2,4
eg-invs,u32ka2,uka,32-2,1
eg-invs,v23'i2,v'i,23-2,5
eg-invs[perf2],a2,a,2,1
eg-invs[perf2],i2,i,2,1
eg-invs[perf2],o33'i2,o'i,33-2,1
eg-invs[perf2],u21ka2,uka,21-2,1
eg-invs[perf2],v23'i2,v'i,23-2,1
eg-vs,a2,a,2,15
eg-vs,i2,i,2,16
eg-vs,o33'i2,o'i,33-2,15
eg-vs,u21ka2,uka,21-2,13
eg-vs,u32ka2,uka,32-2,1
eg-vs,v23'i2,v'i,23-2,15
eg-vs[pres2],i2,i,2,2
eg-vs[pres2],o33'i2,o'i,33-2,2
eg-vs[pres2],u21ka2,uka,21-2,2
eg-vs[pres2],v23'i2,v'i,23-2,2
eh-a,a2,a,2,2
eh-a,i2,i,2,2
eh-a,o3'i2,o'i,3-2,1
eh-a,o33'i2,o'i,33-2,1
eh-a,v23'i2,v'i,23-2,1
eh-a,v33'i2,v'i,33-2,1
eh-eh,a2,a,2,8
eh-eh,i2,i,2,8
eh-eh,o3'i2,o'i,3-2,2
eh-eh,o33'i2,o'i,33-2,6
eh-eh,v22la2,vla,22-2,1
eh-eh,v23'i2,v'i,23-2,6
eh-eh,v23la2,vla,23-2,7
eh-eh,v33'i2,v'i,33-2,2
eh-ehl,a2,a,2,1
eh-ehl,i2,i,2,1
eh-ehl,o33'i2,o'i,33-2,1
eh-ehl,v23'i2,v'i,23-2,1
eh-ehl,v23la2,vla,23-2,1
eh-el,a2,a,2,10
eh-el,hsi2,hsi,2,10
eh-el,i2,i,2,9
eh-el,o33'i2,o'i,33-2,10
eh-el,v23'i2,v'i,23-2,10
eh-el[imp2],a2,a,2,4
eh-el[imp2],hsi2,hsi,2,4
eh-el[imp2],i2,i,2,4
eh-el[imp2],o3'i2,o'i,3-2,2
eh-el[imp2],o33'i2,o'i,33-2,2
eh-el[imp2],v23'i2,v'i,23-2,2
eh-el[imp2],v33'i2,v'i,33-2,2
eh-el[imp3],a2,a,2,3
eh-el[imp3],i2,i,2,3
eh-el[imp3],i21hsi2,ihsi,21-2,1
eh-el[imp3],i2hsi2,ihsi,2-2,2
eh-el[imp3],o33'i2,o'i,33-2,3
eh-el[imp3],v23'i2,v'i,23-2,3
eh-el[imp4],a2,a,2,1
eh-el[imp4],i2,i,2,1
eh-el[imp4],o33'i2,o'i,33-2,1
eh-el[imp4],v23'i2,v'i,23-2,1
eh-el[imp4],v23la2,vla,23-2,1
eh-hehl,a2,a,2,4
eh-hehl,hv22la2,hvla,22-2,1
eh-hehl,hv23la2,hvla,23-2,3
eh-hehl,i2,i,2,4
eh-hehl,o3'i2,o'i,3-2,4
eh-hehl,v33'i2,v'i,33-2,4
g-ts,a2,a,2,14
g-ts,i2,i,2,14
g-ts,ki2,ki,2,14
g-ts,o33'i2,o'i,33-2,14
g-ts,v23'i2,v'i,23-2,14
g-ts[inf2],a2,a,2,8
g-ts[inf2],i2,i,2,8
g-ts[inf2],ki2,ki,2,8
g-ts[inf2],o33'i2,o'i,33-2,8
g-ts[inf2],v23'i2,v'i,23-2,8
g-ts[inf3],a2,a,2,7
g-ts[inf3],i2,i,2,7
g-ts[inf3],ki2,ki,2,7
g-ts[inf3],o33'i2,o'i,33-2,7
g-ts[inf3],v23'i2,v'i,23-2,7
go-gots,a2,a,2,2
go-gots,i2,i,2,2
go-gots,ko2'i2,ko'i,2-2,2
go-gots,o33'i2,o'i,33-2,2
go-gots,v23'i2,v'i,23-2,2
hg-hts,a2,a,2,4
hg-hts,hki2,hki,2,3
hg-hts,i2,i,2,4
hg-hts,ki2,ki,2,1
hg-hts,o3'i2,o'i,3-2,1
hg-hts,o33'i2,o'i,33-2,3
hg-hts,v23'i2,v'i,23-2,3
hg-hts,v33'i2,v'i,33-2,1
hih-hil,a2,a,2,5
hih-hil,hka2,hka,2,5
hih-hil,i2,i,2,5
hih-hil,o3'i2,o'i,3-2,3
hih-hil,o33'i2,o'i,33-2,2
hih-hil,v23'i2,v'i,23-2,3
hih-hil,v33'i2,v'i,33-2,2
hih-hil[imp2],a2,a,2,2
hih-hil[imp2],i2,i,2,1
hih-hil[imp2],i21ka2,ika,21-2,2
hih-hil[imp2],o3'i2,o'i,3-2,1
hih-hil[imp2],o33'i2,o'i,33-2,1
hih-hil[imp2],v2'i?,v'i?,2,1
hih-hil[imp2],v23'i2,v'i,23-2,1
hih-hilh,a2,a,2,2
hih-hilh,hi2ka2,hika,2-2,2
hih-hilh,i2,i,2,2
hih-hilh,o3'i2,o'i,3-2,1
hih-hilh,o33'i2,o'i,33-2,1
hih-hilh,v23'i2,v'i,23-2,2
hih-lh,a2,a,2,11
hih-lh,i2,i,2,11
hih-lh,ka2,ka,2,11
hih-lh,o33'i2,o'i,33-2,11
hih-lh,v23'i2,v'i,23-2,5
hih-lh,v33'i2,v'i,33-2,6
hih-lh[imp2],'a2,'a,2,3
hih-lh[imp2],a2,a,2,6
hih-lh[imp2],ha2,ha,2,3
hih-lh[imp2],i2,i,2,6
hih-lh[imp2],o33'i2,o'i,33-2,6
hih-lh[imp2],v23'i2,v'i,23-2,6
husg,a2,a,2,2
husg,hu21ka2,huka,21-2,2
husg,i2,i,2,2
husg,o3'i2,o'i,3-2,1
husg,o33'i2,o'i,33-2,1
husg,v23'i2,v'i,23-2,1
husg,v33'i2,v'i,33-2,1
hvsg-han,a2,a,2,19
hvsg-han,hv21ka2,hvka,21-2,18
hvsg-han,hv32ka2,hvka,32-2,1
hvsg-han,i2,i,2,23
hvsg-han,o3'i2,o'i,3-2,17
hvsg-han,o33'i2,o'i,33-2,2
hvsg-han,v23'i2,v'i,23-2,2
hvsg-han,v33'i2,v'i,33-2,17
hvsg-han[inf2],a2,a,2,4
hvsg-han[inf2],hv21ka2,hvka,21-2,4
hvsg-han[inf2],i2,i,2,4
hvsg-han[inf2],o3'i2,o'i,3-2,3
hvsg-han[inf2],o33'i2,o'i,33-2,1
hvsg-han[inf2],v23'i2,v'i,23-2,1
hvsg-han[inf2],v33'i2,v'i,33-2,3
hvsg-hn,a2,a,2,10
hvsg-hn,hv21ka2,hvka,21-2,9
hvsg-hn,hv32ka2,hvka,32-2,1
hvsg-hn,i2,i,2,12
hvsg-hn,o33'i2,o'i,33-2,10
hvsg-hn,v23'i2,v'i,23-2,9
hvsg-hn,v33'i2,v'i,33-2,1
hvsg-hn[inf2],a2,a,2,4
hvsg-hn[inf2],hv21ka2,hvka,21-2,3
hvsg-hn[inf2],hv32ka2,hvka,32-2,1
hvsg-hn[inf2],i2,i,2,4
hvsg-hn[inf2],o33'i2,o'i,33-2,4
hvsg-hn[inf2],v23'i2,v'i,23-2,2
hvsg-hn[inf2],v33'i2,v'i,33-2,2
hvsg-hn[inf3],a2,a,2,1
hvsg-hn[inf3],hv21ka2,hvka,21-2,1
hvsg-hn[inf3],i2,i,2,1
hvsg-hn[inf3],o3'i2,o'i,3-2,1
hvsg-hn[inf3],v23'i2,v'i,23-2,1
hvsg-hn[inf4],a2,a,2,1
hvsg-hn[inf4],hv21ka2,hvka,21-2,1
hvsg-hn[inf4],i2,i,2,1
hvsg-hn[inf4],o3'i2,o'i,3-2,1
hvsg-hn[inf4],v23'i2,v'i,23-2,1
hvsg-n,a2,a,2,1
hvsg-n,hv32ka2,hvka,32-2,1
hvsg-n,i2,i,2,1
hvsg-n,o33'i2,o'i,33-2,1
hvsg-n,v23'i2,v'i,23-2,1
i-a-i,a2,a,2,28
i-a-i,i2,i,2,28
i-a-i,o33'i2,o'i,33-2,28
i-a-i,v23'i2,v'i,23-2,28
i-a-i[perf2],a2,a,2,2
i-a-i[perf2],i2,i,2,2
i-a-i[perf2],o33'i2,o'i,33-2,2
i-a-i[perf2],v23'i2,v'i,23-2,2
i-a-ihsk,a2,a,2,2
i-a-ihsk,i2,i,2,2
i-a-ihsk,o33'i2,o'i,33-2,2
i-a-ihsk,v23'i2,v'i,23-2,2
i-vka,a2,a,2,13
i-vka,i2,i,2,13
i-vka,o33'i2,o'i,33-2,13
i-vka,v21ka2,vka,21-2,11
i-vka,v23'i2,v'i,23-2,13
i-vka,v32ka2,vka,32-2,1
ih-ihi,a2,a,2,2
ih-ihi,i2,i,2,2
ih-ihi,i23hi2,ihi,23-2,2
ih-ihi,o33'i2,o'i,33-2,2
ih-ihi,v23'i2,v'i,23-2,2
ih-il,a2,a,2,7
ih-il,i2,i,2,7
ih-il,i21ka2,ika,21-2,6
ih-il,i2ka2,ika,2-2,1
ih-il,o33'i2,o'i,33-2,7
ih-il,v23'i2,v'i,23-2,7
ih-ohd,a2,a,2,74
ih-ohd,i2,i,2,77
ih-ohd,o3'i2,o'i,3-2,34
ih-ohd,o33'i2,o'i,33-2,40
ih-ohd,v22'i2,v'i,22-2,1
ih-ohd,v23'i2,v'i,23-2,44
ih-ohd,v33'i2,v'i,33-2,29
ih-ohd[perf2],a2,a,2,8
ih-ohd[perf2],i2,i,2,8
ih-ohd[perf2],o3'i2,o'i,3-2,7
ih-ohd[perf2],o33'i2,o'i,33-2,1
ih-ohd[perf2],v23'i2,v'i,23-2,8
ih-ohd[perf3],a2,a,2,1
ih-ohd[perf3],i2,i,2,1
ih-ohd[perf3],o3'i2,o'i,3-2,1
ih-ohd[perf3],v33'i2,v'i,33-2,1
ih-ohd[pres2],a2,a,2,1
ih-ohd[pres2],i2,i,2,1
ih-ohd[pres2],o33'i2,o'i,33-2,1
ih-ohd[pres2],v23'i2,v'i,23-2,1
ih-vh,a2,a,2,24
ih-vh,i2,i,2,24
ih-vh,o3'i2,o'i,3-2,23
ih-vh,o33'i2,o'i,33-2,1
ih-vh,v23'i2,v'i,23-2,24
ih-vh[imperf2-inf2],a2,a,2,1
ih-vh[imperf2-inf2],i2,i,2,1
ih-vh[imperf2-inf2],o33'i2,o'i,33-2,1
ih-vh[imperf2-inf2],v23'i2,v'i,23-2,1
ih-vh[inf2],a2,a,2,8
ih-vh[inf2],i2,i,2,8
ih-vh[inf2],o3'i2,o'i,3-2,7
ih-vh[inf2],o33'i2,o'i,33-2,1
