corpus_id,prediction,definition,furthest_corpus
1306,FullEventful,he/she is saying it,0.corpus
143,FullEventful,he/she sees him/her,0.corpus
1580,FullEventful,he/she is grinning,0.corpus
1627,FullEventful,he/she likes him/her,0.corpus
163,FullEventful,he/she is driving it (refers to a vehicle in motion or animal),0.corpus
1721,FullEventful,he/she is worried,0.corpus
1721,FullStative,he/she is worried,0.corpus
1740,FullEventful,he/she is itching,0.corpus
1745,FullEventful,he/she is hungry,0.corpus
244,FullEventful,he/she is spilling it (refers to a liquid or non-liquid like salt‚ sugar),0.corpus
283,FullEventful,he/she is waiting for him/her,0.corpus
443,FullEventful,he/she is sopping it,0.corpus
521,FullEventful,he/she is dying (refers to a human),0.corpus
723,FullEventful,he/she is called,0.corpus
723,FullStative,he/she is called,0.corpus
732,FullEventful,he/she is wearing gloves,0.corpus
814,FullStative,he/she is holding it (refers to a flexible object),0.corpus
841,FullEventful,he/she is taking it out of a container (refers to a long object),0.corpus
1003,FullEventful,he/she has a nosebleed,1.asp_stripped
1033,FullEventful,he/she is smoking it,1.asp_stripped
1119,FullEventful,he/she is returning,1.asp_stripped
113,FullEventful,he/she is breaking it (refers to a flexible object),1.asp_stripped
1261,FullEventful,he/she is parting with him/her (refers to in death),1.asp_stripped
1262,FullEventful,he/she is using it,1.asp_stripped
1263,FullEventful,he/she is putting out a fire,1.asp_stripped
1264,FullEventful,he/she is sharpening it,1.asp_stripped
1265,FullEventful,it is going out (refers to fire‚ light),1.asp_stripped
1266,FullEventful,he/she is putting it into a fire (refers to a flexible object),1.asp_stripped
1267,FullEventful,he/she is mingling with a group,1.asp_stripped
1270,FullEventful,he/she is linking it,1.asp_stripped
1277,FullEventful,he/she is shaking it (refers to a flexible object),1.asp_stripped
1285,FullEventful,it is hanging (refers to a long object),1.asp_stripped
1285,FullStative,it is hanging (refers to a long object),1.asp_stripped
1286,FullEventful,he/she is hanging it up (refers to a long object),1.asp_stripped
1301,FullEventful,there are (a number of three or more must be specified),1.asp_stripped
1301,FullStative,there are (a number of three or more must be specified),1.asp_stripped
1493,FullEventful,he/she is sick,1.asp_stripped
1564,FullEventful,he/she is afloat,1.asp_stripped
1570,FullEventful,he/she has a cold,1.asp_stripped
1585,FullEventful,it’s rattling,1.asp_stripped
162,FullEventful,he/she has possession of a vehicle,1.asp_stripped
1632,FullEventful,they are together,1.asp_stripped
1632,FullStative,they are together,1.asp_stripped
1664,FullEventful,he/she is receiving punishment,1.asp_stripped
1671,FullEventful,he/she is coughing,1.asp_stripped
1681,FullEventful,he/she is going to bed,1.asp_stripped
1711,FullEventful,he/she is yelling,1.asp_stripped
1719,FullEventful,he/she has it,1.asp_stripped
1719,FullStative,he/she has it,1.asp_stripped
190,FullEventful,he/she is giving it to him/her,1.asp_stripped
209,FullEventful,he/she is taking it somewhere,1.asp_stripped
230,FullEventful,he/she is kicking him/her,1.asp_stripped
235,FullEventful,he/she is walking,1.asp_stripped
367,FullEventful,they are sitting (refers to a congregation),1.asp_stripped
42,FullEventful,he/she is making noise,1.asp_stripped
45,FullEventful,he/she is moving from one place to another,1.asp_stripped
470,FullEventful,he/she is exploding it,1.asp_stripped
475,FullEventful,he/she is joining,1.asp_stripped
482,FullEventful,he/she is running,1.asp_stripped
512,FullEventful,it’s crowing (refers to a rooster),1.asp_stripped
517,FullEventful,he/she is taking a break,1.asp_stripped
522,FullEventful,he/she is breaking it up,1.asp_stripped
548,FullEventful,he/she is being married,1.asp_stripped
564,FullEventful,he/she is squatting,1.asp_stripped
596,FullEventful,they are having a trial,1.asp_stripped
597,FullEventful,they are meeting,1.asp_stripped
598,FullEventful,they are separating,1.asp_stripped
601,FullEventful,they’re having church services,1.asp_stripped
603,FullEventful,they are adjourning,1.asp_stripped
613,FullEventful,he/she is ironing,1.asp_stripped
634,FullEventful,he/she is washing (refers to flexible objects including clothes),1.asp_stripped
788,FullEventful,he/she is hanging up it (refers to a flexible object),1.asp_stripped
844,FullEventful,he/she is spanking him/her,1.asp_stripped
889,FullEventful,he/she is giving him/her some liquid,1.asp_stripped
915,FullEventful,he/she is leaving it (refers to flexible object),1.asp_stripped
916,FullEventful,he/she is catching him/her,1.asp_stripped
922,FullEventful,he/she is causing it to sound,1.asp_stripped
978,FullEventful,he/she is resting him/her,1.asp_stripped
100,FullEventful,he/she is bragging,2.pre_stripped
1001,FullEventful,he/she is setting a post into the ground (refers to a post or other long object),2.pre_stripped
106,FullEventful,he/she is doing it,2.pre_stripped
119,FullEventful,it’s raining,2.pre_stripped
1227,FullEventful,he/she is rooting it out,2.pre_stripped
1253,FullEventful,it’s misting,2.pre_stripped
1479,FullEventful,he/she has a fever,2.pre_stripped
1484,FullEventful,he/she has time,2.pre_stripped
1571,FullEventful,he/she is choking on it,2.pre_stripped
161,FullEventful,he/she is killing him/her,2.pre_stripped
1649,FullEventful,it is making a sound,2.pre_stripped
1704,FullEventful,he/she is in a hurry,2.pre_stripped
1739,FullEventful,he/she is laughing,2.pre_stripped
194,FullEventful,he/she is frolicking,2.pre_stripped
212,FullEventful,he/she is peeling it,2.pre_stripped
214,FullEventful,it’s becoming frosty (refers to the ground),2.pre_stripped
240,FullEventful,he/she is getting in (in a car‚ box‚ etc),2.pre_stripped
286,FullEventful,he/she is becoming wise,2.pre_stripped
311,FullEventful,it’s boiling,2.pre_stripped
335,FullEventful,he/she is shaking his/her head,2.pre_stripped
342,FullEventful,he/she is putting his/her hat on,2.pre_stripped
389,FullEventful,he/she is closing it,2.pre_stripped
395,FullEventful,he/she is showing him/her,2.pre_stripped
401,FullEventful,he/she is afraid,2.pre_stripped
402,FullEventful,he/she is biting him/her,2.pre_stripped
410,FullEventful,he/she is dreaming about him/her,2.pre_stripped
414,FullEventful,he/she is erasing it,2.pre_stripped
428,FullEventful,he/she is sucking it,2.pre_stripped
465,FullEventful,he/she is drilling a hole,2.pre_stripped
473,FullEventful,he/she is combing someone’s hair,2.pre_stripped
504,FullEventful,he/she is distributing it,2.pre_stripped
546,FullEventful,he/she is teaching,2.pre_stripped
572,FullEventful,he/she is blinking,2.pre_stripped
579,FullEventful,he/she is sprinkling it (with a liquid‚ powder‚ salt‚ etc.),2.pre_stripped
60,FullEventful,he/she is learning,2.pre_stripped
624,FullEventful,he/she is enduring it (idiom),2.pre_stripped
69,FullEventful,he/she is diving,2.pre_stripped
737,FullEventful,he/she is making footsteps,2.pre_stripped
743,FullEventful,he/she is going,2.pre_stripped
803,FullEventful,he/she is sleeping,2.pre_stripped
810,FullEventful,he/she is tying him/her up,2.pre_stripped
92,FullEventful,he/she is pouring liquid into a container,2.pre_stripped
920,FullEventful,he/she is flying,2.pre_stripped
920,FullStative,he/she is flying,2.pre_stripped
965,FullEventful,it’s dripping,2.pre_stripped
968,FullEventful,he/she is whistling,2.pre_stripped
977,FullEventful,he/she is joking,2.pre_stripped
99,FullEventful,he/she is getting off,2.pre_stripped
992,FullEventful,he/she is feeding him/her,2.pre_stripped
10,FullEventful,he/she is praying,3.validated
101,FullEventful,he/she is catching up with him/her,3.validated
1014,FullEventful,he/she is leading him/her by the hand,3.validated
1015,FullEventful,he/she is agreeing with him/her,3.validated
1017,FullEventful,he/she is recognizing him/her,3.validated
1018,FullEventful,he/she understands it,3.validated
1021,FullEventful,he/she is getting full,3.validated
1022,FullEventful,he/she is making it,3.validated
1023,FullEventful,he/she is making it fall (refers to a round‚ long object),3.validated
1024,FullEventful,it’s falling (refers to a round‚ long object),3.validated
1027,FullEventful,he/she is writing it,3.validated
1030,FullEventful,he/she is pulling a trigger,3.validated
1038,FullEventful,he/she is batting it,3.validated
1040,FullEventful,he/she is saying to him/her,3.validated
1041,FullEventful,it’s swelling,3.validated
1043,FullEventful,he/she is building a fire,3.validated
1044,FullEventful,he/she is unhitching him/her,3.validated
1045,FullEventful,he/she is hitching him/her up,3.validated
1050,FullEventful,he/she is putting a handle on a tool,3.validated
1052,FullEventful,he/she is washing it,3.validated
1053,FullEventful,he/she is accusing him/her,3.validated
1055,FullEventful,he/she is covering it,3.validated
1056,FullEventful,he/she is putting it in water,3.validated
1060,FullEventful,he/she is picking him/her up,3.validated
1061,FullEventful,it’s snowing,3.validated
