definition
"1. he's bathing him 2. he's baptizing him"
"1. he's helping him up 2. he's standing it up (object with legs)"
"1. he's raising him, it., 2. he's growing it., (plant)"
"he hears him, it"
"he is dropping him, it (flexible)"
"he's burning him, it"
"he's choosing him, it"
"he's embarrassing him"
"he's including him, it (in counting)"
"he's listening to it, him"
"he's loaning it to him"
"he's paying him"
"he's placing his hand on him, it"
"he's playing with him, it"
"he's pressing down on him, it"
"he's riding it (anything that can be straddled)"
"he's rubbing him, it"
"he's running over him, it"
"he's stepping on him/it"
"he's stopping him/it"
