corpus_id,definition,present,imperfective,perfective,imperative,infinitive
1067,he/she is alive,kvnh,kvnh,,hvnhehsti,
1285,it is hanging,khtho',khtho',,hatho'ehsti,
1301,there are,nani',nani',,nitsi'ehsti,
366,they are asleep,anilhin,anilhin,,,
482,he/she is running,atlh,atlhihs,,,
502,he/she is inside,aya',aya',,,
746,he/she lives,eh,eh,,hehehsti,
759,it is hanging,kata',kata',,hata'ehsti,
772,he/she is standing,katok,katok,,hitokehsti,
814,he/she is holding it,kanheh,tsi'neha,,kanheho'i,hinhehehst
887,he/she is holding it in his/her hand,kaneh,kaneh,,hinehehsti,
893,he/she lives,kanel,kanel,,hinelehsti,
899,he/she is lying down,kanhk,kanhk,,hinhkehsti,
903,he/she is holding some liquid,kanhtseh,kanhtseh,,hinhtsehehsti,
920,he/she is flying,kanohil,kanohilihs,,hinohilihsehsti,
970,it’s hanging,kath,kath,,hathehsti,
997,he/she is leading it by a leash,kelihsineh,kelihsineh,,hiyelihsinehehsti,uwelihsinvhst
365,they are standing,anitona',anitona',anitona',,
1629,he/she has an object,una',una',una',tsana'ehsti,
1576,he/she is inside it,utsa',utsa',utsa',tsatsa'ehsti,
723,he/she is called,tuto',tuto',tuto',tetsato'ehsti,tsutohst
1719,he/she has it,uwekhah,uwekhah,uwekhah,tsekhahehsti,
217,he/she is holding it in his/her hand,ayheh,ayheh,ayheh,,
1642,he/she has a liquid,uneh,uneh,uneh,tsanehehsti,uneht
1554,he/she is in bed,unhih,unhih,unhih,tsanhihehsti,
1480,he/she is in hiding,utihskalh,utihskalh,utihskalh,tsatihskalhehsti,utihskalht
1730,he/she is sitting,uwolh,uwolh,uwolh,tsolhehsti,
730,he/she is wearing shoes,tulahsulh,tulahsulh,tulahsulh,tetsalahsulhehsti,
1711,he/she is yelling,uwelhuhk,uwelhuhk,uwelhunh,helhuhvka,uwelhuhvhst
389,he/she is closing it,ahstuhvhsk,ahstuhvhsk,uhstunh,hihstuhvka,uhstut
143,he/she sees him/her,akowhthih,akowhthihsk,ukoh,hikowahtha,ukowhthvht
733,he/she is wearing socks,tuliyoh,tuliyoh,tuliyoh,tetsaliyohehsti,
1470,it’s in view,utayvlath,utayvlath,utayvlath,tsatayvlathehsti,utayvlatht
1585,it’s rattling,utsonath,utsonath,utsonath,hatsonathvka,utsonatht
1535,there is dew,uhihsath,uhihsath,uhihsath,tsahihsathehsti,
1592,it’s sticking out,ukhsath,ukhsath,ukhsath,tsakhsathehsti,ukhsatht
1765,he/she is heading in the direction of,wakhth,wakhth,wakhth,whikhthehsti,
1462,he/she feels,utanhth,utanhth,utanhth,tsatanhthehsti,utanhtatihst
1646,he/she knows it,unhth,unhth,unhth,tsanhthehsti,
729,he/she is wearing glasses,tukhthinvth,tukhthinvth,tukhthinvth,tetsakhthinvthehsti,tsukhthinvtht
1530,he/she has an object,uh,uh,uh,tsahehsti,
148,he/she is cutting it,akvhalih,akvhalihsko'v,ukvhalvh,hikvhala,ukvhalht
521,he/she is dying,ayohuhsk,hiyohuhi,ayohuhsko'i,uyohuhihsti,
1478,it’s hot,utilhehk,utilhehk,utilhehk,tsatilhehkehsti,
1623,it’s dark,ulhsihk,ulhsihk,ulhsihk,tsalhsihkehsti,
726,he/she has horns,tulhk,tulhk,tulhk,tetsalhkehsti,
1613,he/she is wearing a ring,uliyehsuhsthk,uliyehsuhsthk,uliyehsuhsthk,tsaliyehsuhsthkehsti,
1622,he/she is wearing a hat,ulhskwethuhk,ulhskwethuhk,ulhskwethuhk,tsalhskwethuhkehsti,
737,he/she is making footsteps,tuhstanoyhvhk,tuhstanoyhvhk,tuhstanoyhvhk,titsahstanoyhvla,tsuhstanoyhvlhihst
1745,he/she is hungry,uyohsih,uyohsihsk,uyohsihsk,tsayohsihsa,uyohsihsoht
1479,he/she has a fever,utilhehvhsk,utilhehvhsk,utilhehvhsk,tsatilhehvhi,utilhehvhst
1493,he/she is sick,utlvk,utlvk,utlvk,tstlvki,utlv'ihst
1704,he/she is in a hurry,uwanvk,uwanvk,uwanvk,tsvnvki,uwanvhst
106,he/she is doing it,atvneh,atvneh,utvnel,hatvka,utvnht
1614,it’s cloudy,ulokil,ulokil,ulokil,,
1003,he/she has a nosebleed,kika tekhayvhskwo'ih,kika tekhayvhskwo'ih,kika tuyhvhskwol,kika thiyhvhskwotsa,kika tsuyhvhskwo'ihst
1569,it is cold,uyhvtl,uyhvtl,uyhvtl,,
732,he/she is wearing gloves,tuliyehsul,tuliyehsul,tuliyehsul,thaliyehsulvka,tsuliyehsulot
1677,he/she is wearing pants,uhsul,uhsul,uhsul,tsahsulehsti,
1618,he/she is wearing a cap,ulhstul,ulhstul,ulhstul,tsalhstulehsti,
810,he/she is tying him/her up,kalhv'ih,kalhv'ih,ulhvl,hiya'lvtsa,ulhvhst
367,they are sitting,ani'n,ani'n,ani'n,,
119,it’s raining,akahsk,akahsk,ukanhan,,ukanht
194,he/she is frolicking,anhetsohsk,anhetsohsk,unhetson,hanhetso'vka,unhetsot
1277,he/she is shaking it,khtsakv'vhsk,khtsakv'vhsk,uwhtsakvn,hiyvtsakvyha,uwhtsakvt
235,he/she is walking,a',a'ihs,a'ihs,,
112,it is shining,akalih,akalihsk,ukalihs,,ukalihihst
983,he/she is speaking,kawonih,kawonihsk,uwonihs,hiwonihi,uwonihihst
1649,it is making a sound,unoyhvhk,unoyhvhk,unoyhvlhs,tsanoyhvla,unoyhvlhihst
512,it’s crowing,ayhk,ayhk,uyvlhs,hayvla,uyvlhihst
1632,they are together,unalikoh,unalikohs,unalikohs,itsalikohsehsti,
1564,he/she is afloat,uyholuh,uyholuhs,uyholuhs,hiyholuhvka,uyholuht
1505,he/she is standing in liquid,utuh,utuhs,utuhs,tsatuhsehsti,utuht
1451,he/she loves,utakeyuh,utakeyuhs,utakeyuhs,tsatakeyuhsehsti,utakeyht
1516,he/she is possessive of him/her,ukeyuh,ukeyuhs,ukeyuhs,hikeyuhsehsti,ukeyht
1729,he/she is confident,uwohiyuh,uwohiyuhs,uwohiyuhs,tsohiyuhsehsti,
1459,it’s wrinkled,utanekoyuh,utanekoyuhs,utanekoyuhs,tsatanekoyuhsehsti,
163,he/she is driving it,ahi'l,ahi'lihs,uhi'lvhs,,uhi'lvhst
1545,he/she is angry,unhalvh,unhalvhs,unhalvhs,tshanalvhsehsti,
743,he/she is going,ek,ek,uwenvhs,hena,uwenvhst
212,he/she is peeling it,ayhahkhetsk,ayhahkhetsk,uyhahkhets,hiyhahkhetsa,uyhahkhetst
1739,he/she is laughing,uyetsk,uyetsk,uyets,tsayetsa,uyetst
402,he/she is biting him/her,ahskalhk,ahskalhk,uhskalhts,hihskala,uhskalhst
410,he/she is dreaming about him/her,ahskitsk,ahskitsk,uhskits,hiyahskitsa,uhskitst
1639,he/she is being mean,unekuts,unekuts,unekuts,tsanekutsehsti,
428,he/she is sucking it,ahskwanutsk,ahskwanutsk,uhskwanuts,hihskwanutsa,uhskwanutst
1571,he/she is choking on it,uyhvhtsinvthk,uyhvhtsinvthk,uyhvhtsinvts,tshayvhtsinvthki,uyhvhtsinvtst
1489,he/she is wearing an earring,utli'at,utli'at,utli'at,tsatli'atehsti,
1597,it’s foggy,ukhvhat,ukhvhat,ukhvhat,tsakhvhatehsti,
1084,he/she is hiding it,kvhskalati',kvhskalatihskoi,uwahskalat,hvhskalata,uwahskalatihst
1323,he/she has something on,nuwanht,nuwanht,nuwanht,nitsvnhtehsti,
1537,it’s lonesome,uhihsoht,uhihsoht,uhihsoht,,
1627,he/she likes him/her,ulvkwht,ulvkwht,ulvkwht,hilvkwota,ulvkwhtoht
283,he/she is waiting for him/her,akhthiy,akhthiy,ukhthit,hikathita,ukhthitihst
1693,he/she is listening to him/her,uthvtahst,uthvtahst,uthvtahst,hiyathvtahstehsti,uthvtahstoht
1593,he/she is watching him/her,ukhsehst,ukhsehst,ukhsehst,hiyakahsehstehsti,ukhsehstoht
1508,he/she is willing,utvnv'ihst,utvnv'ihst,utvnv'ihst,tsatvnv'ihstehsti,
1450,he/she is in prayer,utatolihst,utatolihst,utatolihst,tsatatolihstehsti,utatolihstoht
1580,he/she is grinning,utsetst,utsetst,utsetst,hatsetsta,utsetstoht
1621,he/she is sticking his/her head out,ulhskwalut,ulhskwalut,ulhskwalut,tsalhskwalutehsti,
1483,there’s an opening,utlanvt,utlanvt,utlanvt,,
1557,he/she is wearing a shirt,unhuw,unhuw,unhuw,tsanhuwehsti,
1709,he/she has an object,uway,uway,uway,tsvyehsti,
