verb,present,imperfective,perfective,imperative,infinitive
"1.  he's diverting him, it, 2. he's flagging him, it down",ahalukih,ahalukisk,uhalukis,hialuki,uhalukist
"1. he's asking him a question., 2. he's asking a question",athvtvhvsk,athvtvhvsk,uthvtvnh,hiyathvtvhvka,uthvtht
1. he's closing it  2. he's jailing him,astuhvsk,astuhvsk,ustunh,histuhvka,ustut
"1. he's pricking him, it  2. he's giving him an injection",katsayohih,katsayohih,uwatsayolh,hiyatsayoa,uwatsayost
1. he's racing 2. he's running for office,athohkiya,athohkiyask,uthohkiy,hathohkiya,uthohkiyast
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",nikawe,nikawesk,nuwes,nhiwi,iyuwest
"1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)",atsewi,atsewisk,utsew,hatsewa,utsewast
1. he's tying up a leg 2. he's applying a break,kanvlhohih,kanvlhohih,unvlholh,hinvlhoka,unvlhost
"1. he, it's using it up 2. he's drinking, eating it up",asvhvsk,asvhvsk,usvnh,hisvnha,usvhvst
1. they are getting together  2. they are dating  (when the dual form is used),analikohvsk,analikohvsk,unalikonh,itsalikohvka,unalikht
He's getting drunk,uyhvste,uyhvstesk,uyhvsta,tshayvstaka,uyhvstest
he has a nosebleed,kika tekhayvskwoih,kika tekhayvskwoih,kika tuyhvskwol,kika thiyhvskwotsa,kika tsuyhvskwoist
he hates him,kanikwathih,kanikwathih,unikwathilh,hinikwathika,unikwathist
"he sees him, it",akowhthih,akowhthisk,ukoh,hikowahtha,ukowhthvht
he's acting like him,atselvsk,atselvsk,utselvnh,hatselvna,utselht
he's acting silly,atvnelih,atvnelisk,utvnelvnh,hatvnela,utvnelht
he's afraid,askah,askah,uskal,hiskaya,uskast
he's arguing,athiyohih,athiyohih,uthiyolh,hathiyoka,uthiyost
he's asking for it,athayohih,athayohih,uthayolh,hithayoha,uthayost
he's baking it,katuhvsk,katuhvsk,uwatunh,hituhvka,uwatht
"he's becoming, it's happening",nị²kạ²lsti²h,nị²kạ²lsti²skọ³ɂi,nu¹lstha²nv²³ɂi,nhạ²lsta³,ị²yu²lstoh²t
"he's biting him, it",askalhk,askalhk,uskalhts,hiskala,uskalst
"he's blowing, he's blowing on it",atsothask,atsothask,utsothah,hatsotha,utsothast
he's braiding it,asteyoh,asteyoh,usteyol,histeyaka,usteyot
he's building a fence,asoyhoh,asoyhoh,usoyhal,hasoyhka,usoyst
he's burying him,kanisih,kanisisk,unisanh,hinisa,unisoht
"he's catching up with him, it",atlvthask,atlvthask,utlvthah,hiyatlvtha,utlvthast
he's changing his socks,taliyosih,taliyosih,tuliyosvh,thaliyosa,tsuliyosvht
he's chopping it,kaluysk,kaluysk,uluyh,hiluyha,uluyst
he's chopping it up,akvhaluysk,akvhaluysk,ukvhaluyh,hikvhaluyha,ukvhaluyst
