macro_class,variation_name,match_count,match_percent,can_have_variants
cause,pres(base),82,98.8,True
cause,perf(base),76,91.57,True
become,imp(base),32,94.12,True
ih-vh,imperf(base),31,96.88,True
aspectless,inf(base),26,89.66,True
ih-vh,inf(base),23,71.88,True
glottal-sk,perf(base),22,95.65,True
glottal-sk,inf(base),22,95.65,True
hvsk-han,inf(base),19,82.61,True
h-ih-l,inf(base),17,94.44,True
become,inf(base),16,47.06,True
go,pres(base),14,87.5,True
h-ih-l,imp(base),11,61.11,True
apl,imp(base),10,55.56,True
hvsk-nh,inf(base),10,66.67,True
vsk,imp2,10,83.33,True
ih-l-ika,inf(base),9,90.0,True
ih-vh,inf2,9,28.12,True
become,inf2,8,23.53,True
ih-l-ika,perf(base),8,80.0,True
become,inf3,7,20.59,True
cause,perf2,6,7.23,True
h-ih-l,imp2,6,33.33,True
episodic,imp(base),5,83.33,True
episodic,inf(base),5,83.33,True
go-alt,perf(base),5,83.33,True
h-ih-l-ka,inf(base),5,83.33,True
sk-h,imp(base),5,55.56,True
apl,imp2,4,22.22,True
hvsk-han,inf2,4,17.39,True
sk-h,imp2,4,44.44,True
sk-s-hst,imp(base),4,33.33,True
apl,imp3,3,16.67,True
aspectless,inf2,3,10.34,True
become,inf4,3,8.82,True
hvsk-nh,inf2,3,20.0,True
ih-vnh,imperf(base),3,75.0,True
oh-al,imp(base),3,75.0,True
vsk-vnh,inf(base),3,37.5,True
become,imp2,2,5.88,True
go,pres2,2,12.5,True
ih-l-ika,perf2,2,20.0,True
ih-vnh,imp(base),2,50.0,True
ih-vnh,imp2,2,50.0,True
ih-vnh,inf(base),2,50.0,True
oh-ol,inf(base),2,33.33,True
oh-ol,inf2,2,33.33,True
oh-ol,inf3,2,33.33,True
sk-s-hst,imp5,2,16.67,True
sk-s-hst,imp4,2,16.67,True
sk-s-hst,imp2,2,16.67,True
sk-s-hst,imp3,2,16.67,True
v'vsk,imp2,2,66.67,True
vsk,imp(base),2,16.67,True
vsk-vnh,inf2,2,25.0,True
vsk-vnh,inf3,2,25.0,True
apl,imp4,1,5.56,True
cause,pres2,1,1.2,True
cause,perf3,1,1.2,True
episodic,imp2,1,16.67,True
episodic,inf2,1,16.67,True
glottal-sk,perf2,1,4.35,True
glottal-sk,inf2,1,4.35,True
go-alt,perf2,1,16.67,True
h-ih-l,imp3,1,5.56,True
h-ih-l,inf2,1,5.56,True
h-ih-l-ka,inf2,1,16.67,True
hvsk-nh,inf4,1,6.67,True
hvsk-nh,inf3,1,6.67,True
ih-l-ika,inf2,1,10.0,True
ih-vh,imperf2,1,3.12,True
ih-vnh,imperf2,1,25.0,True
ih-vnh,inf3,1,25.0,True
ih-vnh,inf2,1,25.0,True
oh-al,imp2,1,25.0,True
v'vsk,imp(base),1,33.33,True
vsk-vnh,inf4,1,12.5,True
