parent,class,only_vowels,only_consonants,only_laryngeal,letters
apl,apl,False,True,False,';h;n;s;t
apl-active,apl-active,False,True,False,';h;k;y
apl-active,apl-active-a,False,True,False,l;y
apl-active,apl-active-lh,False,True,True,';h
aspectless,aspectless,False,True,False,';k;l;s;t;w;y
aspectless,aspectless-h,False,False,False,a;e;i;l;n;o;t
aspectless,aspectless-s,True,False,False,u;v
be-at,be-at,False,True,False,h;l;n;s;t
be-at,be-at-weak,False,True,False,t
become,become-'i,True,False,False,o
become,become-ki,False,False,False,a;e;h;i;o;v
cause,cause,False,True,False,';h;s;t
change-out,change-out,False,True,False,l
change-out,change-out-flexible,False,True,False,l;w
e-a,e-a,False,True,False,n;y
e-aka,e-aka,False,True,False,h;s;t
episodic,episodic,False,True,False,l;s;t;y
glottal-sk,glottal-sk,True,False,False,a;i
go,go,False,True,False,h;l;n;s;t
go,go-in,False,True,False,t
hih,hih-hil,False,True,False,n;y
hih,hih-lh,True,False,False,a;e;o;v
husk,husk,False,True,False,l
hvsk,hvsk-han,False,True,False,l;n;t
hvsk,hvsk-nh,True,False,False,a;e;o;u
i-vka,i-vka,False,True,False,k;l;t;w
ih-l,ih-l,False,True,False,h;l;n
ih-vh,ih-vh,False,True,False,h;l;n;s;t;y
leaving,leaving,False,True,False,h;k;s
long,long,False,True,False,h;l;n;t;w
long,long-no-a,True,False,False,i;u;v
o,o,False,True,False,l;t;w
oh,oh-al,False,True,False,l;y
oh,oh-ol,False,True,False,n;y
rev,rev-'i,True,False,False,a;u
rev,rev-e,False,True,False,h;l;n;t;w;y
rev,rev-gi,False,False,False,a;e;h;i;o;s;u
rev,rev-i,False,True,True,h
sk-h,sk-h,False,False,False,a;w;y
sk-h,sk-h-yh,True,False,False,o;u
sk-s,sk-s-a-hihst,False,True,False,l;w
sk-s,sk-s-hi-hihst,False,False,False,a;e;i;n;o;u;v;w
sk-s,sk-s-hst,False,False,False,e;i;l;u;w;y
sk-s,sk-s-la,True,False,False,o;v
terminative,terminative,False,True,False,k;n
terminative,terminative-no-o,True,False,False,v
v-vhs,v-vhs,False,True,False,h;k
vnh,vnh-ih-a,False,True,False,l;t
vnh,vnh-ih-vna,False,True,True,h
vnh,vnh-vsk,False,True,False,h;l;n;t
vsk,vsk,False,True,False,h;l;t;y
vsk,vsk-long,False,True,False,l;n
vsk,vsk-post-v,True,False,False,o
