corpus_id,form_name,surface,segmented
4,imperative,hatatuka,h-at-at-uka
4,imperfective,atateko'i,a->at-at-ek-o'i
4,infinitive,utatinvti,u->at-at-invt-i
4,perfective,utatinvhsv'i,u->at-at-invhs-v'i
4,present,atateka,a->at-at-ek-a
4,present_1sg,katateka,k-at-at-ek-a
5,imperative,hatatuka,h-at-at-uka
5,imperfective,atateko'i,a->at-at-ek-o'i
5,infinitive,utatinvti,u->at-at-invt-i
5,perfective,utatehsv'i,u->at-at-ehs-v'i
5,present,atateka,a->at-at-ek-a
5,present_1sg,katateka,k-at-at-ek-a
6,imperative,hatatinvta,h-at-atinvt-a
6,imperfective,atatinvtihsko'i,a->at-atinvt-ihsk-o'i
6,infinitive,utatinvtohti,u->at-atinvt-oht-i
6,perfective,utatinvthanv'i,u->at-atinvt-han-v'i
6,present,atatinvtiha,a->at-atinvt-ih-a
6,present_1sg,katatinvtiha,k-at-atinvt-ih-a
7,imperative,hatatloka,h-ata->:tlo-ka
7,imperfective,atatlohiho'i,a->ata->:tlo-hih-o'i
7,infinitive,utatlohsti,u->ata->:tlo-hst-i
7,perfective,utatlolhv'i,u->ata->:tlo-lh-v'i
7,present,atatlohiha,a->ata->:tlo-hih-a
7,present_1sg,katatlohiha,k-ata->:tlo-hih-a
10,imperative,hatatolihsta,h-ata->:tolihst-a
10,imperfective,atatolihstihsko'i,a->ata->:tolihst-ihsk-o'i
10,infinitive,utatolihstohti,u->ata->:tolihst-oht-i
10,perfective,utatolihsthanv'i,u->ata->:tolihst-han-v'i
10,present,atatolihstiha,a->ata->:tolihst-ih-a
10,present_1sg,katatolihstiha,k-ata->:tolihst-ih-a
16,imperative,hatanhoyvla,h-ata-nhoy-vla
16,imperfective,atanhoyehsko'i,a->ata-nhoy-ehsk-o'i
16,infinitive,utanhoyehti,u->ata-nhoy-eht-i
16,perfective,utanhoyehv'i,u->ata-nhoy-eh-v'i
16,present,atanhoyeha,a->ata-nhoy-eh-a
16,present_1sg,katanoyeha,k-ata-noy-eh-a
18,imperative,hatawhahthvhita,h-ata-whahthvh-it-a
18,imperfective,atawhahthvhitoho'i,a->ata-whahthvh-it-oh-o'i
18,infinitive,utawhahthvhitahsti,u->ata-whahthvh-it-ahst-i
18,perfective,utawhahthvhitolv'i,u->ata-whahthvh-it-ol-v'i
18,present,atawhahthvhitoha,a->ata-whahthvh-it-oh-a
18,present_1sg,katawahthvhitoha,k-ata-wahthvh-it-oh-a
19,imperative,hatayhahsta,h-ata-yhahst-a
19,imperfective,atayhahstihsko'i,a->ata-yhahst-ihsk-o'i
