class,subclass,variant,mascot_corpus_id
cause,,Plain,361
stative,,Plain,893
a,,Plain,165
become,,Plain,1523
ko-kots,,Plain,449
sk-s,hi-hihst,Plain,856
apl,,Plain,950
apl-active,,Plain,453
apl-active-',,Plain,296
apl-active-a,,Plain,331
apl-active-h,,Plain,1246
apl[imp2],,Plain,1616
apl[imp3],,Plain,59
apl[imp4],,Plain,22
be-at,,Plain,742
become[inf2],,Plain,507
become[inf3],,Plain,515
become[inf4],,Plain,858
cause[perf2],,Plain,804
cause[perf3],,Plain,169
cause[pres2],,Plain,288
e-a,,Plain,138
e-aka,,Plain,818
episodic,,Plain,327
episodic[imp2],,Plain,477
episodic[inf2],,Plain,30
go,,Plain,381
go-in,,Plain,1471
go-in[perf2],,Plain,5
go[pres2],,Plain,479
hih-hil,,Plain,98
hih-hil[imp2],,Plain,1070
hih-hilh,,Plain,973
hih-lh,,Plain,592
hih-lh[imp2],,Plain,529
husk,,Plain,334
hvsk-han,,Plain,582
hvsk-han[inf2],,Plain,255
hvsk-n,,Plain,1774
hvsk-nh,,Plain,587
hvsk-nh[inf2],,Plain,600
hvsk-nh[inf3],,Plain,993
hvsk-nh[inf4],,Plain,166
i-a-i,,Plain,127
i-a-i[perf2],,Plain,752
i-a-ihsk,,Plain,445
i-vka,,Plain,1027
ih-ihi,,Plain,983
ih-il,,Plain,609
ih-vh,,Plain,1507
ih-vh[imperf2-inf2],,Plain,593
ih-vh[inf2],,Plain,207
o,,Plain,189
oh-al,,Plain,1563
oh-al[imp2],,Plain,219
oh-ol,,Plain,383
oh-ol[inf2],,Plain,70
oh-ol[inf3],,Plain,280
rev-'i,,Plain,390
rev-e,,Plain,584
rev-gi,,Plain,631
rev-i,,Plain,238
sk-h,,Plain,862
sk-h-yh,,Plain,605
sk-h[imp2],,Plain,82
sk-s-a,,Plain,1698
sk-s-a[inf2],,Plain,424
sk-s-hst,,Plain,210
sk-s-hst[imp2],,Plain,725
sk-s-la,,Plain,46
stative-a',,Plain,1629
stative-eh,,Plain,217
stative-h,,Plain,730
stative-k,,Plain,772
stative-s,,Plain,1729
terminative,,Plain,136
terminative-no-o,,Plain,459
v-vhs,,Plain,880
vnh-ih-a,,Plain,77
vnh-vsk,,Plain,242
vnh-vsk[inf2],,Plain,829
vnh-vsk[inf3],,Plain,1022
vnh-vsk[inf4],,Plain,441
vsk,,Plain,175
vsk-long,,Plain,924
vsk-long[imp2],,Plain,1776
vsk-post-v,,Plain,490
vsk[imp2],,Plain,1055
