user_approved,from_root_id,from_h_grade,from_g_grade,from_class,from_stem_type,from_corpus_ids,to_root_id,to_h_grade,to_g_grade,to_class,to_stem_type,to_corpus_ids,to_form_type,to_stem
,:khan|:khan,:khan,:khan,eh-el,long,827,:kha|:kha,:kha,:kha,hvsg-n,long,1774,perfective,:khan
,el|el,el,el,i-a-i[perf2],vowel_e,752,el|el,el,el,i-a-i,vowel_e,752,perfective,el
,kheh|kheh,kheh,kheh,eg-vs,aspirated,259,kh|kh,kh,kh,eh-eh,vowel_a,27,perfective,kheh
,t|t,t,t,eh-el[imp3],con,59,long,,,i-a-i,con,72;1754,perfective,t
,nvts|nvts,nvts,nvts,oh-ol-a,con,949,nv|nv,nv,nv,g-ts,con,940,perfective,nvts
,nvts|nvts,nvts,nvts,oh-ol-a,con,949,nv|nv,nv,nv,g-ts[inf2],con,940,perfective,nvts
,nvn|nvn,nvn,nvn,eh-el,con,950,n|n,n,n,vsk-long,con,1776,perfective,nvn
,nvn|nvn,nvn,nvn,eh-el,con,950,n|n,n,n,vsk-long[imp2],con,1776,perfective,nvn
,whahthvh|wahthvh,whahthvh,wahthvh,oh-ol-a,con,208,whahth|wahth,whahth,wahth,ih-vh,con,207,perfective,whahthvh
,whahthvh|wahthvh,whahthvh,wahthvh,oh-ol-a,vowel_a,18,whahth|wahth,whahth,wahth,ih-vh,con,207,perfective,whahthvh
,whahthvh|wahthvh,whahthvh,wahthvh,oh-ol-a,con,208,whahth|wahth,whahth,wahth,ih-vh[inf2],con,207,perfective,whahthvh
,whahthvh|wahthvh,whahthvh,wahthvh,oh-ol-a,vowel_a,18,whahth|wahth,whahth,wahth,ih-vh[inf2],con,207,perfective,whahthvh
,yhel|yel,yhel,yel,i-a-i[perf2],con,220,yhel|yel,yhel,yel,i-a-i,con,220,perfective,yhel
,yhel|yel,yhel,yel,oh-al[imp2],con,219,yhel|yel,yhel,yel,i-a-i,con,220,perfective,yhel
,yhvhs|yvhs,yhvhs,yvhs,hvsg-hn,con,233,yh|y,yh,y,eg-vs,con,216,perfective,yhvhs
,yohsthan|yohsthan,yohsthan,yohsthan,ohvsg,con,526,yohst|yohst,yohst,yohst,ih-ohd,con,524,perfective,yohsthan
,yohuhs|,yohuhs,,eh-el[imp2],con,1741,yohu|yo'u,yohu,yo'u,sg-s-hi-hihst,con,521,perfective,yohuhs
,nh|'n,nh,'n,eg-vs,con,813,|-solid,,,hvsg-hn,con,206;1761,perfective,nh
,nh|'n,nh,'n,oh-ol-a,con,815,|-solid,,,hvsg-hn,con,206;1761,perfective,nh
,nh|nv,nh,nv,stative-k,con,899,|-solid,,,hvsg-hn,con,206;1761,perfective,nh
