corpus_id,definition,h_grade,g_grade,class,post_root_morpheme,root_id,user_edited
1070,he/she is hitting him/her,,,hih-hil[imp2],hitting[hil],hit,x
1761,he/she is sending it,,,hvsg-hn,,|-solid,x
206,he/she is setting it down,,,hvsg-hn,,|-solid,x
1754,he/she is sending on object (refers to a long object),,,i-a-i,long[no-a],long,x
72,he/she is laying it down (refers to a long object),,,i-a-i,long[no-a],long,x
128,he/she is picking it up,,,rev-gi,,|-solid,x
1530,he/she has an object (refers to a solid object),,,stative-h,,|-solid,x
367,they are sitting (refers to a congregation),''n,,stative,,''n|,
172,it’s taking time,'hil,,oh-ol-a,be-at,'hil|,
834,he/she is climbing it,'l,'l,eg-vs,,'l|'l,
839,he/she is climbing around,'l,'l,oh-ol-a,be-at,'l|'l,
858,he/she is arriving,'lu,'lu,hg-hts,,'lu|'lu,
914,he/she is burying him/her,'n,'n,ih-ohd[perf2],iterative,'n|'n,
956,he/she is rolling him/her,:hsakwale,:hsakwale,hih-lh,,:hsakwale|:hsakwale,
960,he/she is attaching the object behind it (refers to a flexible object),:hsanenat,:hsanenat,vsk,,:hsanenat|:hsanenat,
955,he/she is pushing him/her,:hsato,:hsato,sg-h-hy,,:hsato|:hsato,
623,he/she is crossing it (refers to a body of water),:hso,:hso,hg-hts,,:hso|:hso,
969,he/she is piling it up,:hsvt,:hsvt,hvsg-han,,:hsvt|:hsvt,
791,he/she is rowing,:kawe,:kawe,sg-s-hst[imp2],,:kawe|:kawe,
1774,he/she is sending it,:kha,:kha,hvsg-n,,:kha|:kha,
826,he/she is leaving a living thing behind,:khah,:khah,a,leaving,:khah|:khah,
827,he/she is giving him/her a living thing,:khan,:khan,eh-el,,:khan|:khan,
1699,he/she is belching,:khule,,g-ts[inf2],,:khule|,
796,he/she is pecking it,:kwayo,:kwayo,hih-lh[imp2],,:kwayo|:kwayo,
829,he/she is wrapping him/her,:kwhen,:kwhen,vnh-vsk[inf2],,:kwhen|:kwhen,
809,he/she is piling it up,:l,:l,husg,,:l|:l,
355,they are gathering,:lh,:lh,ih-ohd[perf2],iterative,:lh|:lh,
804,he/she is gathering it,:lh,:lh,ih-ohd[perf2],iterative,:lh|:lh,
882,he/she is taking it somewhere by hand (refers to a long object),:n,:n,eg-vs,,:n|:n,
908,he/she is handling it (refers to a long object),:n,:n,oh-ol-a,be-at,:n|:n,
887,he/she is holding it in his/her hand (refers to a long object),:n,:n,stative-eh,,:n|:n,
1700,he/she is shivering,:naw,,i-a-i,,:naw|,
973,he/she is stabbing him/her,:t,:t,hih-hilh,,:t|:t,
764,he/she is plowing it,:taluk,:taluk,i-vka,,:taluk|:taluk,
