corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive,notes
148,,,,,,akvhalihsko'i,,,,o'v vs o'i typo
217,,,FullStative,,,,,,,Legacy stative verb
365,,,FullStative,,,,,,,Legacy stative verb
726,,,FullStative,,,,,,,Legacy stative verb
729,,,FullStative,,,,,,,Legacy stative verb
730,,,FullStative,,,,,,,Legacy stative verb
733,,,FullStative,,,,,,,Legacy stative verb
814,,,FullStative,,tsi'neha,kanhehv'i,kanheho'i,hinhehehsti,NULL,entries misaligned; extra o'i not split
1084,,,,,,kvhskalatihsko'i,,,,oi instead of o'i typo
1765,,,FullStative,,,,,,,Legacy stative verb
