class,stem final,present,imperfective,perfective,imperative,infinitive
1a,,ih,isk,vh,a,vht
1b,,ih,isk,han,a,oht
1c,,i,isk,an,vka,ot
2a,,i,isk,,a,ist
2a-ag,,e,esk,a,aka,est
2b,,,sk,,tsa,st
2c,,a,ask,,a,ast
2d,,e,esk,e,a,est
2e,,i,isk,is,i,ist
2f,,,sk,s,na,st
3a,,sk,sk,s,hi,hist
3b,,sk,sk,s,a,st
3c,,sk,sk,s,sa,st
3d,,sk,sk,s,la,st
3e,,sk,sk,*hy,*hya,st
4a,,eh,esk,eh,vla,eht
4b,,eh,esk,ehl,vla,eht
5a,,hih,hih,hl,ka,st
5a?,,ih,ih,l,tsa,ist
5b,,oh,oh,ol,aka,st
6,,g,g,ts,gi,st
7,,h,s,s,hest,ht
8,,hk,hk,ls,la,hlist
put-h,,hvsk,hvsk,hn,hvka,ht
put-u,,husk,husk,uhn,huka,hust
put-?,,vsk,vsk,n,vka,t
amb,,oh,oh,ol,a,ast
and,,i,is,vs,uka,vst
and-h,,eek,eek,vs,uka,vst
and-h,,eek,eek,vs,uka,vst
and-v,,eek,eek,invs,uka,invt
dat,,eh,eh,el,*si,ehti
rev,,i,isk,is,i,ist
rev-e,,e,esk,es,e,est
rev-gi,,ki,kisk,kis,ki,kist
rpt,,ilo,ilosk,ilo,ilotsa,ilost
