definition,class,strictness,scope,stem_final_match_present,stem_final_match_imperfective,stem_final_match_perfective,stem_final_match_imperative,stem_final_match_infinitive,present,imperfective,perfective,imperative,infinitive
he's yawning,IIa,strict,ending,False,False,False,True,False,uhahlokeh,uhahlokesk,uhahlokeh,jahahlokvla,uhahlokeht
he's building a house,IIa,strict,ending,False,False,False,True,False,ahneskeh,ahneskesk,uhneskeh,hahneskvla,uhneskeht
he has a cold,IIa,strict,ending,False,False,False,True,False,uhyvtla uniyih,uhyvtla uniyisk,uhyvtla uniyvh,uhyvtla wijaniya,uhyvtla uniyht
he's agitating liquid,IIa,strict,ending,False,False,False,True,False,kanhkwaeh,kanhkwaesk,unhkwaeh,hinhkwavla,unhkwaeht
"he, it's rocking",IIa,strict,ending,False,False,False,True,False,tahlihkeh,tahlihkesk,tuhlihkeh,thahlihkvla,juhlihkeht
he's looking at himself in a mirror,IIa,strict,ending,False,False,False,True,False,atakheh,atakhesk,utakheh,hatakhvla,utakheht
"he's trimming it, (boy's hair, grass, hedge, but not paper, cloth)",IIa,strict,ending,True,True,True,True,False,astoyeh,astoyesk,ustoyeh,histoya,ustoyht
he's prying it,IIa,strict,ending,False,False,False,False,False,khanekwatih,khanekwatisk,uhnekwatvh,hihnekwata,uhnekwatht
he's rising from a prone position,IIa,strict,ending,False,False,False,False,False,atitih,atitisk,utitvh,hatita,utitht
"he's taking off flying, its flying away",IIa,strict,ending,False,False,False,False,False,ahlawitih,ahlawitisk,uhlawitvh,hahlawita,uhlawitht
"he's taking it (animal, flexible object) somewhere",IIa,strict,ending,False,False,False,False,False,kanawitih,kanawitisk,unawitvh,hinawita,unawitht
he's taking some liquid somewhere,IIa,strict,ending,False,False,False,False,False,kanehwitih,kanehwitisk,unehwitvh,hinehwita,unehwitht
he's taking a long object somewhere,IIa,strict,ending,False,False,False,False,False,ayvhwitih,ayvhwitisk,uyvhwitvh,hiyvhwita,uyvhwitht
he's sharpening it,IIa,strict,ending,False,False,False,True,False,khtlih,khtlisk,uwhtlvh,hvhtla,uwhtlvht
he's shelling corn,IIa,strict,ending,False,False,False,True,False,takhthlih,takhthlisk,tukhthlvh,thikhthla,jukhthlvht
"1. he's calling him, inviting him. 2. he's receiving, getting him",IIa,strict,ending,False,False,False,False,False,ahyanih,ahyanisk,uhyanvh,hiyana,uhyanht
he's starting/beginning,IIa,strict,ending,False,False,False,False,False,alenih,alenisk,ulenvh,halena,ulenht
they are separating,IIa,strict,ending,False,False,False,False,False,tanakalenih,tanakalenisk,tunakalenvh,tistakalena,junakalenht
he's target practicing,IIa,strict,ending,False,False,False,False,False,akonih,akonisk,ukonvh,hakona,ukonht
1. he's withdrawing (a motion)  2. he's withdrawing (his candidacy)  3. he's pulling it out (a drawer),IIa,strict,ending,False,False,False,False,False,asesih,asesisk,usesvh,hasesa,usesvht
he's finding a flexible object,IIa,strict,ending,False,False,False,False,False,kanawhthih,kanawhthisk,unawhthvh,hinawhtha,unawhthvht
"he's finding him, it",IIa,strict,ending,False,False,False,False,False,ahwahthih,ahwahthisk,uhwahthvh,hiwahtha,uhwahthvht
he's finding some liquid,IIa,strict,ending,False,False,False,False,False,kanehwahthih,kanehwahthisk,unehwahthvh,hinehwahtha,unehwahthvht
he's finding a long object,IIa,strict,ending,False,False,False,False,False,ayvhwahthih,ayvhwahthisk,uyvhwahthvh,hiyvhwahtha,uyvhwahthvht
"he sees him, it",IIa,strict,ending,False,False,False,False,False,akowhthih,akowhthisk,ukoh,hikowahtha,ukowhthvht
"1. he's getting a long object., 2. he's picking up a long object",IIa,strict,ending,False,False,False,True,False,ayih,ayisk,uyvh,hiya,uyht
he's having a birthday,IIa,strict,ending,False,False,False,True,False,utethiyih,utethiyisk,utethiyvh,jatethiya,utethiyht
he's paying,IIa,strict,ending,False,False,False,True,False,akhwiyih,akhwiyisk,ukhwiyvh,hakhwiya,ukhwiyht
1. he's catching him 2. he's arresting him 3. he's playing catcher,IIa,strict,ending,False,False,False,True,False,kaniyih,kaniyisk,uniyvh,hiniya,uniyht
he's untying it,IIa,strict,ending,False,False,False,True,False,takhanehyih,takhanehyisk,tukhanehyvh,thikhanehya,jukhanehyvht
he's drawing a liquid out of a container,IIa,strict,ending,False,False,False,True,False,atlih,atlisk,utlvh,hitla,utlvht
he's taking it somewhere,IIa,strict,ending,False,False,False,False,False,ahwitih,ahwitisk,uhwitvh,hihwita,uhwitht
he's choking him,IIa,strict,ending,False,False,False,True,False,ahyvskiyih,ahyvskiyisk,uhyvskiyvh,hiyvskiya,uhyvskiyht
