definition,class,strictness,scope,stem_final_match_present,stem_final_match_imperfective,stem_final_match_perfective,stem_final_match_imperative,stem_final_match_infinitive,present,imperfective,perfective,imperative,infinitive
he's taking a step,Ic,loose,ending,True,True,False,True,True,alaskv,alaskvsk,ulaskvs,halaskvna,ulaskvst
he's replying,Ic,loose,ending,True,True,False,True,True,kawohiliyv,kawohiliyvsk,uwohiliyvs,hawohiliyvna,uwohiliyvst
"he, it's changing",Ic,loose,ending,True,True,False,True,True,atanetliyv,atanetliyvsk,utanetliyvs,hatanetliyvna,utanetliyvst
he's changing it,Ic,loose,ending,True,True,False,True,True,kanetliyv,kanetliyvsk,unetliyvs,hinetliyvna,unetliyvst
"he, it's moving from one place to another",Ic,loose,ending,True,True,False,True,True,atanv,atanvsk,utanvs,hatanvna,utanvst
he's moving it from one place to another,Ic,loose,ending,True,True,False,True,True,ahv,ahvsk,uhvs,hihvna,uhvst
1. he's turning back 2. he's turning (his head or body),Ic,loose,ending,True,True,False,True,True,akhthahv,akhthahvsk,ukhthahvs,hakhthahvna,ukhthahvst
he's changing shoes,Ic,loose,ending,True,True,False,True,True,talasulaiyv,talasulaiyvsk,tulasulaiyvs,thalasulaiyvna,julasulaiyvst
he's changing his pants,Ic,loose,ending,True,True,False,True,True,asulaiyv,asulaiyvsk,usulaiyvs,hasulaiyvna,usulaiyvst
he's changing his shirt,Ic,loose,ending,True,True,False,True,True,ahnawaiyv,ahnawaiyvsk,uhnawaiyvs,hahnawaiyvna,uhnawaiyvst
he's changing clothes,Ic,loose,ending,True,True,False,True,True,tahnawaiyv,tahnawaiyvsk,tuhnawaiyvs,thahnawaiyvna,juhnawaiyvst
"he, it's burning",Ic,loose,ending,False,True,False,False,True,akohvsk,akohvsk,ukohn,hakohna,ukohvst
"he's wounding him, it",Ic,loose,ending,False,True,False,True,True,asonvsk,asonvsk,usonvhn,hisonvna,usonvst
"1. he, it's using it up 2. he's drinking, eating it up",Ic,loose,ending,False,True,False,True,True,asvhvsk,asvhvsk,usvhn,hisvhna,usvhvst
"he, it's destroying it",Ic,loose,ending,False,True,False,False,True,ayosthanohvsk,ayosthanohvsk,uyosthanohn,hiyosthanohna,uyosthanohvst
