definition,class,root,success,ambiguous_forms,notes
it’s bouncing,go-in,atat,True,,
it’s bouncing,go-in,,True,,
it’s bouncing,go-in,t,True,,
he/she is limping,go-in[perf2],atat,True,,
he/she is limping,go-in[perf2],,True,,
he/she is limping,go-in[perf2],t,True,,
he/she is bouncing it,cause,atatinvt,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,cause,invt,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,cause,tinvt,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,cause[perf3],atatinvt,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,cause[perf3],invt,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,cause[perf3],tinvt,False,present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,cause[pres2],atatinvtih,False,,
he/she is bouncing it,cause[pres2],invtih,False,,
he/she is bouncing it,cause[pres2],tinvtih,False,,
he/she is bouncing it,cause[pres2-perf3],atatinvtih,False,,
he/she is bouncing it,cause[pres2-perf3],invtih,False,,
he/she is bouncing it,cause[pres2-perf3],tinvtih,False,,
he/she is putting on a belt,hih-lh,atatlo,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is putting on a belt,hih-lh,lo,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is putting on a belt,hih-lh,tlo,True,present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,cause,atatolihst,True,,
he/she is praying,cause,olihst,True,,
he/she is praying,cause,tolihst,True,,
he/she is praying,cause[perf3],atatolihst,False,,
he/she is praying,cause[perf3],olihst,False,,
he/she is praying,cause[perf3],tolihst,False,,
he/she is praying,cause[pres2],atatolihstih,False,,
he/she is praying,cause[pres2],olihstih,False,,
he/she is praying,cause[pres2],tolihstih,False,,
he/she is praying,cause[pres2-perf3],atatolihstih,False,,
he/she is praying,cause[pres2-perf3],olihstih,False,,
he/she is praying,cause[pres2-perf3],tolihstih,False,,
he/she is fanning himself/herself,apl-active,atanhoy,True,,
he/she is fanning himself/herself,apl-active,anhoy,True,,
he/she is fanning himself/herself,apl-active,nhoy,True,,
he/she is fanning himself/herself,apl-active-a,atanhoy,False,,
he/she is fanning himself/herself,apl-active-a,anhoy,False,,
he/she is fanning himself/herself,apl-active-a,nhoy,False,,
he/she is visiting,be-at,atawhahthvh,True,,
he/she is visiting,be-at,awhahthvh,True,,
he/she is visiting,be-at,whahthvh,True,,
he/she is visiting,be-at-weak,atawhahthvhit,True,,
he/she is visiting,be-at-weak,awhahthvhit,True,,
he/she is visiting,be-at-weak,whahthvhit,True,,
he/she is stretching,cause,atayhahst,True,,
he/she is stretching,cause,ayhahst,True,,
he/she is stretching,cause,yhahst,True,,
he/she is stretching,cause[perf3],atayhahst,False,,
he/she is stretching,cause[perf3],ayhahst,False,,
he/she is stretching,cause[perf3],yhahst,False,,
