definition,3rd present,1st present,3rd completive past,3rd incompletive habitual,2nd imperative,3rd infinitive,
he's putting on his socks,da1li23yo3hi.2a,de2ga3li23yo.3?i.2ha,du1li23yo3hlv23?i,da1li23yo3hi.2ho3?i,ta2li3yo2ga,ju2li23yo3sdi,
he's taking a drink (alcoholic beverage),a.1tu23gi.3a,ga.?2du23gi.3?a,u1tu23gi32sv23?i,a1tu23gi32sgo3?i,ha.2tu23gi,u2tu23gi32sdi,
he thinks so,e1li.3a,ge2li.3?a,u1we2li32sv23?i,e1li32sgo3?i,he23la,u.2we2li1sdi,
"he's catching a falling person, object",a1sgwa32hle.2?a,ji1sgwa32hle.2?a,u1sgwa32hle1sv23?i,a1sgwa32hle1sgo3?i,hi1sgwa1hla.2gi,u2sgwa1hle1sdi,
"1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc",ni.2ga.2we.2?a,ni.2ji.2we.2?a,nu1we1sv23?i,ni.2ga.2we1sgo3?i,hni.3wi,i.2yu3we1sdi,
it's hatching,a1ja.3?i.2?a,ga.2ja.3?i.2?a,u1ja.3?i1sv23?i,a1ja.3?i1sgo3?i,ha.2ja.2?i,u2ja.2?i1sdi,
he's opening it,a1sdu.3?i.2?a,ji1sdu.3?i.2?a,u1sdu.3?i1sv23?i,a1sdu.3?i1sgo3?i,hi.2sdu.2?i,u2sdu.2?i1sdi,
it's freezing,ga.2ne23sda.3la.2di.2?a,ji.2ne23sda.3la.2di.2?a,u1ne23sda.3la.2dv23?i,ga.2ne23sda.3la.2di1sgo3?i,hi.2ne2sda.2la.2da,u2ne23sda.3la.2di1sdi,
he's getting married,a1ne23la.3di.2?a,ga2ne23la.3di.2?a,u1ne23la.3dv23?i,a1ne23la.3di1sgo3?i,ha2ne2la.2da,u2ne23la.3di1sdi,
1. he's pleading 2. he's urging,ga.2ni23la.3di.2?a,ji.2ni23la.3di.2?a,u1ni23la.3dv23?i,ga.2ni23la.3di1sgo3?i,hi.2ni2la.2da,u2ni23la.3di1sdi,
he's capturing him,a1hyv23ki3di.2?a,ji1yv23ki3di.2?a,u1hyv23ki3dv23?i,a1hyv23ki3di1sgo3?i,hi1yv2ki23da,u2hyv23ki3di1sdi,
he's bewitching him,ga.2ne23gu3di.2?a,ji2ne23gu3di.2?a,u1ne23gu3dv23?i,ga.2ne23gu3di1sgo3?i,hi2ne2gu23da,u2ne23gu3di1sdi,
it's burning (flames),a1da.2we23la.3gi.2?a,ga.2da.2we23la.3gi.2?a,u1da.2we23la.3gv23?i,a1da.2we23la.3gi1sgo3?i,ha.2da.2we2la.2ga,u2da.2we23la.3gi1sdi,
he's taking off his socks,da1li23yo3gi.2?a,de2ga3li23yo3gi.2?a,du1li23yo3gi1sv23?i,da1li23yo3gi1sgo3?i,ta2li3yo2gi,ju2li23yo3gi1sdi,
he's chewing it,a1gi32sdo.2?a,ji.2gi23sdo.2?a,u1gi32sdo.2?v23?i,a1gi32sdo1sgo3?i,hi.2gi1sdo23ja,u2gi1sdo1sdi,
1. he's pondering it  2. he's considering,a1danh2te23hi3lo.2?a,ga.2da2nv1te23hi3lo.2?a,u1danh2te23hi3lo.2?v23?i,a1danh2te23hi2lo1sgo3?i,ha.2danh2te2hi2lo23ja,u2danh2te2hi2lo1sdi,
he's taking a step,a1la32sgv.2?a,ga.2la32sgv.2?a,u1la32sgv1sv23?i,a1la32sgv1sgo3?i,ha.2la1sgv23na,u2la1sgv1sdi,
he's replying,ga.2wo23hi.3li2yv.2?a,ga.2wo3?i.2li23yv.3?a,u1wo23hi.3li2yv1sv23?i,ga.2wo23hi.3li2yv1sgo3?i,ha.2wo2hi.2li2yv23na,u2wo23hi.3li2yv1sdi,
"he, it's changing",a1da.2ne23dli3yv.2?a,ga.2da.2ne23dli3yv.3?a,u1da.2ne23dli3yv1sv23?i,a1da.2ne23dli3yv1sgo3?i,ha.2da.2ne2dli3yv1na,u2da.2ne23dli3yv1sdi,
he's changing it,ga.2ne23dli3yv.2?a,ji.2ne23dli3yv.2?a,u1ne23dli3yv.1sv23?i,ga.2ne23dli3yv1sgo3?i,hi.2ne2dli2yv23na,u2ne23dli2yv23sdi,
he's erasing it,a1sgo23lv3di2?a,ji1sgo23lv3di.2?a,u1sgo23lv3dv23?i,a1sgo23lv3di1sgo3?i,hi.2sgo2lv23da,u2sgo23lv3di1sdi,
"he, it's moving from one place to another",a1da.?3nv2?a,ga.2da.?3nv.2?a,u1da.?3nv1sv23?i,a1da.?3nv2sgo3?i,ha.2da.?2nv23na,u2da.?2nv1sdi,
"he's learning, he's learning it",a1de2hloh2gwa.3?a,ga.2de1loh2gwa.3?a,u1de2hloh2gwa.3?v23?i,a1dehloh2gwa32sgo3?i,ha.2de2hloh2gwa,u2de2hloh2gwa1sdi,
he's leaving it behind,a1hi2ya.3?a,ji.2?i2ya.3?a,u1hi3yv23?i,a1hi2ya32sgo3?i,hi.2hi23ya,u2hi34ya32sdi,
he's leaving a living thing behind,ga2ka.2hi2ya.3?a,ji2ya1ka.2hi2ya.3?a,u1wa2ka.2hi3yv23?i,ga2ka.2hi2ya32sgo3?i,hi2ya1ka.2hi23ya,u2wa2ka.2hi23ya32sdi,
he's leaving it (flexible),ga.?3ni2ya.3?a,ji.?3ni2ya3?a,u1ni3yv23?i,ga.?3ni2ya32sgo3?i,hi.?2ni23ya,u2ni23ya32sdi,
he's leaving a long object behind,a1di32si2ya.3?a,ji.2di32si2ya.3?a,u1di32si2yv23?i,a1di23si2ya32sgo3?i,hi.2di1si23ya,u2di1si23ya32sdi,
he's scattering it,a1di2ga.2le23ya.3?a,ga.2di2ga.2le23ya.3?a,u1di2ga.2le3yv23?i,a1di2ga.2le23ya32sgo3?i,ha.2di2ga.2le23ya,u2di2ga.2le23ya32sdi,
1. he's racing 2. he's running for office,a1toh2gi23ya.3?a,ga1toh2gi23ya.3?a,u1toh2gi3yv23?i,a1toh2gi23ya32sgo3?i,ha.2toh2gi23ya,u2toh2gi23ya32sdi,
he's shoveling it,a1ko23de.3?a,ji1ko23de.3?a,u1ko23de32sv23?i,a1ko23de32sgo3?i,hi.2ko2da.2gi,u2ko23de32sdi,
"he's taking off, removing a cap",al1sdu23le.3?a,ga.2li1sdu23le.3?a,ul1sdu23le32sv23?i,al1sdu23le32sgo3?i,hal2sdu2la.2gi,ul2sdu23le32sdi,
he's oiling it,ga.2lo23ne.3?a,ji.2lo23ne3?a,u1lo23ne.3?v23?i,ga.2lo23ne32sgo3?i,hi.2lo23na,u2lo23ne32di,
he's washing (dishes),de2gv3di23ye.3?a,de2gv3di23ye.3?a,du1wa2di23ye.3?v23?i,de2gv3di23ye32sgo3?i,tv2di3ya,ju.2wa2di23ye32di,
"1. he's reading, 2. he's examining him, it",a1go2li23ye.3?a,ji2go2li23ye.3?a,u1go2li23ye.3?v23?i,a1go2li23ye32sgo3?i,hi2go2li23ya,u2go2li23ye32di,
"he's rubbing him, it",a1sgo2li23ye.3?a,ji2ya1sgo2li23ye.3?a,u1sgo2li23ye.3?v23?i,a1sgo2li23ye32sgo3?i,hi2ya1sgo2li23ya,u2sgo2li23ye32di,
he's laying a long object down,a1di.3?a,ji.2di.3?a,u1dv23?i,a1di32sgo3?i,hi.2da,u2di1sdi,
"he's remembering him, it",anh1da.2di.3?a,ji2ya2nv1da.2di.3?a,unh1da.3dv23?i,anh1da.2di32sgo3?i,hi2ya2nv1da.2da,unh2da.2di1sdi,
"he's lifting him, raising him, it",a1sa.2la.2di.3?a,ji1sa.2la.2di.3?a,u1sa.2la.2da32nv23?i,a1sa.2la.2di32sgo3?i,hi1sa.2la.2dv1ga,u2sa.2la.2do1di,
"he, it's ascending, raising",al1sa.2la.2di.3?a,ga.2li1sa.2la.2di.3?a,ul1sa.2la.2da32nv23?i,al1sa.2la.2di32sgo3?i,hal2sa.2la.2dv1ga,ul2sa.2la.2do1di,
he's mooring a boat,a1ta.2la.2di.3?a,ji1ta.2la.2di3?a,u1ta.2la.2dv23?i,a1ta.2la.2di32sgo3?i,hi.2ta.2la.2da,u2ta.2la.2di1sdi,
he's joining,a1te.2la.2di.3?a,ga.2de.?2la.2di.3?a,u1te.2la.3dv23?i,a1te.2la.2di32sgo3?i,ha.2te.2la.2da,u2te.2la.2di1sdi,
"he's roping him, it",a1sla.2di.3?a,ji1sla.2di.3?a,u1sla.3dv23?i,a1sla.2di32sgo3?i,hi1sla.2da,u.sla.2di1sdi,
he's hanging up a long object,kto3sa.2di.3?a,ga1to3sa.2di.3?a,uwh1to3sa.2dv23?i,kto3sa.2di32sgo3?i,ha.2to1sa.2da,uwh2to1sa.2di1sdi,
"he's placing his hand on him, it",a1sih2ta.2di.3?a,ji2ya1sih2ta.2di.3?a,u1sih2ta.2dv23?i,a1sih2ta.2di32sgo3?i,hi2ya1sih2ta.2da,u2sih2ta.2di1sdi,
he's sending a long object,wa.2di.3?a,wi.2ji.2di.3?a,wu1dv23?i,wa.2di32sgo3?i,hwi.2da,wu1di1sdi,
he's finishing it,a1sgwa.2di.3?a,ji1sgwa.2di.3?a,u1sgwa.3dv23?i,a1sgwa.2di32sgo3?i,hi2sgwa.2da,u2sgwa.2di1sdi,
it's ending,al1sgwa.2di.3?a,-----,ul1sgwa.3dv23?i,al1sgwa.2di32sgo3?i,-----,ul2sgwa.2di1sdi,
he's exchanging/trading it,a1li.3?i2di.3?a,ga2li.3?i2di.3?a,u1li.3?i2dv23?i,a1li.3i2di32sgo3?i,ha2li.2?i23da,u2li.2?i23di32sdi,
he's putting a long object in liquid,a1hu2di.3?a,ji.2?u2di.3?a,u1hu3dv23?i,a1hu2di32sgo3?i,hi.2hu23da,u2hu23di32sdi,
he's receiving punishment,u1sdv2di.3?a,ak1sdv2di.3?a,u1sdv3dv23?i,u1sdv2di32sgo3?i,tsdv23da,u2sdv23di32sdi,
he's putting a long object in a container,ga.2la.3di.3?a,ji.2la.3di.3?a,u1la.3dv23?i,ga.2la.2di32sgo3?i,hi.2la.2da,u2la.2di1sdi,
he's hiding a long object,gv2sga.2la.3di.3?a,gv2sga.2la.3di.3?a,u1wa2sga.2la.3dv23?i,gv2sga.2la.3di32sgo3?i,hv2sga.2la.2da,u.2wa2sga.2la.2di1sdi,
it's misting,ka.2nu3yo2la.3di.3?a,-----,u1hnu3yo2la.?3dv23?i,ka.2nu3yo2la.3di32sgo3?i,-----,u2hnu1yo23la.3di1sdi,
he's setting up a bed,ga.2ni2hla.3di.3?a,ji.2ni1hla.3di.3?a,u1ni2hla.3dv23?i,ga.2ni2hla.3di32sgo3?i,hi.2ni2hla.2da,u2ni2hla.2di1sdi,
he's licking it,a1ga.2na23di.3?a,ji.2ga.2na23di.3?a,u1ga.2na23dv23?i,a1ga.2na23di32sgo3?i,hi.2ga.2na23da,u2ga.2na23di32sdi,
he's sticking his head out,al1sgwa.2lu23di.3?a,ga.2li1sgwa.2lu23di.3?a,ul1sgwa.2lu23da32nv23?i,al1sgwa.2lu23di32sgo3?i,hal2sgwa.2lu2dv1ga,ul2sgwa.2lu23do32di,
"he's missing him, it",ga.2nv23di.3?a,ji2nv23di.3?a,u1nv3dv23?i,ga.2nv23di32sgo3?i,hi2nv23da,u2nv23di32sdi,
he's eating it (a single solid food),a1gi.3?a,ji.2gi.3?a,u1gv23?i,a1gi32sgo3?i,hi.2ga,u2gi1sdi,
1. he's leaving  2. it's starting,a1hni.2gi.3?a,ga1ni.2gi.3?a,u1hni.2gi32sv23?i,a1hni.2gi32sgo3?i,ha2hni.2gi,u23hni.3gi1sdi,
he's gnawing it,a1sgo2gi.3?a,ji1sgo2gi.3?a,u1sgo3gv23?i,a1sgo2gi32sgo3?i,hi.2sgo23ga,u2sgo23gi32sdi,
he's eating a long object,a1sdi23gi.3?a,ji1sdi23gi.3?a,u1sdi3gv23?i,a1sdi23gi32sgo3?i,hi.2sdi23ga,u2sdi23gi32sdi,
it's flooding,ga.2no2hu23gi.3?a,-----,u1no2hu23ga32nv23?i,ga.2no2hu23gi32sgo3?i,-----,u2no2hu23go32di,
he's dipping liquid,a1ku23gi.3?a,ji.2gu23gi.3?a,u1ku23gi32sv23?i,a1ku23gi32sgo3?i,hi.2ku23gi,u2ku23gi32sdi,
he's plowing it,ga2da.2lu23gi.3?a,ji2da.2lu23gi.3?a,u1wa2da.2lu23ga32nv23?i,ga2da.2lu23gi32sgo3?i,hi2da.2lu2gv1ga,u.2wa2da.2lu23go32di,
1. he's tickling him; 2. he's spurring a horse,da1hyv23gi.3?a,de2ji32yv23gi.3?a,du1hyv3gv23?i,da1hyv23gi32sgo3?i,ti32yv23ga,ju2hyv23gi32sdi,
he's putting his gloves on,da1li.2ye32su2li.3?a,de2ga.3li.3ye32su2li.3?a,du1li.2ye32su2la32nv23?i,da1li.2ye32su2li32sgo3?i,ta.2li.3ye1su2lv32ga,ju2li.2ye1su23lo32di,
he's putting his pants on,a3su2li.3?a,ga3su2li.3?a,u3su2la32nv23?i,a3su2li.3sgo3?i,ha1su2lv1ga,u1su23lo32di,
he's putting on a cap,al1sdu23li.3?a,ga.2li1sdu23li.3?a,ul1sdu23la32nv23?i,al1sdu23li32sgo3?i,hal2sdu2lv1ga,ul2sdu23lo32di,
he's pouring liquid from a container,a1dli.3?a,ji.2dli.3?a,u1dlv23?i,a1dli32sgo3?i,hi.2dli1ga,u2dli1sdi,
he's sprinkling it (with a liquid),da1sdu2dli.3?a,de2ji32sdu2dli.3?a,du1sdu3dlv23?i,da1sdu2dli32sgo3?i,ti.2sdu3dla,ju2sdu2dli1sdi,
he's shivering,u1wa3na2wi.3?a,a1gi3na2wi.3?a,u1wa3na2wv23?i,u1wa3na2wi32sgo3?i,ja1na23wa,u.2wa1na23wi32sdi,
"1. he's spilling it (a liquid or nonliquid like salt, sugar) 2. he's pouring it on the ground (liquid or non-liquid) 3. he's being wasteful (of money, etc.)",a1je23wi.3?a,ga.2je23wi.3?a,u1je3wv23?i,a1je23wi32sgo3?i,ha.2je23wa,u2je23wa32sdi,
"1. he's curing, doctoring him, 2. he's soldering, welding it",ka.2nv23wi.3?a,ji1nv23wi.3?a,u1hnv23wa32nv23?i,ka.2nv23wi32sgo3?i,hi1nv2wv1ga,u2hnv23wo32di,
it's thundering,a1hyv2da.2gwa.2lo.3?a,,u1hyv2da.2gwa.2lo.3?vi,a1hyv2da.2gwa.3lo32sgo3?i,,u2hyv2da.2gwa.2los1di,
he's leaving some liquid,ga.2ne2hi2ya3?a,ji.2ne.2?i2ya.3?a,u1ne2hi3yv23?i,ga.2ne2hi2ya32sgo3?i,hi.2ne2hi23ya,u2ne2hi23ya32sdi,
he's removing it (solid or flexible object) from a hanging position,ga.2de3?a,ga.2de3?a,u1de3sv23?i,ga2de3sgo3?i,ha.2da.2gi,u2de1sdi,
he's breathing,ka2wo2la.2de3?a,ga.?2wo2la.2de3?a,u1hwo2la.2de3sv23?i,ka.2wo2la.2de3sgo3?i,ha.2hwo2la.2da.2gi,u2hwo2la.2de1sdi,
he's taking off his glasses,da1kti.2nv2de3?a,de2ga.3ga1ti.2nv2de3?a,du1kti.2nv2de3sv23?i,da1kti.2nv2de3sgo3?i,ta.3kti.2nv2da.2gi,ju2kti.2nv2de1sdi,
he's taking it off,ni.2gvnh3de3?a,ni.2gvnh3de3?a,nu1wanh3de3sv23?i,ni.2gvnh3de3sgo3?i,hnvnh3da.3gi,i.2yu.3wanh1de1sdi,
He's getting drunk,u1hyv.2sde3?a,a1ki.2yv.2sde3?a,u1hyv.2sda3?v23?i,u1hyv.2sde3sgo3?i,cha.2yv.2sda.2ga,u2hyv.2sde1sdi,
he's taking a bite,a1tsde3?a,ga.2ji1sde3?a,u1tsde3sv23?i,a1tsde3sgo3?i,ha.2tsda.2gi,u2tsde1sdi,
"1. he's unhitching him, it 2. he's unhooking it 3. he's unplugging it",gu2da.2le3?a,ji2yu2da.2le3?a,u1wu2da.2le3sv23?i,gu2da.2le3sgo3?i,hi2yu2da.2la.2gi,u.2wu2da.2le1sdi,
he's taking it (solid or flexible object) out of a container,ga.2le3?a,ji.2le3?a,u1le3sv23?i,ga.2le3sgo3?i,hi.2la.2gi,u2le1sdi,
he's taking off his shoes,da1la32su2le3?a,de2ga.3la32su2le3?a,du1la32su2le3sv23?i,da1la32su2le3sgo3?i,ta.2la32su2la.3gi,ju2la1su23le32sdi,
he's taking off his gloves,da1li.2ye32su2le3?a,de2ga.3li.3ye32su2le3?a,du1li.2ye32su2le3sv23?i,da1li.2ye32su2le3sgo3?i,ta.2li.3ye1su2la.3gi,ju2li.2ye1su23le32sdi,
he's taking his pants off,a3su2le3?a,ga3su2le3?a,u3su2le3sv23?i,a3su2le3sgo3?i,ha1su2la.2gi,u1su23le32sdi,
he's turning off the road,a1dle3?a,ga.2dle3?a,u1dle3sv23?i,a1dle3sgo3?i,ha.2dla.2gi,u2dle1sdi,
1. he's getting a flexible object  2. he's picking up a flexible object,ga.2ne3?a,ji2ne3?a,u1ne2sv23?i,ga.2ne3sgo3?i,hi2na.2gi,u2ne1sdi,
he's pulling a trigger,go32ja.2ne3?a,go32ja.2ne3?a,u1wo32ja.2ne3sv23?i,go32ja.2ne3sgo3?i,ho1ja.2na.2gi,u.2wo1ja.2ne1sdi,
"he's pulling him, it",gan2sa.2ne3?a,ji2na1sa.2ne3?a,un1sa.2ne3sv23?i,gan2sa.2ne3sgo3?i,hi2na1sa.2na.2gi,un2sa.2ne1sdi,
he's conjuring,da1da2hne2se3?a,de2ga.3da1ne2se3?a,du1da2hne2sa3?v23?i,da1da2hne2se3sgo3?i,ta.2da3hne2sa.2ga,ju2da2hne2se1sdi,
"he's kicking him, it",a1hyvh2te3?a,ji2ya1yvh2te3?a,u1hyvh2te3sv23?i,a1hyvh2te3sgo3?i,hi2yayh1ta.2gi,u2hyvh2te1sdi,
"he's picking him, it up",gu2te3?a,ji2yu1te3?a,u1wu2te3sv23?i,gu2te3sgo3?i,h2yu1ta.2gi,u.2wu2te1sdi,
"he's taking his shirt, coat off",a1hna.2we3?a,ga.2ni1we3?a,u1hna.2we3sv23?i,a1hna.2we3sgo3?i,ha.2hna.2wa.2gi,u2hna.2we1sdi,
he's undressing,da1hna.2we3?a,de2ga.3ni1we3?a,du1hna.2we3sv23?i,da1hna.2we3sgo3?i,ta2hna.3wa.2gi,ju2hna.2we1sdi,
"he's choosing him, it",a1su2ye3?a,ji2ya1su2ye3?a,u1su2ye3sv23?i,a1su2ye3sgo3?i,hi2ya1su2ya.2gi,u2su2ye1sdi,
he's eating a flexible object,ga2hye3?a,ji2ya1ye3?a,u1wa2hya3?v23?i,ga2hye3sgo3?i,hi2ya1ya.2ga,u.2wa2hye1sdi,
1. he's picking it up  2. he's getting it,a1gi3?a,ji.2gi3?a,u1gi3sv23?i,a1gi3sgo3?i,hi.2gi,u2gi1sdi,
he's waving his hand,a1so2lv2da.2gi3?a,ga1so2lv2da.2gi3?a,u1so2lv2da.2gi3sv23?i,a1so2lv2da.2gi3sgo3?i,ha.2so2lv2da.2gi,u2so2lv2da.2gi1sdi,
he's having a nightmare,a1hli.2gi3?a,ga.2dli.2gi3?a,u1hli.2gi3sv23?i,a1hli.2gi3sgo3?i,ha.2hli.2gi,u2hli.2gi1sdi,
he's snoring,da1kwa.2la2gi3?a,de2ji32kwa.2la2gi3?a,du1kwa.2la2gi3sv23?i,da1kwa.2la2gi3sgo3?i,ti.2kwa.3la2gi,ju2kwa.2la2gi1sdi,
he's thirsty,u1ta.2de2gi3?a,ak1ta.2de2gi3?a,u1ta.2de2ga32nv23?i,u1ta.2de2gi3sgo3?i,tsta.2de2gv1ga,u2ta.2de23go32di,
1. he's getting some liquid  2. he's picking up some liquid,ga.2ne2gi3?a,ji.2ne2gi3?a,u1ne2gi3sv23?i,ga.2ne2gi3sgo3?i,hi.2ne23gi,u2ne2gi1sdi,
he's taking his hat off,al1sgwe3tuh2gi3?a,ga.2li1sgwe3tuh2gi3?a,ul1sgwe3tuh2gi3sv23?i,al1sgwe3tuh2gi3sgo3?i,hal2sgwe1tuh2gi,ul2sgwe1tuh2gi1sdi,
he's hoeing it,ga.2lo2gi3?a,ji.2lo2gi3?a,u1lo2ga32nv23?i,ga.2lo2gi3sgo3?i,hi.2lo2gv1ga,u2lo23go32di,
he's singing,de2ka.3no2gi3?a,de2ji32no2gi3?a,du1hno2gi3sv23?i,de2ka.3no2gi3sgo3?i,ti.2hno3gi,ju2hno2gi1sdi,
"he hears him, it",a1tv2gi3?a,ji2ya1tv2gi3?a,u1tv2ga32nv23?i,a1tv2gi3sgo3?i,hi2ya1tv2gv1ga,u2tv23go32di,
he's dancing,al1sgi3?a,ga.2li1sgi3?a,ul1sgi3sv23?i,al1sgi3sgo3?i,hal2sgi,ul2sgi1sdi,
it's exploding,a1ta.2sgi3?a,-----,u1ta.2sgi3sv23?i,a1ta.2sgi3sgo3?i,ha.2ta.2sgi,u2ta.2sgi1sdi,
he's stealing it,ga.2no2sgi3?a,ji.2no1sgi3?a,u1no2sgi3sv23?i,ga.2no2sgi3sgo3?i,hi.2no23sgi,u2no2sgi1sdi,
