class,stem final,present,imperfective,perfective,imperative,infinitive
Ia,i,,sk,s,,st
Ib,o,,sk,,tsa,st
Ic1,v,,sk,,na,st
Ic2,v,,sk,s,na,st
Id,e,,sk,,*a,t
IIa,ye;le,h,sk,h,*a,ht
IIb,ke;ye,h,sk,h,*vli,ht
IIc,he,h,sk,hl,*vli,ht
IIIa1,v;vv,sk,sk,*n,ka,*t
IIIa2,uhv;vhv;ohv,sk,sk,*n,ka,@ht
IIIa3,ahv,sk,sk,*n,ka,@oht
IIIb,a,sk,sk,n,ka,*
IIIc1,o;u;a,sk,sk,s,hi,hist
IIIc2,i;iw,sk,sk,s,hi,st
IVa,ht;t;kt;st,ih,isk,han,a,oht
IVb,n;l;s;y;t;th;ts,ih,isk,vh,a,ht
Va,,i,isk,v,a,ht
Vb,t;k;ts,i,isk,n,a,ist
Vc,,i,isk,an,aka,ot
VIa1,hk,ih,ih,il,ka,st
VIa2,,ih,ih,l,ka,st
VIIa1,yol;yo,hih,hih,hl,haka,hst
VIIa2,,hih,hih,hl,ka,hst
VIIIa,,k,k,ts,ki,ihst
IXa,to,h,h,l,*a,*ast
X,,,is,es,uka,vst
